UiName	Url	BorderX	BorderY	BorderZ	BorderW
UiFightComponent	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/UiFightFireTemplate.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/ImgIceTemplate.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/UiFightThunderTemplate.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/UiFightDarkTemplate.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/UiFightSuckBloodTemplate.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/UiFightCureTemplate.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/FightSelfHpBg.png	10	8	13	5
UiFightComponent	Assets/Product/Texture/Image/UiFight/FightSekuai.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/UiFightEnergyPoint.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/FightSelfSpBg.png	3	3	3	3
UiFightComponent	Assets/Product/Texture/Image/UiFight/FightMonsterHpBg.png	2	0	2	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/FightMonsterSpBg.png	1	0	1	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/FightMonsterHp.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/Fightjiuren2.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/Fightjiuren1.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/Fightjiuren3.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/Combo.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/FightBossHp.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/FightBossHpBg1.png	3	3	3	3
UiFightComponent	Assets/Product/Texture/Image/UiFight/FightBossSpBg.png	1	2	2	1
UiFightComponent	Assets/Product/Texture/Image/UiFight/FightBossthretBg.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/FightBossthret.png	0	0	0	0
UiFightComponent	Assets/Product/Texture/Image/UiFight/UiFighDynamicScoringBg.png	0	0	0	0
