Url	BorderX	BorderY	BorderZ	BorderW
Assets/Product/Texture/Image/UiFight/FightBtnBg3.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightBtnSlid.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightDeng01.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightDeng02.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightBtnInteractive.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightIconLocking.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightBtnAttack.png	24	0	30	0
Assets/Product/Texture/Image/UiFight/ImgFightSkillBalLinel.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightSekuai.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightlianjiBg.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/ImgFightNpcKuohao.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/UiFightSelfHpLine.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightBossHp.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightDeng03.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/Fightlianjixinhao.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/UifightChatKuang.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/Fightlianjidiaoxian.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/UiFightIconSos.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightBtnNpc1.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightNpcHp.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightNpcSp.png	0	0	0	0
Assets/Product/Texture/Image/UiFight/FightBtnNpcMask.png	0	0	0	0
