Id	DrawEffectPath	EffectPosition	EffectRotation	EffectScale	AnimationName
6001805	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLifu/FxSceneUiMain3dLifuDaoju03.prefab	-0.38|0.33|0.62	-5.049|-13.89|-7.71	1|1|1	TxDaoju03Enable
3002	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLifu/FxSceneUiMain3dLifuDaoju02.prefab	-0.38|0.33|0.62	-5.049|-13.89|-7.71	1|1|1	TxDaoju02Enable
80035	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLifu/FxSceneUiMain3dLifuDaoju02.prefab	-0.38|0.33|0.62	-5.049|-13.89|-7.71	1|1|1	TxDaoju02Enable
40301	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLifu/FxSceneUiMain3dLifuDaoju01.prefab	-0.38|0.33|0.62	-5.049|-13.89|-7.71	1|1|1	TxDaoju01Enable
50005	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLifu/FxSceneUiMain3dLifuDaoju02.prefab	-0.38|0.33|0.62	-5.049|-13.89|-7.71	1|1|1	TxDaoju02Enable
50003	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLifu/FxSceneUiMain3dLifuDaoju02.prefab	-0.38|0.33|0.62	-5.049|-13.89|-7.71	1|1|1	TxDaoju02Enable
32	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLifu/FxSceneUiMain3dLifuDaoju02.prefab	-0.38|0.33|0.62	-5.049|-13.89|-7.71	1|1|1	TxDaoju02Enable
30013	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLifu/FxSceneUiMain3dLifuDaoju01.prefab	-0.38|0.33|0.62	-5.049|-13.89|-7.71	1|1|1	TxDaoju01Enable
90030	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLifu/FxSceneUiMain3dLifuDaoju01.prefab	-0.38|0.33|0.62	-5.049|-13.89|-7.71	1|1|1	TxDaoju01Enable
90015	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dLifu/FxSceneUiMain3dLifuDaoju01.prefab	-0.38|0.33|0.62	-5.049|-13.89|-7.71	1|1|1	TxDaoju01Enable
