Id	LottoId	RareLevel	Priority	ProbShow[1]	ProbShow[2]	ProbShow[3]	ProbShow[4]	ProbShow[5]	ProbShow[6]	ProbShow[7]	ProbShow[8]	ProbShow[9]	ProbShow[10]
1	1	1	1	0.00%	0.00%	0.00%	0.00%	0.56%	1.31%	2.62%	5.95%	14.35%	75.21%
2	1	2	2	0.00%	0.00%	0.48%	0.85%	2.21%	5.16%	10.04%	21.83%	43.24%	16.19%
3	1	2	3	0.00%	0.00%	0.79%	1.52%	3.67%	8.49%	16.04%	32.89%	29.43%	7.17%
4	1	3	4	0.96%	1.30%	1.96%	3.45%	8.96%	19.81%	31.09%	22.57%	8.85%	1.06%
5	1	3	5	1.53%	2.07%	3.10%	5.43%	14.03%	29.15%	27.04%	13.65%	3.70%	0.31%
6	1	3	6	3.82%	5.07%	7.45%	12.63%	31.56%	24.85%	11.30%	2.91%	0.38%	0.02%
7	1	4	7	13.38%	16.21%	20.98%	26.35%	16.49%	5.45%	1.01%	0.10%	0.01%	0.01%
8	1	4	8	15.30%	18.13%	22.66%	24.77%	14.09%	4.26%	0.72%	0.06%	0.01%	0.01%
9	1	4	9	30.59%	28.29%	21.95%	13.44%	4.72%	0.88%	0.09%	0.01%	0.01%	0.01%
10	1	4	10	34.42%	28.94%	20.63%	11.56%	3.73%	0.64%	0.06%	0.01%	0.01%	0.01%
11	2	1	1	0.00%	0.00%	0.00%	0.00%	0.56%	1.31%	2.62%	5.95%	14.35%	75.21%
12	2	2	2	0.00%	0.00%	0.48%	0.85%	2.21%	5.16%	10.04%	21.83%	43.24%	16.19%
13	2	2	3	0.00%	0.00%	0.79%	1.52%	3.67%	8.49%	16.04%	32.89%	29.43%	7.17%
14	2	3	4	0.96%	1.30%	1.96%	3.45%	8.96%	19.81%	31.09%	22.57%	8.85%	1.06%
15	2	3	5	1.53%	2.07%	3.10%	5.43%	14.03%	29.15%	27.04%	13.65%	3.70%	0.31%
16	2	3	6	3.82%	5.07%	7.45%	12.63%	31.56%	24.85%	11.30%	2.91%	0.38%	0.02%
17	2	4	7	13.38%	16.21%	20.98%	26.35%	16.49%	5.45%	1.01%	0.10%	0.01%	0.01%
18	2	4	8	15.30%	18.13%	22.66%	24.77%	14.09%	4.26%	0.72%	0.06%	0.01%	0.01%
19	2	4	9	30.59%	28.29%	21.95%	13.44%	4.72%	0.88%	0.09%	0.01%	0.01%	0.01%
20	2	4	10	34.42%	28.94%	20.63%	11.56%	3.73%	0.64%	0.06%	0.01%	0.01%	0.01%
21	3	1	1	0.00%	0.00%	0.00%	0.00%	0.55%	1.32%	4.26%	7.46%	15.84%	70.57%
22	3	2	2	0.00%	0.00%	0.41%	0.70%	1.90%	4.32%	13.57%	22.52%	38.83%	17.75%
23	3	2	3	0.00%	0.00%	0.82%	1.37%	3.58%	8.41%	26.50%	31.50%	22.02%	5.80%
24	3	2	4	0.00%	0.00%	0.88%	1.40%	3.65%	8.38%	26.47%	31.27%	22.18%	5.77%
25	3	3	5	2.30%	3.20%	4.53%	7.85%	19.96%	37.77%	18.25%	5.20%	0.88%	0.06%
26	3	3	6	3.83%	5.07%	7.52%	12.61%	30.97%	28.29%	9.54%	1.95%	0.21%	0.01%
27	3	3	7	13.29%	16.24%	21.04%	26.31%	16.66%	5.62%	0.77%	0.05%	0.01%	0.01%
28	3	4	8	15.46%	18.11%	22.50%	24.71%	14.24%	4.39%	0.54%	0.03%	0.01%	0.01%
29	3	4	9	30.73%	28.17%	21.82%	13.57%	4.75%	0.88%	0.05%	0.01%	0.01%	0.01%
30	3	4	10	34.39%	29.21%	20.48%	11.48%	3.74%	0.62%	0.05%	0.01%	0.01%	0.01%
31	4	1	1	0.00%	0.00%	0.00%	0.00%	0.55%	1.32%	4.26%	7.46%	15.84%	70.57%
32	4	2	2	0.00%	0.00%	0.41%	0.70%	1.90%	4.32%	13.57%	22.52%	38.83%	17.75%
33	4	2	3	0.00%	0.00%	0.82%	1.37%	3.58%	8.41%	26.50%	31.50%	22.02%	5.80%
34	4	2	4	0.00%	0.00%	0.88%	1.40%	3.65%	8.38%	26.47%	31.27%	22.18%	5.77%
35	4	3	5	2.30%	3.20%	4.53%	7.85%	19.96%	37.77%	18.25%	5.20%	0.88%	0.06%
36	4	3	6	3.83%	5.07%	7.52%	12.61%	30.97%	28.29%	9.54%	1.95%	0.21%	0.01%
37	4	3	7	13.29%	16.24%	21.04%	26.31%	16.66%	5.62%	0.77%	0.05%	0.01%	0.01%
38	4	4	8	15.46%	18.11%	22.50%	24.71%	14.24%	4.39%	0.54%	0.03%	0.01%	0.01%
39	4	4	9	30.73%	28.17%	21.82%	13.57%	4.75%	0.88%	0.05%	0.01%	0.01%	0.01%
40	4	4	10	34.39%	29.21%	20.48%	11.48%	3.74%	0.62%	0.05%	0.01%	0.01%	0.01%
41	5	1	1	0.00%	0.00%	0.00%	0.00%	0.56%	1.31%	2.62%	5.95%	14.35%	75.21%
42	5	2	2	0.00%	0.00%	0.48%	0.85%	2.21%	5.16%	10.04%	21.83%	43.24%	16.19%
43	5	2	3	0.00%	0.00%	0.79%	1.52%	3.67%	8.49%	16.04%	32.89%	29.43%	7.17%
44	5	3	4	0.96%	1.30%	1.96%	3.45%	8.96%	19.81%	31.09%	22.57%	8.85%	1.06%
45	5	3	5	1.53%	2.07%	3.10%	5.43%	14.03%	29.15%	27.04%	13.65%	3.70%	0.31%
46	5	3	6	3.82%	5.07%	7.45%	12.63%	31.56%	24.85%	11.30%	2.91%	0.38%	0.02%
47	5	4	7	13.38%	16.21%	20.98%	26.35%	16.49%	5.45%	1.01%	0.10%	0.01%	0.01%
48	5	4	8	15.30%	18.13%	22.66%	24.77%	14.09%	4.26%	0.72%	0.06%	0.01%	0.01%
49	5	4	9	30.59%	28.29%	21.95%	13.44%	4.72%	0.88%	0.09%	0.01%	0.01%	0.01%
50	5	4	10	34.42%	28.94%	20.63%	11.56%	3.73%	0.64%	0.06%	0.01%	0.01%	0.01%
51	6	1	1	0.00%	0.00%	0.00%	0.00%	0.56%	1.31%	2.62%	5.95%	14.35%	75.21%
52	6	2	2	0.00%	0.00%	0.48%	0.85%	2.21%	5.16%	10.04%	21.83%	43.24%	16.19%
53	6	2	3	0.00%	0.00%	0.79%	1.52%	3.67%	8.49%	16.04%	32.89%	29.43%	7.17%
54	6	3	4	0.96%	1.30%	1.96%	3.45%	8.96%	19.81%	31.09%	22.57%	8.85%	1.06%
55	6	3	5	1.53%	2.07%	3.10%	5.43%	14.03%	29.15%	27.04%	13.65%	3.70%	0.31%
56	6	3	6	3.82%	5.07%	7.45%	12.63%	31.56%	24.85%	11.30%	2.91%	0.38%	0.02%
57	6	4	7	13.38%	16.21%	20.98%	26.35%	16.49%	5.45%	1.01%	0.10%	0.01%	0.01%
58	6	4	8	15.30%	18.13%	22.66%	24.77%	14.09%	4.26%	0.72%	0.06%	0.01%	0.01%
59	6	4	9	30.59%	28.29%	21.95%	13.44%	4.72%	0.88%	0.09%	0.01%	0.01%	0.01%
60	6	4	10	34.42%	28.94%	20.63%	11.56%	3.73%	0.64%	0.06%	0.01%	0.01%	0.01%
100001	100001	1	1	0.80%
110001	110001	1	1	0.00%	0.00%	0.00%	0.00%	0.56%	1.31%	2.62%	5.95%	14.35%	75.21%
110002	110001	2	2	0.00%	0.00%	0.48%	0.85%	2.21%	5.16%	10.04%	21.83%	43.24%	16.19%
110003	110001	2	3	0.00%	0.00%	0.79%	1.52%	3.67%	8.49%	16.04%	32.89%	29.43%	7.17%
110004	110001	3	4	0.96%	1.30%	1.96%	3.45%	8.96%	19.81%	31.09%	22.57%	8.85%	1.06%
110005	110001	3	5	1.53%	2.07%	3.10%	5.43%	14.03%	29.15%	27.04%	13.65%	3.70%	0.31%
110006	110001	3	6	3.82%	5.07%	7.45%	12.63%	31.56%	24.85%	11.30%	2.91%	0.38%	0.02%
110007	110001	4	7	13.38%	16.21%	20.98%	26.35%	16.49%	5.45%	1.01%	0.10%	0.01%	0.01%
110008	110001	4	8	15.30%	18.13%	22.66%	24.77%	14.09%	4.26%	0.72%	0.06%	0.01%	0.01%
110009	110001	4	9	30.59%	28.29%	21.95%	13.44%	4.72%	0.88%	0.09%	0.01%	0.01%	0.01%
110010	110001	4	10	34.42%	28.94%	20.63%	11.56%	3.73%	0.64%	0.06%	0.01%	0.01%	0.01%
