Id	IconPath	BigIconPath	Name	Description	SkillEffect[1]	SkillEffect[2]	SkillEffect[3]	SkillEffect[4]	SkillEffect[5]	SkillEffect[6]	SkillDescription[1]	SkillDescription[2]	SkillDescription[3]	SkillDescription[4]	SkillDescription[5]	SkillDescription[6]
0	Assets/Product/Texture/Image/IconTools/E1GunMd030011.png		N/A	N/A												
1101	Assets/Product/Texture/Image/IconToolsSp/EYuesefuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EYiefuliemofuI01002.png	Joseph	White Board								ATK +5				
1201	Assets/Product/Texture/Image/IconToolsSp/ESipeierI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ESipeierI01002.png	Merli	ATK Boost		120102		120104				ATK +10		HP +50		
1301	Assets/Product/Texture/Image/IconToolsSp/EModeerI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EModeerI01002.png	Pinoff	Close Range Boost		130102		130104				Extra DMG Bonus increases by 3% when attacking enemies within 2m.		Extra DMG Reduction increases by 3% when attacked by enemies within 2m.		
1304	Assets/Product/Texture/Image/IconToolsSp/EHeermanI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EHeermanI01002.png	Pavrey	Long Range Boost		130402		130404				Extra DMG Bonus increases by 3% when attacking enemies farther than 3m.		Extra DMG Reduction increases by 3% when attacked by enemies farther than 3m.		
1401	Assets/Product/Texture/Image/IconToolsSp/EAjimideI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAjimideI01002.png	Archimedes	Basic Attack Boost		140102		140104				Basic Attack's Extra DMG Bonus increases by 5%.		In every 10s, the next Basic Attack increases Basic Attack DMG by 10% for 4s.		
1404	Assets/Product/Texture/Image/IconToolsSp/EAidishengI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAidishengI01002.png	Edison	Skill Attack Boost		140402		140404				Signal Orb skill DMG increases by 5%.		After a 3-Ping, Extra DMG Bonus increases by 5% for 5s. Duration resets every time it is triggered.		
1407	Assets/Product/Texture/Image/IconToolsSp/EAliceI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAliceI01002.png	Alice	Support Boost		140702		140704				Healing effect increases by 5%.		Healing increases the target's Physical DMG and Elemental DMG by 4% for 4s. Duration resets every time it is triggered.		
1410	Assets/Product/Texture/Image/IconToolsSp/EKanninganI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EKanninganI01002.png	Cunningham	Defense Boost		141002		141004				Physical and Elemental DMG increase by 5% when attacking enemies with Super Armor.		If being attacked multiple times within 5s, gain a shield that reduces the next DMG taken by 30%. 5s cooldown.		
1413	Assets/Product/Texture/Image/IconToolsSp/EAdaifuYYI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAdaifuYYI01002.png	Kuriko - Eternal	Summon Boost		141302						When attacking, has a 20% chance to call an artillery strike, each shell dealing 40% Physical DMG to the target. 15s cooldown.				
1416	Assets/Product/Texture/Image/IconToolsSp/ENimiziI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ENimizi01002.png	Nimitz	ATK Boost		141602		141604		141606		Basic Attack's Extra DMG Bonus increases by 5%.		Extra DMG Bonus of 3-Ping is increased by 5%.		After an Entrance Skill, Extra DMG Bonus increases by 10% for 8s.
1501	Assets/Product/Texture/Image/IconToolsSp/ELongmeierI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ELongmeierI01002.png	Carrielynn	Basic Attack Boost		150102		150104				Basic Attack's Extra DMG Bonus increases by 10%.		Basic Attack's Extra DMG Bonus increases by 15% when not attacked. This effect enters a 12s cooldown upon being attacked.		
1502	Assets/Product/Texture/Image/IconToolsSp/EAifuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAifuI01002.png	Aife	Skill Boost		150202		150204				For each orb pinged, Extra DMG Bonus increases by 2% for 3s. Can be stacked up to 5 times. Duration resets every time it is triggered.		Enters Matrix upon a 3-Ping. 60s cooldown.		
1503	Assets/Product/Texture/Image/IconToolsSp/EAikeI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAikeI01002.png	Ike	Energy Attack Boost		150302		150304				Extra DMG Bonus increases by 2% and Elemental DMG increases by 4%.		When dealing Elemental DMG, you have a 15% chance to inflict Burn, Electrocute, Frost, and Corruption depending on the element. Lasts 5 seconds and has an 8 second cooldown on the same unit.		
