Id	Type	Site	Quality	Star	WeaponSkillId	Priority	DefaultLock	CharacterId	SuitId	CharacterType	Name	LogName	Description	NeedFirstShow
2013001	1	0	3	3	2013001	2013001	0			0	Standard Pistol	3★ Dual Guns: Standard Pistol	A standard pistol made with common materials, it is simple in structure and easy to operate.	0
2014001	1	0	4	4	2014001	2014001	0			0	Tokarev	4★ Dual Guns: Tokarev	A pistol from an previous era. Crude but hardy, it continues to see service.	0
2015001	1	0	5	5	2015001	2015001	0			0	Gloomlight	5★ Dual Guns: Gloomlight	Designed for silent and rapid delivery of firepower, it boasts both quiet operation and high firing rate.	0
2016001	1	0	6	6	2016001	2016001	0			0	Wolf Fang	6★ Dual Guns: Wolf Fang	Specialized firearm focusing on single-shot performance. Not very accurate, but inflicts incredible damage.	0
2016002	1	0	6	6	2016002	2016002	0			0	Zero Scale	6★ Dual Guns: Zero Scale	Connected to Babylonia's support systems, this weapon is equipped with energy management and ballistic guidance capabilities.	0
2016003	1	0	6	6	2016003	2016003	0			0	Scion	6★ Dual Guns: Scion	A large-caliber pistol with a long barrel deals massive damage to targets close-range. The silver and white color scheme is adored by its owner, and includes a decal entrusting it to purge the world of sin.	0
2022001	2	0	2	2	2022001	2022001	0			0	Standard Knife	2★ Katana: Standard Katana	The blade is 1.0 meter in length and is casted with standard high-speed steel.	0
2023001	2	0	3	3	2023001	2023001	0			0	Combat Knife	3★ Katana: Combat Katana	The blade is 0.8 meter in length and is casted with standard high-speed steel. It is more sturdy than standard longswords, and the shorter blade allows it to be carried as a protective weapon.	0
2024001	2	0	4	4	2024001	2024001	0			0	Unbranded Blade	4★ Katana: Unbranded Katana	There is no inscription by the maker, but the blade itself is perfectly sharp and deadly.	0
2024002	2	0	4	4	2024001	2024002	0			0	Unbranded Blade	4★ Katana: Unbranded Katana	There is no inscription by the maker, but the blade itself is perfectly sharp and deadly.	0
2025001	2	0	5	5	2025001	2025001	0			0	Kuji no Sada	5★ Katana: Kuji no Sada	A curious katana based on a legendary blade. No longer suited for the modern battlefield.	0
2026001	2	0	6	6	2026001	2026001	0			0	Lotus Berserker	6★ Katana: Lotus Berserker	In addition to a keen edge, the Lotus Berserker is also connected to the M.I.N.D., allowing it to synchronize with the Construct and enabling different types of attacks.	0
2026002	2	0	6	6	2026002	2026002	0			0	Inverse - Shadow	6★ Katana: Inverse - Shadow	'Inverse' is the name of an experimental project that has resulted in the creation of this prototype.	0
2026003	2	0	6	6	2026003	2026003	0			0	Sirius	6★ Katana: Sirius	Its power as a weapon is nothing to write home about, but it is much sought after for its attractive appearance.	0
2026004	2	0	6	6	2026004	2026004	0			0	Sakura	6★ Katana: Sakura	The blade is 1 meter long and was forged from composite materials in a volatile fashion. Surprisingly, the strength of the blade was not hindered in the process. For some reason, the blade begins to glow with a more vibrant red with each swing.	0
2026005	2	0	6	6	2026005	2026005	0			0	Crimson Birch	6★ Katana: Crimson Birch	The blade is 0.9 meters long and was forged using a composite process with high precision. The color of the blade gradually changes according to the temperature. In extreme cases, dark red icy veins will appear faintly on the blade.	0
2026006	2	0	6	6	2026006	2026006	0			0	Sariel	6★ Katana: Sariel	The blade is 0.9 meters long, and can be expanded from a single-edged to a double-edge sword, leaving the enemy with twice the scars. It doesn't deal much damage when it penetrates the enemy's body, but when it is pulled out, it ruptures the enemy's vital fluid, causing long-term pain and suffering.	0
2032001	3	0	2	2	2032001	2032001	0			0	Levitator	2★ Levi-Gun: Levitator	A general-purpose attack weapon controlled remotely.	0
2033001	3	0	3	3	2033001	2033001	0			0	Semi-Auto Turret	3★ Levi-Gun: Semi-Auto Turret	Semiautomated Levi-Gun that can perform simple attacks at the user's will.	0
2034001	3	0	4	4	2034001	2034001	0			0	Fish Mount	4★ Levi-Gun: Fish Mount	Equipped with state-of-the-art computing capability, it is able to operate freely on the battlefield, delivering devastating firepower. Has been known to get out of control on rare occasions.	0
2035001	3	0	5	5	2035001	2035001	0			0	Guardian Mount	5★ Levi-Gun: Guardian Mount	Equipped with the virtual personality 'Aurora', it is a fully-independent, stand-alone weapon platform that is even capable of forming emotional attachment with the user over time.	0
2036001	3	0	6	6	2036001	2036001	0			0	Type Zero	6★ Levi-Gun: Type Zero	Prototype levitator. The dated design limits its mobility, but its firepower is nothing to scoff at.	0
2036002	3	0	6	6	2036002	2036002	0			0	Benediction	6★ Levi-Gun: Benediction	Levitator designed for support Constructs, with improved electromagnetic command field performance at the expense of firepower. Bested used in team operations.	0
2036003	3	0	6	6	2036003	2036003	0			0	Dragon Wind	6★ Levi-Gun: Dragon Wind	Exclusive to the White Swan, its performance is every bit worthy of the grandiose name.	0
2043001	4	0	3	3	2043001	2043001	0			0	Practice Bow	3★ Bow: Practice Bow	The most common compound bow. It is the standard configuration for bow practice.	0
2044001	4	0	4	4	2044001	2044001	0			0	Pulley Bow	4★ Bow: Pulley Bow	Pulley-assisted composite bow, with firepower comparable to firearms.	0
2045001	4	0	5	5	2045001	2045001	0			0	Falcon E-3320	5★ Bow: Falcon E-3320	Developed by Kurono Holdings' weapons development arm, it is as unruly as it is powerful, resulting in production being canceled due to the difficulty of finding suitable users.	0
2046001	4	0	6	6	2046001	2046001	0			0	Ramiel	6★ Bow: Ramiel	Named after the fallen angel, its tracking capability ensures a kill regardless of the environment.	0
2046002	4	0	6	6	2046002	2046002	0			0	Tonitrus	6★ Bow: Tonitrus	Tonitrus received several special upgrades during the forging process, greatly improving its conductivity. Not only that, it also has considerable electrical and thermal resistance, which enables Tonitrus to adapt to most harsh environments on the surface.	0
2053001	5	0	3	3	2053001	2053001	0			0	Chainsaw	3★ Saw: Chainsaw	A general-purpose chainsaw, and is very common in the industrial field.	0
2054001	5	0	4	4	2054001	2054001	0			0	Noise	4★ Saw: Noise	Massive chainsaw that runs on gasoline. Its biggest weakness is the effort needed to get it started.	0
2055001	5	0	5	5	2055001	2055001	0			0	Lightning Spark	5★ Saw: Lightning Spark	The first generation of chainsaw developed specifically as a weapon. Named after the sparks it created during testing.	0
2056001	5	0	6	6	2056001	2056001	0			0	Inverse - Chimera	6★ Saw: Inverse - Chimera	'Inverse' is the name of an experimental project. This weapon received the moniker 'chimera' due to its integration of the project's results.	0
2056002	5	0	6	6	2056002	2056002	0			0	Hydro Heat	6★ Saw: Hydro Heat	Hydro Heat is a kind of hydraulic chainsaw with high torque that can gradually increase cutting speed the longer it runs. Additionally, it is loaded with special reagents that can increase the temperature of the chain, enabling Hydro Heat to weaken the target's fire resistance when slashing.	0
2063001	6	0	3	3	2063001	2063001	0			0	Greatsword	3★ Greatsword: Greatsword	General purpose Greatsword, as simple as its name.	0
2064001	6	0	4	4	2064001	2064001	0			0	Suppressor	4★ Greatsword: Suppressor	Greatsword with long reach and strong defensive capability, typically used in riot suppression.	0
2065001	6	0	5	5	2065001	2065001	0			0	Dynamo Greatsword	5★ Greatsword: Dynamo Greatsword	Greatsword with form-change capability. Able to fire shockwaves when its internal energy tank is filled.	0
2065050	6	0	5	5	2065050	2065050	1			0	Star of Bethlehem	5★ Greatsword: Star of Bethlehem	This greatsword resembles a Christmas tree. The Star of Bethlehem is tightly embedded at the tip—even a fierce swing can't shake it off. The blade isn't sharp, but its bulk makes it a deadly weapon.	0
2066001	6	0	6	6	2066001	2066001	0			0	Big Kamui	6★ Greatsword: Big Kamui	Originally given a different name, it was renamed by Kamui after he took a liking to it. It is able to synchronize with the user's M.I.N.D. and increase its power.	0
2066002	6	0	6	6	2066002	2066002	0			0	Darkness	6★ Greatsword: Darkness	Modified weapon recovered from a Corrupted. The obsession of its previous owner can be felt just by holding it in one's hand.	0
2073001	7	0	3	3	2073001	2073001	0			0	Bazooka	3★ Bazooka: Bazooka	Cheap, simple but practical Bazooka, ideal for individual soldiers to carry.	0
