Id	BornMagic[1]	BornMagic[2]	BornMagic[3]	SubSkillId[1]	SubSkillId[2]	SubSkillId[3]	Ability	Icon	Name	Description	DesLinkCharacterSkillId	Account
101	510901						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png	Incandescence	Weapon's final ATK increases by 15% at the start of battle. No duration limit.		
102	511001						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool17.png	Dead Line Timing	Gain 2 extra random Signal Orbs when deployed, and 3 Signal Orbs of the same color every 45s (also gain Signal Orbs on standby).		
103	509201						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongGandianshanbi.png	Matrix Lightning	Movement Speed greatly increases and all enemies' Extra DMG Reduction decreases by 10% in Matrix.		
201	509038						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool19.png	Shock Saturation	Gains 2s of Invincible time when attacked, CD for 15s.		
202	509040						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool20.png	Nsec Transmission	Max dodge increases by 400.		
203	509042						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool21.png	Shock Echo	When taking damage, releases a shockwave that deals damage equal to 50% of own ATK, pushing enemies away and reducing enemies' Movement Speed by 35% for 5s, CD for 8s.		
301	512005						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongGandianshanbi.png	Matrix Outburst	Extra DMG Bonus increases by 15% in Matrix.		
302	512007						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaibiaoji.png	Overload Signal	An Entrance Skill grants 1 additional Signal Orb. Extra DMG Bonus of Signal Orb Skills increases by 10% for 8s.		
303	512012						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipShuchuGuozaiqinxie.png	Limit Break	Full ATK increases by 10%.		
401	509038						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool19.png	Shock Saturation	Gains 2s of Invincible time when attacked, CD for 15s.		
402	509040						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool20.png	Nsec Transmission	Max dodge increases by 400.		
403	509042						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool21.png	Shock Echo	When taking damage, releases a shockwave that deals damage equal to 50% of own ATK, pushing enemies away and reducing enemies' Movement Speed by 35% for 5s, CD for 8s.		
500	509002						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool1.png	Glorious Afterglow	Final ATK of the weapon increases by 30% for 8s upon a 3-ping. Duration resets upon a repeated trigger.		
501	509004						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool2.png	Glorious Spear	When using a healing skill or effect, increases Full ATK of the healed target by 10% for 8s, CD for 10s.		
502	509007						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool3.png	Superconducting Axial Ray	Increases Full ATK of all characters of the team by 8%. This effect does not stack.		
503	509014						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool4.png	Honed Gel	Increases the healing amount of the next healing effect by 50%, CD for 8s.		
504	509016						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool5.png	Stellar Magnetic Rail	On QTE, restores dodge gauge by 400 for the Construct in control.		
505	509018						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool6.png	Peaceful Radiant	When using a healing skill or effect, increases the healing effect by 30% for 5s, CD for 8s.		
506	509020						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool7.png	Resonant Echo	The duration of effect inflicted by Tank class skill increases to 8s. Repeated triggering refreshes the duration.		
507	509022						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool8.png	Polymerization Collapse	Inflicts <color=#FF6347>Smash</color> effect upon dealing Physical DMG. <color=#FF6347>Smash</color>: reduces the target's Physical Resistance by 8% for 8s. Repeated triggering refreshes the duration.		
508	509024						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool9.png	Diode Torch	Inflicts <color=#FF6347>Embers</color> effect upon dealing Fire DMG. <color=#FF6347>Embers</color>: reduces the target's Fire Resistance by 8% for 8s. Repeated triggering refreshes the duration.		
509	509026						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool10.png	Bose Hyperflow	Inflicts <color=#FF6347>Chilly</color> effect upon dealing Ice DMG. <color=#FF6347>Chilly</color>: reduces the target's Ice Resistance by 8% for 8s. Repeated triggering refreshes the duration.		
510	509028						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool11.png	Thunder Shake	Inflicts <color=#FF6347>Thunder</color> effect upon dealing Lightning DMG. <color=#FF6347>Thunder</color>: reduces the target's Lightning Resistance by 8% for 8s. Repeated triggering refreshes the duration.		
511	509030						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool12.png	Tenebrion Shock	Inflicts <color=#FF6347>Dark Wave</color> effect upon dealing Dark DMG. <color=#FF6347>Dark Wave</color>: reduces the target's Dark Resistance by 8% for 8s. Repeated triggering refreshes the duration.		
512	509032						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool13.png	Boundary's Annihilation	On QTE, shields the Construct in control for 10% of the skill user's max HP for 5s.		
513	509034						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool14.png	Gravity Barrier	Gains a shield equal to 20% of own max HP upon deployment.		
