Id	AttribPoolId[1]	AttribPoolWeight[1]	AttribPoolId[2]	AttribPoolWeight[2]	AttribPoolId[3]	AttribPoolWeight[3]	CharacterSkillPoolId[1]	CharacterSkillPoolWeight[1]	CharacterSkillPoolId[2]	CharacterSkillPoolWeight[2]	WeaponSkillPoolId[1]	WeaponSkillPoolWeight[1]	WeaponSkillPoolId[2]	WeaponSkillPoolWeight[2]	WeaponSkillPoolId[3]	WeaponSkillPoolWeight[3]
2015001	5	100	8	100	9	100										
2016001											1	100	2	100	3	100
2016002											1	100	2	100	3	100
2016003											1	100	2	100	3	100
2025001	5	100	8	100	9	100										
2026001											1	100	2	100	3	100
2026002											1	100	2	100	3	100
2026003											1	100	2	100	3	100
2026004											1	100	2	100	3	100
2026005											1	100	2	100	3	100
2026006											1	100	2	100	3	100
2035001	5	100	8	100	9	100										
2036001											1	100	2	100	3	100
2036002											1	100	2	100	3	100
2036003											1	100	2	100	3	100
2045001	5	100	8	100	9	100										
2046001											1	100	2	100	3	100
2046002											1	100	2	100	3	100
2055001	5	100	8	100	9	100										
2056001											1	100	2	100	3	100
2056002											1	100	2	100	3	100
2065001	5	100	8	100	9	100										
2065050	5	100	8	100	9	100										
2066001											1	100	2	100	3	100
2066002											1	100	2	100	3	100
2075001	5	100	8	100	9	100										
2075002	5	100	8	100	9	100										
2076001											1	100	2	100	3	100
2076002											1	100	2	100	3	100
2085001	5	100	8	100	9	100										
2085002	5	100	8	100	9	100										
2086001											1	100	2	100	3	100
2086002											1	100	2	100	3	100
2095001	5	100	8	100	9	100										
2096001											1	100	2	100	3	100
2096002											1	100	2	100	3	100
2096003											1	100	2	100	3	100
2105001	5	100	8	100	9	100										
2106001											1	100	2	100	3	100
2115001	5	100	8	100	9	100										
2116001											1	100	2	100	3	100
2125001	5	100	8	100	9	100										
2126001											1	100	2	100	3	100
2135001	5	100	8	100	9	100										
2136001											1	100	2	100	3	100
2145001	5	100	8	100	9	100										
2146001											1	100	2	100	3	100
2155001	5	100	8	100	9	100										
2156001											1	100	2	100	3	100
2165001	5	100	8	100	9	100										
2166001											1	100	2	100	3	100
2175001	5	100	8	100	9	100										
2176001											1	100	2	100	3	100
2185001	5	100	8	100	9	100										
2186001											1	100	2	100	3	100
2195001	5	100	8	100	9	100										
2196001											1	100	2	100	3	100
2205001	5	100	8	100	9	100										
2206001											1	100	2	100	3	100
2215001	5	100	8	100	9	100										
2216001											1	100	2	100	3	100
2225001	5	100	8	100	9	100										
2226001											1	100	2	100	3	100
2235001	5	100	8	100	9	100										
2236001											1	100	2	100	3	100
2245001	5	100	8	100	9	100										
2246001											1	100	2	100	3	100
2255001	5	100	8	100	9	100										
2256001											1	100	2	100	3	100
2265001	5	100	8	100	9	100										
