Id	MemberId	Level	RobotId	ConsumeItemCount	CombatScore	DisplayAttribId
1	101	1	140001	500	4500	1001
2	101	2	140001	500	4725	1002
3	101	3	140001	500	4950	1003
4	101	4	140001	500	5175	1004
5	101	5	140001	500	5400	1005
6	101	6	140001	500	5625	1006
7	101	7	140001	500	5850	1007
8	101	8	140001	500	6075	1008
9	101	9	140001	500	6300	1009
10	101	10	140001	500	6525	1010
11	101	11	140001	500	6750	1011
12	101	12	140001	500	6975	1012
13	101	13	140001	500	7200	1013
14	101	14	140001	500	7425	1014
15	101	15	140001	500	7650	1015
16	101	16	140001	500	7875	1016
17	101	17	140001	500	8100	1017
18	101	18	140001	500	8325	1018
19	101	19	140001	500	8550	1019
20	101	20	140001	500	9000	1020
21	102	1	140002	500	4500	2001
22	102	2	140002	500	4725	2002
23	102	3	140002	500	4950	2003
24	102	4	140002	500	5175	2004
25	102	5	140002	500	5400	2005
26	102	6	140002	500	5625	2006
27	102	7	140002	500	5850	2007
28	102	8	140002	500	6075	2008
29	102	9	140002	500	6300	2009
30	102	10	140002	500	6525	2010
31	102	11	140002	500	6750	2011
32	102	12	140002	500	6975	2012
33	102	13	140002	500	7200	2013
34	102	14	140002	500	7425	2014
35	102	15	140002	500	7650	2015
36	102	16	140002	500	7875	2016
37	102	17	140002	500	8100	2017
38	102	18	140002	500	8325	2018
39	102	19	140002	500	8550	2019
40	102	20	140002	500	9000	2020
