特效名	皮肤名	CueId[1]	CueId[2]	CueId[3]	优先级	固定在生成点
FxSuodibiaoji		673				0
FxYubei		3				0
FxUi009		1001				0
FxHuanjueseFen		552				0
FxHuanjueseHong		552				0
FxHuanjueseHuang		552				0
FxHuanjueseLan		552				0
FxJixianshanbi		551				0
FxQte		552				0
FxBuffZhansha		555				1
FxYubei02		1080				0
FxYujingXian01		1081				0
FxYujingXian02		1082				0
FxJiaojingAttack01						
FxJiaojingAttack01Shouji		403				0
FxJiaojingAttack02		404				0
FxJiaojingAttack03		405				0
FxJiaojingAttack03Shouji		406				0
FxJiaojingAttack01Fire		407				0
FxDrop01						
FxDrop02						
FxDrop03						
FxDropCure						
FxDropAttack						
FxDrop01BeHit		557				0
FxDrop02BeHit		557				0
FxDrop03BeHit		557				0
FxDropCureBeHit		557				0
FxDropAttackBeHit		557				0
FxEquipChristmasBox04		557				0
FxEquipChristmasBox05		557				0
FxEquipChristmasBox06		557				0
FxDrop01Bing		558				0
FxDrop02Bing		558				0
FxDrop03Bing		558				0
FxDropDead		559				0
FxTongyongGuanghuanKuosan		560				0
FxTongyongBaozha		561				0
FxFaxianQianxing		562				0
FxAirwallActivated		563				0
FxBaseSceneFire02		564				0
FxBaseSceneFire01		565				0
FxBaseSceneFire05		566				0
FxMt1GunpowderMd000001Boom		567				0
BaceSceneFire04		568				0
BaceSceneFire03		569				0
FxBorn01		570				0
FxJiantou02						
FxWeaponClaymore51Wuqi01		572				0
FxEquipChristmasBox08		573				0
FxWeaponSword51Luolei		579				0
FxWeaponFloat62Wuqi03		580				0
FxEquipAdaifuChufa		581				0
FxWeaponExDiankuo		582				0
FxEquipFumianGuanghuan		583				0
FxEquipShousun		584				0
FxEquipHudun		585				0
FxEquipTripleBall64Ready		586				0
FxEquipMagicTank64Guanghuan		587				0
FxEquipPhyTank64Hudun		585				0
FxEquipPhyTank64HudunShouji		588				0
FxEquipExSkill64Buff		589				0
FxEquipDarkAtk64Jiaqiu		590				0
FxEquipIceAtk64Bingjing		591				0
FxEquipEvadAtk64Chudian		592				0
FxEquipNormalAtk64Baonu		593				0
FxEquipJianqi		594				0
FxEquipBall64Chongjibo		595				0
FxEquipDarkAtk64Anying		596				0
FxEquipEleAtk64Leibao		597				0
FxEquipFireAtk64Baozha		598				0
FxEquipPhySup64Chongneng01		599				0
FxEquipPhySup64Chongneng02		599				0
FxEquipPhySup64Chongneng03		599				0
FxEquipPhySup64Chongneng04		599				0
FxEquipPhySup64Chongneng05		600				0
FxEquipPhySup64Fly		601				0
FxEquipPhySup64FlyBuff		602				0
