Hash	CueId[1]	CueId[2]	CueId[3]	Priority	FixedInBornPos
912020050	673			0	0
-1812705198	3			0	0
-91906733	1001			0	0
335688365	552			0	0
883934566	552			0	0
-1071938207	552			0	0
-1835193205	552			0	0
-1283731732	551			0	0
-548851772	552			0	0
-1784686066	555			0	1
-1827111596	1080			0	0
2136309895	1081			0	0
-1755372874	1082			0	0
379023426	403			0	0
-582200985	404			0	0
2146682370	405			0	0
1490073016	406			0	0
214138700	407			0	0
200732592	557			0	0
-50934645	557			0	0
-1414988826	557			0	0
-65979850	557			0	0
602704449	557			0	0
-1451931273	557			0	0
-1451931274	557			0	0
-1451931271	557			0	0
591714292	558			0	0
-1985551773	558			0	0
945361342	558			0	0
-1937511261	559			0	0
1794373838	560			0	0
1075533582	561			0	0
-2126432364	562			0	0
1002749791	563			0	0
-1926485393	564			0	0
-1926485396	565			0	0
-1926485400	566			0	0
648425502	567			0	0
-1023726057	568			0	0
-1023726064	569			0	0
757097764	570			0	0
-1207179139	572			0	0
-1451931277	573			0	0
-1700319501	579			0	0
1177094865	580			0	0
-1958437671	581			0	0
520694202	582			0	0
-1368879188	583			0	0
-1761826913	584			0	0
-980449530	585			0	0
151556506	586			0	0
263607965	587			0	0
1327326303	585			0	0
-1580663067	588			0	0
-1418650717	589			0	0
678204329	590			0	0
2061169165	591			0	0
389137340	592			0	0
-878221788	593			0	0
126739464	594			0	0
1193330020	595			0	0
1169215454	596			0	0
-5416632	597			0	0
518693905	598			0	0
994376541	599			0	0
591092014	599			0	0
-2137791341	599			0	0
1753891428	599			0	0
-974991927	600			0	0
1919489856	601			0	0
-1027709021	602			0	0
-24298851	599			0	0
-427583378	599			0	0
1138500563	599			0	0
735216036	599			0	0
-1993667319	600			0	0
954624128	601			0	0
15633699	602			0	0
-1447556893	603			0	0
711924950	604			0	0
1502999656	605			0	0
1795835252	606			0	0
1438209253	607			0	0
-376230521	608			0	0
1827677223	609			0	0
-1998380729	610			0	0
1700339516	611			0	0
-1667340548	612			0	0
35521198	613			0	0
1625047938	614			0	0
-1485707998	615			0	0
545820611	616			0	0
1735473108	617			0	0
-2062906041	618			0	0
-839335325	619			0	0
1483119720	620			0	0
519933384	621			0	0
-1524918638	622			0	0
-497970487	623			0	0
1199642213	624			0	0
-2088167554	625			0	0
-1258194211	626			0	0
1033513661	627			0	0
267325947	628			0	0
-396416401	629			0	0
1796229289	630			0	0
-917404676	631			0	0
1728320932	632			0	0
1039684573	633			0	0
-1438724100	634			0	0
-1117442135	635			0	0
1955300090	636			0	0
814222604	637			0	0
-773583265	638			0	0
-456376687	639			0	0
792500676	640			0	0
1163272854	641			0	0
