Id	Group	Direction	ClickType	PressFrame	TotalFrame
1	30031520	1	2	80	40
2	30031520	2	2	130	40
3	30031520	1	1	180	40
4	30031520	2	1	190	40
5	30031520	1	2	200	40
6	30031520	2	2	250	40
7	30031520	1	1	300	40
8	30031520	2	1	310	40
9	30031520	1	2	320	40
10	30031520	2	2	370	40
11	30031520	1	1	420	40
12	30031520	2	1	430	40
13	30031520	1	2	440	40
14	30031520	2	2	490	40
15	30031520	1	1	540	40
16	30031520	2	1	550	40
17	30031520	1	2	560	40
18	30031520	2	2	610	40
19	30031520	1	1	660	40
20	30031520	2	1	670	40
21	30031531	1	1	82	40
22	30031531	1	1	93	40
23	30031531	1	2	104	35
24	30031531	2	2	142	38
25	30031531	1	1	180	40
26	30031531	2	1	185	40
27	30031531	1	1	190	40
28	30031531	2	2	202	38
29	30031531	1	1	256	40
30	30031531	1	1	267	40
31	30031531	1	2	277	36
32	30031531	2	1	316	40
33	30031531	2	2	322	33
34	30031531	1	1	355	40
35	30031531	2	1	360	40
36	30031531	1	2	365	63
37	30031531	2	1	431	40
38	30031531	1	1	453	40
39	30031531	1	1	464	40
40	30031531	2	2	475	55
41	30031531	1	1	540	40
42	30031531	1	1	556	40
43	30031531	2	2	562	41
44	30031531	1	1	603	40
45	30031531	2	2	625	95
46	30031531	1	1	777	40
47	30031531	1	1	788	40
48	30031531	2	2	799	32
49	30031531	1	2	846	29
50	30031531	2	1	875	40
51	30031531	2	1	881	40
52	30031531	1	2	886	63
53	30031531	2	1	952	40
54	30031531	2	1	963	40
55	30031531	1	2	974	35
56	30031531	2	1	1012	40
57	30031531	2	2	1017	30
58	30031531	1	1	1049	40
59	30031531	1	1	1055	40
60	30031531	1	2	1061	19
61	30031531	2	2	1080	41
62	30031531	1	2	1126	19
63	30031531	2	1	1148	40
64	30031531	1	1	1159	40
65	30031531	2	2	1170	63
66	30031531	1	1	1235	40
67	30031531	2	1	1246	40
68	30031531	1	2	1257	41
69	30031531	2	2	1301	19
70	30031531	1	2	1323	19
71	30031531	2	2	1345	74
72	30031531	1	1	1475	40
73	30031531	1	1	1497	40
74	30031531	2	1	1519	40
75	30031531	1	1	1541	40
76	30031531	2	1	1571	40
77	30031531	1	2	1582	55
78	30031531	2	1	1658	40
79	30031531	1	2	1669	19
80	30031531	2	2	1691	19
81	30031531	1	2	1713	19
82	30031531	2	2	1735	19
83	30031531	1	2	1758	57
84	30031531	1	1	1836	40
85	30031531	1	2	1846	19
86	30031531	2	2	1867	19
87	30031531	1	1	1889	40
88	30031531	1	1	1900	40
89	30031531	1	1	1922	40
90	30031531	1	2	1933	19
91	30031531	2	1	1955	40
92	30031531	2	2	1977	30
93	30031531	1	1	2009	40
94	30031531	3	2	2020	60
95	30031531	1	1	2102	40
96	30031531	2	2	2107	19
97	30031531	1	2	2127	19
98	30031531	2	2	2149	19
99	30031531	1	2	2171	14
100	30031531	3	2	2193	90
101	30031532	1	1	82	40
102	30031532	1	1	93	40
103	30031532	1	2	104	35
104	30031532	2	2	142	38
105	30031532	1	1	180	40
106	30031532	1	1	185	40
107	30031532	2	2	190	50
108	30031532	1	2	202	38
109	30031532	1	1	256	40
110	30031532	1	1	267	40
111	30031532	1	2	277	36
112	30031532	2	1	316	40
113	30031532	2	2	322	27
114	30031532	1	1	355	40
115	30031532	1	1	360	40
116	30031532	2	2	365	57
117	30031532	1	2	387	35
118	30031532	1	1	431	40
119	30031532	1	1	453	40
120	30031532	1	1	464	40
121	30031532	2	2	475	63
122	30031532	1	1	540	40
123	30031532	1	1	556	40
124	30031532	2	2	561	35
125	30031532	1	1	603	40
126	30031532	2	2	625	19
127	30031532	1	2	646	19
128	30031532	2	2	668	25
129	30031532	1	1	777	40
130	30031532	1	1	788	40
131	30031532	1	2	799	41
132	30031532	2	2	843	30
133	30031532	1	1	875	40
134	30031532	1	1	881	40
135	30031532	1	2	886	55
136	30031532	2	2	897	44
137	30031532	1	1	952	40
138	30031532	1	1	963	40
139	30031532	1	2	974	35
140	30031532	2	1	1012	40
141	30031532	2	2	1017	30
142	30031532	1	1	1049	40
143	30031532	1	1	1055	40
144	30031532	1	2	1061	16
145	30031532	2	2	1080	44
146	30031532	1	1	1126	40
147	30031532	1	1	1148	40
148	30031532	1	1	1159	40
149	30031532	2	2	1170	63
150	30031532	1	1	1235	40
151	30031532	1	1	1246	40
152	30031532	2	2	1257	41
153	30031532	1	2	1301	19
154	30031532	2	2	1323	19
155	30031532	1	2	1345	82
156	30031532	2	2	1366	60
157	30031532	1	1	1475	40
158	30031532	1	2	1497	19
159	30031532	2	2	1519	19
160	30031532	1	2	1541	27
161	30031532	2	1	1571	40
162	30031532	2	2	1582	57
163	30031532	1	1	1658	40
164	30031532	1	2	1669	19
165	30031532	2	2	1691	19
166	30031532	1	2	1713	19
167	30031532	2	2	1735	90
168	30031532	1	2	1758	68
169	30031532	1	1	1836	40
170	30031532	1	2	1846	19
171	30031532	2	2	1867	19
172	30031532	1	1	1889	40
173	30031532	2	2	1900	30
174	30031532	1	1	1922	40
175	30031532	1	2	1933	41
176	30031532	2	1	1955	40
177	30031532	2	2	1977	30
178	30031532	1	1	2009	40
179	30031532	3	2	2020	68
180	30031532	2	1	2102	40
181	30031532	2	2	2107	44
182	30031532	1	1	2127	40
183	30031532	1	1	2149	40
184	30031532	1	1	2171	40
185	30031532	2	2	2193	74
186	30031532	1	2	2193	27
187	30031532	1	2	2225	41
188	30031533	1	2	100	35
189	30031533	2	2	150	38
190	30031533	1	2	207	35
191	30031533	2	2	257	42
192	30031533	1	2	310	23
193	30031533	3	1	350	40
194	30031533	2	2	365	22
195	30031533	3	1	403	40
196	30031533	3	2	417	30
197	30031533	3	1	457	40
198	30031533	1	2	472	15
199	30031533	2	2	492	33
200	30031533	1	2	550	12
201	30031533	2	1	562	40
202	30031533	2	2	570	12
203	30031533	1	1	582	40
204	30031533	3	1	590	40
205	30031533	3	2	605	17
206	30031533	3	2	627	22
207	30031533	2	2	657	12
208	30031533	1	1	668	40
209	30031533	1	2	677	12
210	30031533	2	1	688	40
211	30031533	3	1	697	40
212	30031533	3	2	708	18
213	30031533	3	2	732	22
214	30031533	3	1	765	40
215	30031533	3	1	784	40
216	30031533	3	1	803	40
217	30031533	2	2	817	30
218	30031533	3	1	857	40
219	30031533	3	2	872	38
220	30031533	3	1	923	40
221	30031533	3	2	975	28
222	30031533	1	1	1015	40
223	30031533	2	1	1028	40
224	30031533	1	1	1042	40
225	30031533	2	2	1048	12
226	30031533	1	2	1063	13
227	30031533	3	2	1083	30
228	30031533	3	1	1127	40
229	30031533	3	1	1138	40
230	30031533	2	2	1157	12
231	30031533	1	2	1170	8
232	30031533	3	2	1190	23
233	30031533	3	1	1228	40
234	30031533	3	1	1242	40
235	30031533	3	1	1242	40
236	30031533	3	1	1257	40
237	30031533	1	2	1275	12
238	30031533	2	2	1290	10
239	30031533	3	2	1305	22
240	30031533	2	1	1337	40
241	30031533	1	1	1350	40
242	30031533	3	1	1360	40
243	30031533	3	1	1360	40
244	30031533	3	2	1370	35
245	30031533	3	1	1458	40
246	30031533	2	2	1475	18
247	30031533	1	2	1497	13
248	30031533	2	2	1513	13
249	30031533	3	2	1532	18
250	30031533	3	1	1563	40
251	30031533	1	2	1583	17
252	30031533	2	2	1603	13
253	30031533	1	2	1620	13
254	30031533	3	1	1638	40
255	30031533	3	2	1670	15
256	30031533	2	2	1690	18
257	30031533	1	2	1712	12
258	30031533	2	2	1727	15
259	30031533	1	2	1745	18
260	30031533	3	2	1777	30
261	30031533	2	1	1818	40
262	30031533	1	1	1832	40
263	30031533	3	2	1843	25
264	30031533	1	1	1883	40
265	30031533	1	1	1888	40
266	30031533	1	1	1895	40
267	30031533	2	1	1902	40
268	30031533	2	1	1907	40
269	30031533	2	1	1913	40
270	30031533	1	1	1922	40
271	30031533	2	1	1928	40
272	30031533	3	2	1937	20
273	30031533	2	1	1992	40
274	30031533	2	1	1997	40
275	30031533	2	1	2003	40
