Id	CharacterId	TalentType	Name	TalentDes	Icon	BattleRoomBg
1	1081002	1	Puppet Master	Use one decoy to escape danger and lure the enemy. [Decoy — Aggro — Detonation]	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconSingle.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDi.png
2	1081002	2	Shadow Dancer	Generate multiple phantoms to launch the deadly strike. [Clone — Technique — Attack From Behind]	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconRotations.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDiTwo.png
3	1071002	1	Valkyrie	Use the aerial firepower support to support your team in battle [Barrage — Support — Signature]	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconSingle.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDi.png
4	1071002	2	Blossom in Battle	Switch Core modes to deal with different situations. [Core — Switch — Agility]	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconRotations.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDiTwo.png
5	1061002	1	Lion's Heart	Continuously block and counterattack in a relaxed manner. [Block — Counterattack — Survival]	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconSingle.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDi.png
6	1061002	2	Insolence	Cast the Domain and use techniques to finish the enemy. [Domain — Technique — Endurance]	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconRotations.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDiTwo.png
7	1051003	1	Blazing Meteor	The lively girl and her brilliant track. [Track — Speed — Control]	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconSingle.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDi.png
8	1051003	2	Machine Awakening	Control the enemy to support and enhance your team in battle [Machine — Convert — Control]	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconRotations.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDiTwo.png
9	1131002	1	Bramble Heart	Give up on the endless, painful battle. [Price — Battle — High Speed]	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconSingle.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDi.png
10	1131002	2	Star of Life	Share the pain for your friends and heal them. [Sacrifice — Recovery — Support]	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconRotations.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDiTwo.png
