Id	DisplayAttriName[1]	DisplayAttriType[1]	DisplayAttriName[2]	DisplayAttriType[2]	DisplayAttriName[3]	DisplayAttriType[3]	DisplayAttriName[4]	DisplayAttriType[4]
1041002	ATK	11	DEF	23	CRIT	44	HP	1
1011002	ATK	11	DEF	23	CRIT	44	HP	1
1051003	ATK	11	DEF	23	CRIT	44	HP	1
1131002	ATK	11	DEF	23	CRIT	44	HP	1
1021001	ATK	11	DEF	23	CRIT	44	HP	1
1081003	ATK	11	DEF	23	CRIT	44	HP	1
1061002	ATK	11	DEF	23	CRIT	44	HP	1
1031003	ATK	11	DEF	23	CRIT	44	HP	1
1021002	ATK	11	DEF	23	CRIT	44	HP	1
1071002	ATK	11	DEF	23	CRIT	44	HP	1
1161002	ATK	11	DEF	23	CRIT	44	HP	1
1121002	ATK	11	DEF	23	CRIT	44	HP	1
1211002	ATK	11	DEF	23	CRIT	44	HP	1
1071003	Attack	11	Defense	23	Critical	44	Health	1
1011003	Attack	11	Defense	23	Critical	44	Health	1
1091002	Attack	11	Defense	23	Critical	44	Health	1
1111002	Attack	11	Defense	23	Critical	44	Health	1
1031002	Attack	11	Defense	23	Critical	44	Health	1
1021003	ATK	11	DEF	23	CRIT	44	Health	1
1051001	ATK	11	DEF	23	CRIT	44	Health	1
1061003	ATK	11	DEF	23	CRIT	44	Health	1
1031001	ATK	11	DEF	23	CRIT	44	Health	1
1081002	ATK	11	DEF	23	CRIT	44	HP	1
