Id	Name	SubName	MonsterNpcDataId	IsBoss	Scale	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ
1	Musashi VI	Musashi Mk.VI	90420	0	1						
2	Huaxu	Hua Xu	83520	1	1.3		-0.6				
3	Excavator	Picker	90220	0	1.45						
4	Explorer	Dowser	90370	0	1.2						
5	Royal guard	Praetorian	91340	0	0.85						
6	Hetero Deconstruct Unit	Xeno-disassemble Unit	91600	0	1.42						
7	Bio-Salamander	Bionic Newt	92260	0	1						
8	Missionary	Evangelists	90170	0	1.35						
9	Roseblade	Roseblade	81300	1	1.42						
10	Musashi IX	Musashi Mk.IX	812000	1	1.05						
11	A'Mao	Sige-san	92740	0	0.9						
12	Pilgrim	Patrol	90110	0	1.1						
13	Firefighter	Fire Engine	90350	0	0.8						
14	Cathy	Kelsi	90710	0	1						
15	Naval 5 - Squid	O5-Squid	90770	0	1.3						
16	Aerial 7 - Snow Owl	A7-Bubo Scandiaca	90750	0	0.8						
17	Ground 3 - Rabbit	L3-Fuzzy lop	90760	0	1.25						
18	Nozzle	Spraying Machine	81500	0	0.7						
19	Hetero Explore Unit	Xeno-recon Unit	90630	0	0.7						
20	Executor	Executor	91180	0	1.2						
21	Camu	Camu	83100	1	1.5						
22	Gardener	Gardener	91210	0	1						
23	Shieldbearer	Guardian	91190	0	1.2						
24	Pilgrim	Partol unit	91110	0	1						
25	Kowloong Crew - Yazi	Yazi	90680	0	1.4						
26	Kemuri I	Yanfen	90670	0	1.6						
27	Unknown Construct α 	α	81900	1	1.4						
28	Polar Soldier	Polar Ranger	90450	0	0.95						
29	Blubber VI	Lishi Mk.VI	90640	0	0.9						
30	Ballwheel IV	Wulun Mk.IV	90650	0	1.2						
31	Heteromer Sentry Gun	Xeno-sentry Gun	91480	0	1.5						
32	Vassago	 	81800	1	0.4						
33	Shark-speare	Sharkspeel	837100	1	0.9						
34	Amberia	Amberia	83800	1	0.66	0.15		-0.44			
35	Moyuan		90800	0	1.45						
36	Guardian I		90790	0	1.16						
37	Gabriel		836000	1	0.95	0.14					
38	Pterygota Queen		841000	1	1						
39	Phecda		90690	0	1.45						
40	Prime		90700	0	1.4						
41	Roland		816000	1	1.4						
42	Lotus		70020	1	1.3						
43	Palefire		70010	1	1.3						
44	Eclipse		70030	1	1.3						
45	Qu		835000	1	1.6						
46	Hanged Man III		90660	0	1.1						
47	Martini		90720	0	1						
48	Envoy		90330	0	1.1						
49	Acid Ant		90410	0	0.6						
50	Ground Monitor		90090	0	1.2						
51	Heteromer Hydraulic		90470	0	0.9						
52	Deep-sea Ambusher		90460	0	1.3						
53	Rosetta		83220	1	1.2						
54	Sentry Gun		90160	0	1						
55	Heteromer Fire Unit		90620	0	1.1						
56	Terrapod		90440	0	0.9						
57	Win		90830	0	0.8						
58	Buthus		90940	0	1						
59	Hetero Repair Unit		90610	0	1.2						
60	Tamer		90130	0	1.15						
61	Deconstructor		90360	0	1.3						
62	Popper		92860	0	1						
63	Mr. White		90730	0	1						
64	Heteromer Aerial Monitor		90490	0	1						
65	Polar Bear		90780	0	1.1						
66	Jaspers		90870	0	0.9						
67	Harvester		90390	0	0.4						
68	Ronin IV		90250	0	1.25						
69	Monkfish		90930	0	1.1						
70	Blair		90960	0	1.8						
71	M4-Medic Bot		90970	0	1.4						
72	Luna		83900	1	1.5						
73	Corrupted Construct		90890	0	1						
74	Bio-Bull		90400	0	1						
75	Gear		90910	0	0.8						
76	Sergeant PK43		90980	0	0.6					-25	
77	Heteromer Terminal		90500	0	1						
78	Recycle Prisoner		90950	0	0.9						
79	Machiavelli		84200	1	0.8						
80	Tai'E		92810	0	1.3					-15	
81	Hetero Deconstruct Unit	Xeno-disassemble Unit	91600	0	1						
82	Shark-speare	Sharkspeel	837000	1	0.9	-0.2		-0.3			
83	Qu		835000	1	1.6						
84	Repairer		90030	0	1.3						
85	Aerial Monitor		90100	0	1.2						
86	Protector		90120	0	1						
87	Hydraulic		90150	0	1						
88	Chomper		90850	0	1						
89	Sea Squirt		90900	0	1.2						
90	Construct		90380	0	1.3						
91	Construct Soldier (Female)		93050	0	1.3						
92	Hetero-Sapien		93030	0	1.7						
93	DB02-Sanitizer		93010	0	1						
94	SSG-Meanderer		93020	0	1						
95	Trailblazing Surfer		90990	0	1.15						
96	Siren		84300	1	0.6						
97	Punishing Heteromer Mother		84400	1	0.55		-4.51				
98	Lamia		846000	1	0.7						
99	Shark-speare	Sharkspeel	837000	1	0.9	0.09					
100	Nalasr-E		93180	0	1						
101	Heal-Z		93190	0	1						
102	Chela Host		93301	0	1						
103	Courier-M		93230	0	1						
104	Deporter-R		93221	0	1						
105	Gung-hoer		93160	0	1						
106	MC Solar		82200	1	1						
107	Riot		82150	1	1						
