Id	Name	SkillType	CastTime	AfterTime	Animation	StandStage	CastMagicIds	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime	SkillPriority	Snapshot	SkillAnimationPriority	CoexistSkills
851001	格挡		1	0	Attack05		852048	852049		10	2		2		1					
851002	反身拳		3.15	0.15	Attack17		851009	851009		10	2		3		4					
851003	上勾拳		2.35	0.05	Attack16		851009	851009		10	6		2		4					
851004	欧拉拳		4.6	0.2	Attack12		851009	851009		10	2		2		4					
851005	格挡反击1		2.3	0.2	Attack06					10	6		2		4					
851006	流星冲锋坠		6	1.9	Attack29		851080|851081|851083|851084|851009	851082|851085|852041|851009		10	4		2		4					
851007	交叉射击		2.1	0.4	Attack10		851009	851009		10	2		2		4					
851008	推进拳		2.8	0.6	Attack15		851009	851009|851082		10	1		2		4					
851009	下段斩		3.2	0.5	Attack22		851009	851009		10	6		2		4					
851010	一阶段前推		1.2	0.3	Attack01			851009		10	6		2		4					
851011	一阶段后推		1.2	0.3	Attack02			851009		10	2		2		4					
851012	一阶段左推		1	0.4	Attack03			851009		10	2		2		4					
851013	一阶段右推		1	0.4	Attack04			851009		10	2		2		4					
851014	二阶段格挡反击		3.2	0.8	Attack30		851082|851085	851082|851085		10	6		2		4					
851015	拼刀受击击飞大		2.8	1.1	Attack07		851082|851085			10	2		2		4					
851016	二阶段地面蓄力炮		1.9	1	Attack20		851009	851009		10	6		2		4					
851017	二阶段空中左推1		1	0	Attack28		851080|851081|851083|851084|852040	852041		10	2		2		2					
851018	二阶段空中右推1		1	0	Attack27		851080|851081|851083|851084|852040	852041		10	2		2		2					
851019	二阶段空中左推2		3	0	Attack36		851080|851081|851083|851084|852040	852041		10	2		2		2					
851020	二阶段空中右推2		3	0	Attack35		851080|851081|851083|851084|852040	852041		10	2		2		2					
851021	移动射击向前		3.1	0.9	Attack13			852041|851009		10	6		2		4					
851022	光刃三连		4.4	1.8	Attack23		851009	851009		10	6		2		4					
851023	光刃上天		3	0	Attack24			852041		10	2		2		4					
851024	光刃二连		2.2	2.2	Attack41					10	6		2		4					
851025	胸炮浮空版		2.3	0	Attack37		852040|851009	852041|851009		10	2		2		4					
851026	胸炮地面起跳版		6.4	0.8	Attack21		851009	852041|851009		10	2		2		4					
851027	升龙腿		3.6	2.4	Attack38			851082		10	2		-3		4					
851028	空落锤		3.6	0.8	Attack09		851009	851082|851085|851009		10	3		0		4					
851029	重火锤		4.9	0.3	Attack11			851075		10	2		2		4					
851030	后退斩		1.6	1.1	Attack40					10	2		2		4					
851031	响指波		1.3	0.35	Attack08					10	2		2		4					
851032	瑟提锤		2.7	0.8	Attack43			851082|851085|851009		10	6		2		4					
851033	拼刀小受击		2.8	1	Attack42		851082|851085			10	6		2		4					
851034	二连拳		2.1	0.5	Attack44		851009	851009		10	2		1		4					
