Id	Name	SkillType	CastTime	AfterTime	Animation	StandStage	CastMagicIds	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime	SkillPriority	Snapshot	SkillAnimationPriority	CoexistSkills
873601	几何体虫的技能1		3.9	0	Attack01					10	0		2	0	4					
873602	几何体虫的技能2		3.9	0	Attack02					10	0		2	0	4					
873603	几何体虫的技能3		3.95	0	Attack03					10	0		2	0	4					
873604	几何体虫的技能4		2.15	0	Attack04					10	0		2	0	4					
873605	几何体虫的技能5		2.85	0	Attack05					10	0		2	0	4					
873606	几何体虫的技能6		4.45	0	Attack06					10	0		2	0	4					
873607	几何体虫的技能7		5.2	0	Attack07					10	0		2	0	4					
873608	几何体虫的技能8		5.1	0	Attack08					10	0		2	0	4					
873609	几何体虫的技能9		2.8	0	Attack09					10	0		2	0	4					
873610	几何体虫的技能10		2.55	0	Attack10					10	0		2	0	4					
873611	几何体虫的技能11		5.05	0	Attack11					10	0		2	0	4					
873612	变身几何体的技能1		3.05	0	Born					10	0		2	0	4					
873613	几何体虫的技能13		2.45	0	Death					10	0		2	0	4					
873614	几何体虫的技能14远离（双人成行玩法用）		2.15	0	Attack04					10	0		2	0	4					
873615	几何体虫的技能14靠近（双人成行玩法用）		2.15	0	Attack04					10	0		2	0	4					
873901	几何体虫柱子		1	0	Attack01					10	0		2	0	4					
873902	几何体虫柱子快速扫描		3	0	Attack02					10	0		2	0	4					
873903	几何体虫柱子快速扫描-强力模式		3	0	Attack02					10	0		2	0	4					
873904	几何体虫柱子快速扫描-反		3	0	Attack02					10	0		2	0	4					
873905	几何体虫柱子快速扫描-强力模式-反		3	0	Attack03					10	0		2	0	4					
873906	几何体虫柱子全盘查杀		3	0	Attack02					10	0		2	0	4					
873907	几何体虫柱子全盘查杀-强力模式		8	0	Attack03					10	0		2	0	4					
873908	几何体虫柱子精确查杀		3	0	Attack02					10	0		2	0	4					
873909	几何体虫柱子精确查杀-强力模式		8	0	Attack03					10	0		2	0	4					
874001	几何体柱小的技能1		3	0	Attack02					10	0		2	0	4					
874002	几何体柱小的技能2		3	0	Attack02					10	0		2	0	4					
874003	几何体柱小的技能3		3	0	Attack02					10	0		2	0	4					
874101	变身几何体的技能1		3.75	0	Born					10	0		2	0	4					
874102	变身几何体的技能2		2.8	0	Attack01					10	0		2	0	4					
874103	变身几何体的技能3		2.35	0	Attack02					10	0		2	0	4					
874104	变身几何体的技能4		2.75	0	Attack03					10	0		2	0	4					
874105	变身几何体的技能5		3.05	0	Attack04					10	0		2	0	4					
874106	变身几何体的技能6		2.35	0	Attack05					10	0		2	0	4					
874107	变身几何体的技能7		2.65	0	Attack06					10	0		2	0	4					
874108	变身几何体的技能8		2.4	0	Attack07					10	0		2	0	4					
874109	变身几何体的技能9		10	0	Attack08					10	0		2	0	4					
874110	变身几何体的技能10		2.4	0	Attack09					10	0		2	0	4					
874111	变身几何体的技能11		3.95	0	Attack10					10	0		2	0	4					
874112	变身几何体的技能12		6	0	Attack11					10	6		2	0	4					
874113	变身几何体的技能13		3.6	0	Attack12					10	0		2	0	4					
874114	变身几何体的技能14		3.95	0	Attack10					10	0		2	0	4					
874115	变身几何体的技能15		2	0	Attack11					10	0		2	0	4					
874116	变身几何体的技能16		3.6	0	Attack12					10	0		2	0	4					
874117	变身几何体的技能6		2.35	0	Attack05					10	0		2	0	4					
874118	变身几何体的技能6		2.35	0	Attack05					10	0		2	0	4					
874119	变身几何体的技能6		7.05	0	Attack05					10	0		2	0	4					
874120	变身几何体的技能6		7.05	0	Attack05					10	0		2	0	4					
874121	变身几何体的技能9		10	0	Attack08					10	0		2	0	4					
874122	变身几何体的技能9		4	0	Attack08					10	0		2	0	4					
874123	变身几何体的技能9		6	0	Attack08					10	0		2	0	4					
874124	变身几何体的技能9		4	0	Attack08					10	0		2	0	4					
874125	变身几何体的技能12		2	0	Attack11					10	0		2	0	4					
874126	变身几何体的技能12		2	0	Attack11					10	0		2	0	4					
874127	变身几何体的技能12		2	0	Attack11					10	0		2	0	4					
874128	变身几何体的技能12		2	0	Attack11					10	0		2	0	4					
875001	加百列的技能左扫		3.4	0	Attack01					10	2		2	0	4					
875002	加百列的技能右扫		2.4	0	Attack02					10	2		2	0	4					
875003	加百列的技能捅		1.5	0.7	Attack03					10	2		2	0	4					
875004	加百列的技能挑		2.7	1.5	Attack04					10	2		2	0	4					
875005	加百列的技能棒子砸地		2.55	1.5	Attack05					10	2		2	0	4					
875006	加百列的技能吸拽按射扫		6.45	0	Attack06					10	2		2	0	0					
875007	加百列的技能7		0	0	Attack07					10	2		2	0	0					
875008	加百列的技能激光扫		4.05	0	Attack08					10	2		2	0	4					
875009	加百列的技能后空翻		1.65	0	Attack09			875193		10	2		2	0	4					
875010	加百列的技能咆哮		4.55	0	Attack10					10	2		2	0	0					
875011	加百列的技能360扫		5.05	0	Attack21					10	2		2	0	4					
875012	加百列的技能12		0	0	Attack12					10	2		2	0	0					
875013	拽扫		3.5	0	Attack13					10	2		2	0	4					
875014	射啊		2.9	0	Attack14					10	2		2	0	4					
875015	阶段切换		4.9	0	Attack01					10	2		2	0	4					
875016	横扫棍子		4	0	Attack02					10	2		2	0	4					
875017	右跳		1.05	0.35	Attack03			875193		10	2		2	0	4					
875018	左跳		1.05	0.35	Attack04			875193		10	2		2	0	4					
875019	后跳		0.85	0.55	Attack05			875193		10	2		2	0	4					
875020	冲刺抓		2.7	0	Attack09					10	6		2	0	4					
875021	恒星咆哮		4.3	0	Attack15					10	2		2	0	4					
875022	陨石咆哮		4.3	0	Attack15					10	2		2	0	4					
875023	普攻拍地		4.1	0	Attack10					10	2		2	0	4					
875024	冲刺连击		3.6	0	Attack08					10	2		2	0	4					
875025	2连击		2.8	0	Attack11					10	6		2	0	4					
875026	加百列的技能26		5.7	0	Born					10	2		2	0	0					
875027	冲刺连击20米释放		3.6	0	Attack08					10	2		2	0	4					
875028	加百列的技能跳砍		3.5	0	Attack19					10	2		2	0	4					
875029	近跳		1.05	0.45	Attack17			875193		10	3		2	0	4					
875030	防冲击		2.35	0	Attack18					10	2		2	0	0					
875031	死亡技能		99	0	Death					10	2		2	0	0					
