Id	Name	SkillType	CastTime	AfterTime	Animation	StandStage	CastMagicIds	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime	SkillPriority	Snapshot	SkillAnimationPriority	CoexistSkills
120101	普攻1	1	0.5	4	Attack01					10	2		3	0	0					
120102	普攻2	1	0.5	4.6	Attack02					10	2		3	0	0					
120103	普攻3	1	0.9	4.4	Attack03	1				10	2		3	0	0					
120104	普攻4	1	1.1	4.733	Attack04	1				10	2		3	0	0					
120105	普攻5	1	1	2.167	Attack05	1				10	2		3	0	0					
120106	普攻6	1	1.1	3.3	Attack06			120181		10	2		3	0	0					
120107	普攻7	1	1.2	5.333	Attack07	1		120181		10	2		3	0	0					
120108	普攻突进	1	0.5	4	Attack01					10	2		3	0	0					
120109	红球1消	11	1.05	5.217	Attack11	1	120157	120158		10	2		2	0	0					
120110	红球2消	12	1.05	5.217	Attack11	1	120157	120158		10	2		2	0	0					
120111	红球3消	13	1.05	5.217	Attack11	1	120157	120158		10	2		2	0	0					
120112	蓝球1消	21	0.6	3.5	Attack21		120157	120158|120152|120154		10	2		2	0	0					
120113	蓝球2消	22	0.6	3.5	Attack21		120157	120158|120152|120154		10	2		2	0	0					
120114	蓝球3消	23	0.6	3.5	Attack21		120157	120158|120152|120154		10	2		2	0	0					
120115	黄球1消	31	1.1	4.433	Attack31		120157	120158		10	5		2	0	4					
120116	黄球2消	32	1.1	4.433	Attack31		120157	120158		10	5		2	0	4					
120117	黄球3消	33	1.1	4.433	Attack31		120157	120158		10	5		2	0	4					
120118	出场技	3	1.1	4.433	Attack31		120157	120158		10	2		2	0	0					
120119	QTE技能	7	3.6	0	AttackQte		100091	100092		10	2		2	0	0					
120120	闪避	5	0.45	1.083	Move1		100090|120172	100094		10	2		2	0	0	0.45				
120121	默认向后闪避	6	0.45	0.883	Move2		100090|120172	100094		10	2		2	0	0	0.45				
120122	冲刺攻击	1	0.95	4.383	Attack42	1				10	2		2	0	0					
120123	大招判定	2	3	4.167	Attack51	1	120157|100091|120594|120189|120108	120163|120158|100092		10	2		4	0	0					
120124	大招触发	2	2	2.333	Attack52	1	100091|120594	100092|120149		10	2		2	0	0					
120125	胜利1	8	100	0	Win		120188			10	2		2	0	0					
120126	胜利2	8	100	0	Win		120188			10	2		2	0	0					
120127	交互动作	9	0	100	Save					10	2		2	0	0					
120128	出生技能	4	0	4.6	Born	1	120187			10	2		2	0	0					
120129	自爆	1	11	1.667	Attack61	1	120155	120163|120167|120156		10	2		2	0	0					
120130	大招判定Ex	2	3	4.167	Attack51	1	120157|100091|120594|120594|120189|120108	120163|120158|100092		10	2		4	0	0					
120131	普攻1Ex	1	0.5	4	Attack01					10	2		2	0	0					
120132	普攻2Ex	1	0.5	4.6	Attack02					10	2		2	0	0					
120133	普攻3Ex	1	0.9	4.4	Attack03	1				10	2		2	0	0					
120134	普攻4Ex	1	1.1	4.733	Attack04	1				10	2		2	0	0					
120135	普攻5Ex	1	1	2.167	Attack05	1				10	2		2	0	0					
120136	普攻6Ex	1	1.1	3.3	Attack06			120181		10	2		2	0	0					
120137	普攻7Ex	1	1.2	5.333	Attack07	1		120181		10	2		2	0	0					
120138	普攻突进Ex	1	0.5	4	Attack01					10	2		2	0	0					
120139	红球1消Ex	11	1.05	5.217	Attack11	1	120157	120158		10	2		2	0	1					
120140	红球2消Ex	12	1.05	5.217	Attack11	1	120157	120158		10	2		2	0	1					
120141	红球3消Ex	13	1.05	5.217	Attack11	1	120157	120158		10	2		2	0	1					
120142	黄球1消Ex	31	1.1	4.433	Attack31		120157	120158		10	5		2	0	4					
120143	黄球2消Ex	32	1.1	4.433	Attack31		120157	120158		10	5		2	0	4					
120144	黄球3消Ex	33	1.1	4.433	Attack31		120157	120158		10	5		2	0	4					
120145	冲刺攻击Ex	1	0.95	4.383	Attack42	1				10	2		2	0	0					
120146	蓝球1消Ex	21	0.6	3.5	Attack21		120157	120158|120152|120154		10	2		2	0	0					
120147	蓝球2消Ex	22	0.6	3.5	Attack21		120157	120158|120152|120154		10	2		2	0	0					
120148	蓝球3消Ex	23	0.6	3.5	Attack21		120157	120158|120152|120154		10	2		2	0	0					
