Id	Name	SkillType	CastTime	AfterTime	Animation	StandStage	CastMagicIds	FinalMagicIds	Cd	DistNoTarget	SkillMoveType	DistAbort	SkillMoveTrackDistance	MissileLockTarget	SkillFaceType	DodgeLimitTime	SkillPriority	Snapshot	SkillAnimationPriority	CoexistSkills
120401	Poda的技能1		0	1	Attack01					10	0		2	0	0					
120402	Poda的技能2		0	1	Attack02					10	0		2	0	0					
120601	锤1	41	1.7	0	Attack11		120664|120647	120665		10	0		2	1	2					
120602	锤2	42	1.7	0	Attack11		120664|120648	120665		10	0		2	1	2					
120603	锤3	43	1.7	0	Attack11		120664|120649	120665		10	0		2	1	2					
120604	剑1	41	0.1	0			120651|120666			10	5		2	0	2					
120605	剑2	42	0.1	0			120652|120666			10	5		2	0	2					
120606	剑3	43	0.1	0			120653|120666			10	5		2	0	2					
120607	爆1	41	3.5	0	Attack13		120690			10	7		2	1	4					
120608	爆2	42	5.5	0	Attack13		120690			10	7		2	1	4					
120609	爆3	43	8.5	0	Attack13		120690			10	7		2	1	4					
120611	射1	1	7.5	0	Attack13					10	7		2	1	4					
120612	射2	1	7.5	0	Attack13					10	7		2	1	4					
120613	射3	1	7.5	0	Attack13					10	7		2	1	4					
120614	射4	1	8.5	0	Attack13					10	7		2	1	4					
120615	射5	1	8.5	0	Attack13					10	7		2	1	4					
120616	射6	1	8.5	0	Attack13					10	7		2	1	4					
120617	射7	1	9.5	0	Attack13					10	7		2	1	4					
120618	射8	1	9.5	0	Attack13					10	7		2	1	4					
120619	射9	1	9.5	0	Attack13					10	7		2	1	4					
