Id	CharacterId	ShapId	BaseDataTitle[1]	BaseData[1]	BaseDataTitle[2]	BaseData[2]	BaseDataTitle[3]	BaseData[3]	BaseDataTitle[4]	BaseData[4]	BaseDataTitle[5]	BaseData[5]	BaseDataTitle[6]	BaseData[6]	Cast[1]	Cast[2]	Cast[3]	Cast[4]
1	1011002	1	Service Time	2 Years	Activation Date	23-Jul	Height	175cm	Weight	63kg	Vital Fluid Type	AB	Mental Age	18	Yoshitsugu Matsuoka	Xia Hou Luo Feng	Quan Wei	Chris Hackney
2	1021001	1	Service Time	6 Years	Activation Date	15-Jun	Height	165cm	Weight	48kg	Vital Fluid Type	A	Mental Age	17	Yui Ishikawa	Xiao N	Wei Hu Dian	Sura Siu
3	1031001	1	Service Time	2 Years	Activation Date	10-Aug	Height	155cm	Weight	43kg	Vital Fluid Type	O	Mental Age	16	Miku Ito	Duo Duo	Xian Ta Wu Tong	Brianna Knickerbocker
4	1041002	1	Service Time	6 Years	Activation Date	21-Nov	Height	172cm	Weight	57kg	Vital Fluid Type	A	Mental Age	25	Ayako Kawasumi	Yun He Zhui	Shen Ming Ling	Skyler Davenport
5	1051001	1	Service Time	Unknown	Activation Date	Unknown	Height	145cm	Weight	45kg	Vital Fluid Type	Unknown	Mental Age	Unknown	Minami Tanaka	Zhao Shuang	Lan Feng Feng Mi Lu Cha	Melody Peng
6	1061002	1	Service Time	3 Years	Activation Date	23-Oct	Height	180cm	Weight	72kg	Vital Fluid Type	B	Mental Age	19	Jun Fukuyama	DK	A Ge Yi Ao	Patrick Gruia
7	1071002	1	Service Time	4 Years	Activation Date	2-Mar	Height	163cm	Weight	42kg	Vital Fluid Type	B	Mental Age	16	Haruka Tomatsu	Hua Ling	Dong Dong	Heather Gonzalez
8	1081002	1	Service Time	6 Years	Activation Date	12-Apr	Height	185cm	Weight	76kg	Vital Fluid Type	O	Mental Age	26	Yoshimasa Hosoya	Sen Zhong Ren	Xing Luo	Daman Mills
9	1021002	1	Service Time	6 Years	Activation Date	15-Jun	Height	165cm	Weight	48kg	Vital Fluid Type	A	Mental Age	17	Yui Ishikawa	Xiao N	Wei Hu Dian	Sura Siu
10	1031002	1	Service Time	2 Years	Activation Date	10-Aug	Height	155cm	Weight	43kg	Vital Fluid Type	O	Mental Age	16	Miku Ito	Duo Duo	Xian Ta Wu Tong	Brianna Knickerbocker
11	1071003	1	Service Time	4 Years	Activation Date	2-Mar	Height	163cm	Weight	42kg	Vital Fluid Type	B	Mental Age	16	Haruka Tomatsu	Hua Ling	Dong Dong	Heather Gonzalez
12	1031003	1	Service Time	2 Years	Activation Date	10-Aug	Height	155cm	Weight	43kg	Vital Fluid Type	O	Mental Age	16	Miku Ito	Duo Duo	Xian Ta Wu Tong	Brianna Knickerbocker
13	1061003	1	Service Time	3 Years	Activation Date	23-Oct	Height	180cm	Weight	72kg	Vital Fluid Type	B	Mental Age	19	Jun Fukuyama	DK	A Ge Yi Ao	Patrick Gruia
14	1011003	1	Service Time	2 Years	Activation Date	23-Jul	Height	175cm	Weight	63kg	Vital Fluid Type	AB	Mental Age	18	Yoshitsugu Matsuoka	Xia Hou Luo Feng	Quan Wei	Chris Hackney
15	1051003	1	Service Time	Unknown	Activation Date	Unknown	Height	145cm	Weight	45kg	Vital Fluid Type	Unknown	Mental Age	Unknown	Minami Tanaka	Zhao Shuang	Lan Feng Feng Mi Lu Cha	Melody Peng
16	1021003	1	Service Time	6 Years	Activation Date	15-Jun	Height	165cm	Weight	48kg	Vital Fluid Type	A	Mental Age	17	Yui Ishikawa	Xiao N	Wei Hu Dian	Sura Siu
17	1081003	1	Service Time	6 Years	Activation Date	12-Apr	Height	185cm	Weight	76kg	Vital Fluid Type	O	Mental Age	26	Yoshimasa Hosoya	Sen Zhong Ren	Xing Luo	Daman Mills
18	1091002	1	Service Time	1 Year	Activation Date	15-Dec	Height	167cm	Weight	64kg	Vital Fluid Type	O	Mental Age	18	Shizuka Itō	Gong Dafang	Cute Berry	Kelsey Jaffer
19	1041003	1	Service Time	6 Years	Activation Date	21-Nov	Height	172cm	Weight	57kg	Vital Fluid Type	A	Mental Age	25	Ayako Kawasumi	Yun He Zhui	Shen Ming Ling	Skyler Davenport
20	1111002	1	Service Time	0 Year	Activation Date	3-Oct	Height	153cm	Weight	36kg	Vital Fluid Type	A	Mental Age	15	Koshimizu Ami	Cai Na	Xiao Xiao	Christina Costello
21	1121002	1	Service Time	2 Years	Activation Date	31-Jul	Height	178cm	Weight	60kg	Vital Fluid Type	B	Mental Age	19	Daisuke Hirakawa	Da Bai	ken	Brett Calo
22	1021004	1	Service Time	6 Years	Activation Date	15-Jun	Height	165cm	Weight	48kg	Vital Fluid Type	A	Mental Age	17	Yui Ishikawa	Xiao N	Wei Hu Dian	Sura Siu
23	1131002	1	Service Time	2 Years	Activation Date	31-Oct	Height	164cm	Weight	44kg	Vital Fluid Type	B	Mental Age	17	Marina Inoue	Jiang Yue	YUI	Dawn M. Bennett
24	1511003	1	Service Time	Unknown	Activation Date	23-Oct	Height	180cm	Weight	72kg	Vital Fluid Type	B	Mental Age	19	Jun Fukuyama	DK	A Ge Yi Ao	Patrick Gruia
25	1141003	1	Service Time	0 Year	Activation Date	25-Dec	Height	177cm	Weight	65kg	Vital Fluid Type	A	Mental Age	18	Miyuki Sawashiro	He Wenxiao	Shixin	Sam Slade
26	1521003	1	Service Time	0 Year	Activation Date	3-Jan	Height	162cm	Weight	43kg	Vital Fluid Type	AB	Mental Age	18	Sayaka Ohara	Ye Zhiqiu	Ling San	Stephanie Novak
27	1161002	1	Service Time	0 Year	Activation Date	7-Apr	Height	157cm	Weight	51kg	Vital Fluid Type	A	Mental Age	16	Natsuki Hanae	kinsen	Bao Shaoye	Caleb Yen
28	1171003	1	Service Time	0 Year	Activation Date	26-Oct	Height	159cm	Weight	41kg	Vital Fluid Type	AB	Mental Age	16	Rie Kugimiya	Si Bai	Zhou Haixian	Suzie Yeung
29	1181003	1	Service Time	Unknown	Activation Date	Unknown	Height	168cm (with heels)	Weight	148.8kg	Vital Fluid Type	Unknown	Mental Age	Unknown	Yui Ishikawa	Yui Ishikawa	Yui Ishikawa	Yui Ishikawa
30	1191003	1	Service Time	Unknown	Activation Date	30-Jan	Height	160cm (with boots)	Weight	129.9kg	Vital Fluid Type	Unknown	Mental Age	Unknown	Natsuki Hanae	Natsuki Hanae	Natsuki Hanae	Natsuki Hanae
31	1201003	1	Service Time	Unknown	Activation Date	Unknown	Height	168cm (with heels)	Weight	139.2kg	Vital Fluid Type	Unknown	Mental Age	Unknown	Ayaka Suwa	Ayaka Suwa	Ayaka Suwa	Ayaka Suwa
32	1211002	1	Service Time	1 Year	Activation Date	21-May	Height	178cm	Weight	64kg	Vital Fluid Type	B	Mental Age	20	Akira Ishida	Sun Peng	Mielu Jun	Corey Wilder
33	1531003	1	Service Time	3 Years	Activation Date	27-Sep	Height	163cm	Weight	41kg	Vital Fluid Type	O	Mental Age	20	Satomi Satō	Liu Zhixiao	Yi Yuan	Judy Lee
34	1121003	1	Service Time	2 Years	Activation Date	31-Jul	Height	178cm	Weight	60kg	Vital Fluid Type	B	Mental Age	19	Daisuke Hirakawa	Da Bai	ken	Brett Calo
35	1221002	1	Service Time	2 Years	Activation Date	21-Jan	Height	154cm	Weight	42kg	Vital Fluid Type	O	Mental Age	22	Inori Minase	Qian Chen	P	Sarah Williams
36	1131003	1	Service Time	2 Years	Activation Date	31-Oct	Height	164cm	Weight	44kg	Vital Fluid Type	B	Mental Age	17	Marina Inoue	Jiang Yue	YUI	Dawn M. Bennett
37	1541003	1	Service Time	Unknown	Activation Date	2-May	Height	178cm	Weight	70kg	Vital Fluid Type	AB	Mental Age	19	Koji Yusa	Leng Quan Ye Yue	Lu Bin	Alan Lee
38	1031004	1	Service Time	2 Years	Activation Date	10-Aug	Height	155cm	Weight	43kg	Vital Fluid Type	O	Mental Age	16	Miku Ito	Duo Duo	Xianta Wutong	Brianna Knickerbocker
39	1531004	1	Service Time	3 Years	Activation Date	27-Sep	Height	163cm	Weight	41kg	Vital Fluid Type	O	Mental Age	20	Satomi Sato	Liu Zhixiao	Yi Yuan	Judy Lee
40	1551003	1	Service Time	0 Year	Activation Date	15-Aug	Height	140cm	Weight	32kg	Vital Fluid Type	A	Mental Age	14	Maria Naganawa	Yan Ning	Riko	Liana Bdewi
41	1051004	1	Service Time	Unknown	Activation Date	Unknown	Height	145cm	Weight	45kg	Vital Fluid Type	Unknown	Mental Age	Unknown	Minami Tanaka	Zhao Shuang	Arashi Honey Green Tea	Melody Peng
