Id	CharacterId	Type	UnlockType	UnlockPara	Title	Content	Picture	ConditionDescript	PreviewPicture
1	1011002	1	1	2	Palefire's Secret 1	Often driven to take apart and study the things he likes.		Affection <color=#C14F38>2</color>	
2	1011002	1	1	2	Palefire's Secret 2	He relaxes by quickly disassembling heavy firearms.		Affection <color=#C14F38>2</color>	
3	1011002	1	1	3	Palefire's Secret 3	He is a good tailor.		Affection <color=#C14F38>3</color>	
4	1011002	1	1	3	Palefire's Secret 4	He has studied the styles and forms of human formal wear.		Affection <color=#C14F38>3</color>	
5	1011002	1	1	4	Palefire's Secret 5	Has mixed thoughts about being called "Brother".		Affection <color=#C14F38>4</color>	
6	1011002	1	1	4	Palefire's Secret 6	His radar performance is second only to Liv, but he has no sense of direction.		Affection <color=#C14F38>4</color>	
7	1011002	1	1	5	Palefire's Secret 7	Interested in human electronic entertainment, but gave it up after hearing that Kamui likes it.		Affection <color=#C14F38>5</color>	
8	1011002	1	1	5	Palefire's Secret 8	Believes his style of machine assembly and disassembly is "academic," while Nanami's is "purely impulsive."		Affection <color=#C14F38>5</color>	
9	1011002	1	1	6	Palefire's Secret 9	Sometimes adds useless features to weapons, such as can openers.		Affection <color=#C14F38>6</color>	
10	1011002	1	1	6	Palefire's Secret 10	But has never shown these new features to anyone.		Affection <color=#C14F38>6</color>	
1010211	1011002	1	1	7	Palefire's Secret 11	Through precise calculations, the possibility of Lee stylishly juggling a gun in the air and failing to catch it is 0.372%.		Affection <color=#C14F38>7</color>	
1010212	1011002	1	1	8	Palefire's Secret 12	Has a habit of digitizing important matters.		Affection <color=#C14F38>8</color>	
21	1021001	1	1	2	Lotus' Secret 1	Has many identical red scarves.		Affection <color=#C14F38>2</color>	
22	1021001	1	1	2	Lotus' Secret 2	Tried to make lunch for the commandant. Blew up the kitchen.		Affection <color=#C14F38>2</color>	
23	1021001	1	1	3	Lotus' Secret 3	When wielding dual blades, her body temperature goes up in a similar way to how humans have fevers.		Affection <color=#C14F38>3</color>	
24	1021001	1	1	3	Lotus' Secret 4	Her hair is made from composite fibers and cannot be cut by common blades.		Affection <color=#C14F38>3</color>	
25	1021001	1	1	4	Lotus' Secret 5	She has somewhat unique aesthetic tastes.		Affection <color=#C14F38>4</color>	
26	1021001	1	1	4	Lotus' Secret 6	When she is quiet outside of a mission, she is not thinking, just daydreaming.		Affection <color=#C14F38>4</color>	
27	1021001	1	1	5	Lotus' Secret 7	Strangely respectful of older Constructs, such as Bianca and Watanabe.		Affection <color=#C14F38>5</color>	
28	1021001	1	1	5	Lotus' Secret 8	Sees great potential in Liv.		Affection <color=#C14F38>5</color>	
29	1021001	1	1	6	Lotus' Secret 9	Does not understand what Nanami is thinking.		Affection <color=#C14F38>6</color>	
30	1021001	1	1	6	Lotus' Secret 10	Has trouble with Karenina's passionate approach.		Affection <color=#C14F38>6</color>	
1020111	1021001	1	1	7	Lotus' Secret 11	Would like to try iai, or quick draw, techniques, but the lack of a sheath prevents her from doing so.		Affection <color=#C14F38>7</color>	
1020112	1021001	1	1	8	Lotus' Secret 12	Wary about every little movement of the commandant.		Affection <color=#C14F38>8</color>	
41	1031001	1	1	2	Eclipse's Secret 1	Does not like being taken care of.		Affection <color=#C14F38>2</color>	
42	1031001	1	1	2	Eclipse's Secret 2	Has heard of Lucia before joining Gray Raven, and holds her in high regard.		Affection <color=#C14F38>2</color>	
43	1031001	1	1	3	Eclipse's Secret 3	Knows that Lee is prone to getting lost when on his own.		Affection <color=#C14F38>3</color>	
