Id	RequireStar	StageIds[0]	StageIds[1]	StageIds[2]	PrefabPath	Icon
1	9	20010001	20010011	20010101	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms01.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab01.png
2	9	20010002	20010012	20010103	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms02.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab02.png
3	9	20010003	20010013	20010102	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms01.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab01.png
4	9	20010004	20010014	20010104	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms02.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab02.png
5	9	20010005	20010015	20010105	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms01.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab01.png
6	9	20010006	20010016	20010107	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms02.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab02.png
7	9	20010007	20010017	20010106	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms01.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab01.png
8	9	20010008	20010018	20010108	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms02.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab02.png
9	9	31001	31002	31003	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms03.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab03.png
10	9	32001	32002	32003	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms04.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab04.png
11	9	41001	41002	41003	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms03.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab03.png
12	9	42001	42002	42003	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms04.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab04.png
13	9	31101	31102	31103	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms03.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab03.png
14	9	32101	32102	32103	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms04.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab04.png
15	9	41101	41102	41103	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms03.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab03.png
16	9	42101	42102	42103	Assets/Product/Ui/ComponentPrefab/ArenaOnlineFuben/UiArenaOnlineFubencustoms04.prefab	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenTab04.png
