Id	Name	Sort	Difficulty[1]	Difficulty[2]	Difficulty[3]	SingleDiff[1]	BgIcon	NameIcon	SingleSwitch	EnduranceCost	ConditionDesc	ActiveBuffId	BottomCount	ShowDropId	ShowBottomId	SkillTitle[1]	SkillDesc[1]	SkillTitle[2]	SkillDesc[2]	SkillTitle[3]	SkillDesc[3]	SkillTitle[4]	SkillDesc[4]	EventId[1]	EventId[2]	EventId[3]	EventId[4]	EventId[5]	EventId[6]	EventId[7]	EventId[8]	EventId[9]	EventId[10]
20010001	TFZ-01	1	1010101	1010201	1010301	1011101	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	1	Defeat the final Boss	1	12	140100	140100	Boss:	Musashi IX							760413	760283	760273							
20010011	TFZ-02	2	2010101	2010201	2010301	2011101	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	1	Defeat all enemies	1	12	140100	140100	Enemies:	Hetero Deconstruct Unit, Hetero Repair Unit, Hetero Fire Unit, Hetero Explore Unit							760133	760343	760333	760263	760293	760202	760313	760253	760353	760283
20010101	TFZ-03	3	3010101	3010201	3010301	3011101	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	1	Defeat the final Boss	1	12	140100	140100	Split:	There are two roads leading to the Boss.	Gather:	All members take the same path. Defeat all enemies on the path to reach the Boss.	Scatter:	If you decide to split up, you can only reach the Boss after defeating all the enemies, except the case when all the members on one of the paths have fallen.	Devour:	The Boss will devour all the remaining enemies to enhance itself.	760253	760133	760242	760353						
20010002	TSZ-01	1	1010102	1010202	1010302	1011102	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	1	Defeat the final Boss	1	12	140100	140100	Boss:	Iron Maiden							760293	760373	760133	760253	760201	760281	760243			
20010012	TSZ-02	2	2010102	2010202	2010302	2011102	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	1	Defeat all enemies	1	12	140100	140100	Enemies:	Blubber VI, Kemuri I							760353	760343	760373	760293	760263	760253				
20010103	TSZ-03	3	3010102	3010202	3010302	3011102	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	1	Defeat the final Boss	1	12	140100	140100	Split:	There are two roads leading to the Boss.	Gather:	All members take the same path. Defeat all enemies on the path to reach the Boss.	Scatter:	If you decide to split up, you can only reach the Boss after defeating all the enemies, except the case when all the members on one of the paths have fallen.	Devour:	The Boss will devour all the remaining enemies to enhance itself.	760253	760133	760242	760353						
20010003	TFZ-01	1	1010103	1010203	1010303	1011103	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	1	Defeat the final Boss	1	12	140100	140100	Boss:	Osiris							760411	760133								
20010013	TFZ-02	2	2010103	2010203	2010303	2011103	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	1	Defeat all enemies	1	12	140100	140100	Enemies:	Executor, Ronin IV, Excavator, Explorer							760243	760253	760133	760303	760343	760353				
20010102	TFZ-03	3	3010103	3010203	3010303	3011103	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	1	Defeat the final Boss	1	12	140100	140100	Assistance:	A buff is dropped each time an enemy wave is defeated. Pick up to activate the buff.	Wave 1: 	Healing: Teammates within the range gain HP over time.	Wave 2: 	Radiation: Enemies within the range lose HP over time.	Wave 3: 	Booster: Personal attack bonus.	760253	760262	760243	760343	760133	760283	760293	760373		
20010004	TSZ-01	1	1010104	1010204	1010304	1011104	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	1	Defeat the final Boss	1	12	140100	140100	Boss:	Sister							760291	760251								
