Id	BossId	Damage	Grade	GradeName
1	1	0	1	E
2	1	15000	2	E+
3	1	30000	3	D
4	1	40000	4	D+
5	1	50000	5	C
6	1	65000	6	C+
7	1	80000	7	B
8	1	95000	8	B+
9	1	110000	9	A
10	1	130000	10	A+
11	1	150000	11	S
12	1	180000	12	S+
13	1	210000	13	SS
14	1	240000	14	SS+
15	1	270000	15	SSS
16	1	300000	16	SSS+
17	2	0	1	E
18	2	15000	2	E+
19	2	30000	3	D
20	2	40000	4	D+
21	2	50000	5	C
22	2	65000	6	C+
23	2	80000	7	B
24	2	95000	8	B+
25	2	110000	9	A
26	2	130000	10	A+
27	2	150000	11	S
28	2	180000	12	S+
29	2	210000	13	SS
30	2	240000	14	SS+
31	2	270000	15	SSS
32	2	300000	16	SSS+
33	3	0	1	E
34	3	15000	2	E+
35	3	30000	3	D
36	3	40000	4	D+
37	3	50000	5	C
38	3	65000	6	C+
39	3	80000	7	B
40	3	95000	8	B+
41	3	110000	9	A
42	3	130000	10	A+
43	3	150000	11	S
44	3	180000	12	S+
45	3	210000	13	SS
46	3	240000	14	SS+
47	3	270000	15	SSS
48	3	300000	16	SSS+
49	4	0	1	E
50	4	15000	2	E+
51	4	30000	3	D
52	4	40000	4	D+
53	4	50000	5	C
54	4	65000	6	C+
55	4	80000	7	B
56	4	95000	8	B+
57	4	110000	9	A
58	4	130000	10	A+
59	4	150000	11	S
60	4	180000	12	S+
61	4	210000	13	SS
62	4	240000	14	SS+
63	4	270000	15	SSS
64	4	300000	16	SSS+
65	5	0	1	E
66	5	15000	2	E+
67	5	30000	3	D
68	5	40000	4	D+
69	5	50000	5	C
70	5	65000	6	C+
71	5	80000	7	B
72	5	95000	8	B+
73	5	110000	9	A
74	5	130000	10	A+
75	5	150000	11	S
76	5	180000	12	S+
77	5	210000	13	SS
78	5	240000	14	SS+
79	5	270000	15	SSS
80	5	300000	16	SSS+
81	6	0	1	E
82	6	15000	2	E+
83	6	30000	3	D
84	6	40000	4	D+
85	6	50000	5	C
86	6	65000	6	C+
87	6	80000	7	B
88	6	95000	8	B+
89	6	110000	9	A
90	6	130000	10	A+
91	6	150000	11	S
92	6	180000	12	S+
93	6	210000	13	SS
94	6	240000	14	SS+
95	6	270000	15	SSS
96	6	300000	16	SSS+
