Id	Name	Color	Score	Icon	Bg
1	Ember Red	1	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Kalienina11.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall02.png
2	Ember Yellow	2	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Kalienina31.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall01.png
3	Ember Blue	3	150	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Kalienina21.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall03.png
4	Pulao Red	1	150	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Pulao11.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall02.png
5	Pulao Yellow	2	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Pulao31.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall01.png
6	Pulao Blue	3	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Pulao21.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall03.png
7	Glory Red	1	80	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Kuluomu11.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall02.png
8	Glory Yellow	2	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Kuluomu31.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall01.png
9	Glory Blue	3	120	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Kuluomu21.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall03.png
10	Glory Basic Attack	4	150	Assets/Product/Texture/Image/UiFight/FightIconGunblade.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall04.png
11	Veritas Red	1	90	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Bianka11.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall02.png
12	Veritas Yellow	2	90	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Bianka31.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall01.png
13	Veritas Blue	3	90	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Bianka21.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall03.png
14	Veritas Basic Attack	4	90	Assets/Product/Texture/Image/UiFight/FightIconFightIconbow.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall04.png
15	Plume Red	1	120	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Luxiya11.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall02.png
16	Plume Yellow	2	60	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Luxiya31.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall01.png
17	Plume Blue	3	80	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Luxiya21.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall03.png
18	Plume Basic Attack	4	120	Assets/Product/Texture/Image/UiFight/FightIconSword.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall04.png
19	Noan Red	1	80	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Nuoan11.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall02.png
20	Noan Yellow	2	120	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Nuoan.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall01.png
21	Noan Blue	3	80	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Nuoan21.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall03.png
22	Noan Basic Attack	4	120	Assets/Product/Texture/Image/UiFight/FightIconR2Nuoan.png	Assets/Product/Texture/Image/UiSameColorGame/SameColorBall04.png
