Id	Name	Icon	Desc	BossId	TriggerRound	SkipDamage	BuffId[0]	BuffId[1]	BuffId[2]	BuffId[3]	SubEnergyType	SubEnergyCount
1	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	30% Basic Attack Orbs resistance but 30% Red/Yellow/Blue Orb vulnerability for 15 rounds.				7	8	9	10		
2	Res. Swap β	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Immune to Basic Attack Orbs but 50% Red/Yellow/Blue Orb vulnerability for 2 rounds.				11	12	13	14		
3	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	50% Basic Attack/Yellow/Blue Orb resistance but 200% Red Orb vulnerability for 5 rounds.				15	16	17	18		
4	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	30% Blue Orb resistance but 80% Red Orb vulnerability for 10 rounds.				19	20				
5	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	50% Yellow Orb resistance but 120% Basic Attack Orb vulnerability for 5 rounds.				21	22				
6	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Change to 30% Yellow Orb resistance, 80% Red Orb vulnerability				23	24				
7	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Change to 30% Red Orb resistance, 80% Blue Orb vulnerability				25	26				
8	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Change to 30% Blue Orb resistance, 80% Basic Attack Orb vulnerability				27	28				
9	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Change to 30% Basic Attack Orb resistance, 80% Yellow Orb vulnerability				29	30				
10	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Change to 30% Yellow Orb resistance, 80% Red Orb vulnerability				23	24				
11	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Change to 30% Red Orb resistance, 80% Blue Orb vulnerability				25	26				
12	Signal Immunity	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	Upon casting, become immune to Yellow/Blue Orb for 2 rounds (casting condition: Damage Points < 5000)			5000	31	32				
13	Signal Immunity	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	Upon casting, become immune to Yellow/Blue Orb for 2 rounds (casting condition: Damage Points < 70000)			70000	31	32				
14	Signal Immunity	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	Upon casting, become immune to Yellow/Blue Orb for 2 rounds (casting condition: Damage Points < 120000)			120000	31	32				
15	Exhaustion	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	Deduct 2 steps after casting (casting condition: Damage Points < 5000).			5000	33					
16	Exhaustion	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	Deduct 2 steps after casting (casting condition: Damage Points < 50000).			50000	33					
17	Exhaustion	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	Deduct 2 steps after casting (casting condition: Damage Points < 90000).			90000	33					
18	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Change to 30% Blue Orb resistance, 80% Basic Attack Orb vulnerability				27	28				
19	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Change to 30% Basic Attack Orb resistance, 80% Yellow Orb vulnerability				29	30				
20	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Cast in the 1st round. 50% Basic Attack Orbs resistance but 30% Red/Yellow/Blue Orb vulnerability for 15 rounds.									
21	Res. Swap β	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Cast in the 16th round. Immune to Basic Attack Orbs but 50% Red/Yellow/Blue Orb vulnerability for 2 rounds.									
22	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Cast in the 4th round. 50% Basic Attack/Yellow/Blue Orb resistance but 200% Red Orb vulnerability for 5 rounds.									
23	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Cast in the 1st round. 30% Blue Orb resistance but 80% Red Orb vulnerability for 10 rounds.									
24	Res. Swap β	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Cast in the 11th round. 50% Yellow Orb resistance but 120% Basic Attack Orb vulnerability for 5 rounds.									
25	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	From the 1st round, rotate between the following weaknesses every 4 rounds: 30% Yellow resistance/80% Red vulnerability, 30% Red resistance/80% Blue vulnerability, 30% Blue resistance/80% Basic Attack vulnerability, 30% Basic Attack resistance/80% Yellow vulnerability									
26	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Cast in the 1st round. 30% Yellow Orb resistance but 80% Red Orb vulnerability for 4 rounds.									
27	Res. Swap β	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Cast in the 5th round. 30% Red Orb resistance but 80% Blue Orb vulnerability for 4 rounds.									
28	Signal Immunity	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	Cast in the 2nd, 7th and 12th rounds. Become immune to Yellow/Blue Orb for 2 rounds upon casting (casting condition: Damage Points < 5000/70000/120000).									
29	Res. Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Cast in the 6th round. 30% Blue Orb resistance but 80% Basic Attack Orb vulnerability for 4 rounds.									
30	Res. Swap β	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Cast in the 13th round. 30% Basic Attack Orb resistance but 80% Yellow Orb vulnerability for 4 rounds.									
31	Exhaustion	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	Cast in the 2nd, 5th and 9th rounds. Deduct 2 steps after casting (casting condition: Damage Points < 5000/50000/90000).									
101	Red Orb Vulnerability	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	At the end of the 1st turn, gain 20% Red Orb Vulnerability for 7 turns.		1		1010					
102	Middle Game Check	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	If the total Damage Points are less than 80000 by the end of the 7th turn, lose 2 Energy and gain 30% Yellow and Blue Orb Resistances respectively. The effect lasts for 3 turns.		7	80000	1020	1021			1	2
103	Red Orb Vulnerability	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	At the end of the 8th turn, lose 2 Energy and gain 50% Red Orb Vulnerability and 70% Yellow Orb Resistance for 7 turns.		8		1030	1031			1	2
104	Red Orb Vulnerability	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	At the end of the 1st turn, gain 20% Red Orb Vulnerability for 7 turns. At the end of the 8th turn, gain 50% Red Orb Vulnerability and 70% Yellow Orb Resistance for 7 turns.									
121	Early Game Check	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	If the total Damage Points are less than 10000 by the end of the 1st turn, gain 50% Red Orb Resistance for 3 turns.		1	10000	1210					
122	Yellow Orb Vulnerability	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	At the end of the 2nd turn, lose 2 Energy and gain 50% Yellow Orb Vulnerability for 5 turns.		2		1220				1	2
123	Middle Game Check	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	If the total Damage Points are less than 80000 at the end of the 7th turn, lose 1 Energy and gain 30% Yellow and Blue Orb Resistances respectively. The effect lasts for 3 turns.		7	80000	1230	1231			1	1
124	Red Orb Vulnerability	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	At the end of the 8th turn, lose 2 Energy and gain 50% Red Orb Vulnerability for 5 turns.		8		1240				1	2
125	Blue Orb Vulnerability	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	At the end of the 13th turn, lose 2 Energy and gain 50% Blue Orb Vulnerability for 5 turns.		13		1250				1	2
126	Vulnerability Swap	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	At the end of the 2nd turn, gain 50% Yellow Orb Vulnerability for 5 turns. At the end of the 8th turn, gain 50% Red Orb Vulnerability for 5 turns. At the end of the 13th turn, gain 50% Blue Orb Vulnerability for 5 turns.									
141	Red Orb Vulnerability	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	At the end of the 1st turn, lose 50% Energy and gain 50% Red Orb Vulnerability for 5 turns.		1		1410				2	500
