Name	Prefab	Size	Area	Position	PathArea	PathPosition	PathLink	UseFootStepEffect
SceneDLC00101	Assets/Product/Scene/ScenePrefab/SceneDLC00101.prefab	Share/Fight/Map/Info/SceneDLC00101/Size.tab	Share/Fight/Map/Info/SceneDLC00101/Area.tab	Share/Fight/Map/Info/SceneDLC00101/Position.tab				0
Scene00001a	Assets/Product/Scene/ScenePrefab/Scene00001a.prefab	Share/Fight/Map/Info/Scene00001a/Size.tab	Share/Fight/Map/Info/Scene00001a/Area.tab	Share/Fight/Map/Info/Scene00001a/Position.tab				0
Scene00001b	Assets/Product/Scene/ScenePrefab/Scene00001b.prefab	Share/Fight/Map/Info/Scene00001b/Size.tab	Share/Fight/Map/Info/Scene00001b/Area.tab	Share/Fight/Map/Info/Scene00001b/Position.tab				0
Scene00001c	Assets/Product/Scene/ScenePrefab/Scene00001c.prefab	Share/Fight/Map/Info/Scene00001c/Size.tab	Share/Fight/Map/Info/Scene00001c/Area.tab	Share/Fight/Map/Info/Scene00001c/Position.tab				0
Scene00001d	Assets/Product/Scene/ScenePrefab/Scene00001d.prefab	Share/Fight/Map/Info/Scene00001d/Size.tab	Share/Fight/Map/Info/Scene00001d/Area.tab	Share/Fight/Map/Info/Scene00001d/Position.tab				0
Scene00001Exb	Assets/Product/Scene/ScenePrefab/Scene00001Exb.prefab	Share/Fight/Map/Info/Scene00001Exb/Size.tab	Share/Fight/Map/Info/Scene00001Exb/Area.tab	Share/Fight/Map/Info/Scene00001Exb/Position.tab				0
Scene00002a	Assets/Product/Scene/ScenePrefab/Scene00002a.prefab	Share/Fight/Map/Info/Scene00002a/Size.tab	Share/Fight/Map/Info/Scene00002a/Area.tab	Share/Fight/Map/Info/Scene00002a/Position.tab				0
Scene00002c	Assets/Product/Scene/ScenePrefab/Scene00002c.prefab	Share/Fight/Map/Info/Scene00002c/Size.tab	Share/Fight/Map/Info/Scene00002c/Area.tab	Share/Fight/Map/Info/Scene00002c/Position.tab				0
Scene00002d	Assets/Product/Scene/ScenePrefab/Scene00002d.prefab	Share/Fight/Map/Info/Scene00002d/Size.tab	Share/Fight/Map/Info/Scene00002d/Area.tab	Share/Fight/Map/Info/Scene00002d/Position.tab				0
Scene00003	Assets/Product/Scene/ScenePrefab/Scene00003.prefab	Share/Fight/Map/Info/Scene00003/Size.tab	Share/Fight/Map/Info/Scene00003/Area.tab	Share/Fight/Map/Info/Scene00003/Position.tab				0
Scene00003b	Assets/Product/Scene/ScenePrefab/Scene00003b.prefab	Share/Fight/Map/Info/Scene00003b/Size.tab	Share/Fight/Map/Info/Scene00003b/Area.tab	Share/Fight/Map/Info/Scene00003b/Position.tab				0
Scene00003d	Assets/Product/Scene/ScenePrefab/Scene00003d.prefab	Share/Fight/Map/Info/Scene00003d/Size.tab	Share/Fight/Map/Info/Scene00003d/Area.tab	Share/Fight/Map/Info/Scene00003d/Position.tab				0
Scene00003r	Assets/Product/Scene/ScenePrefab/Scene00003r.prefab	Share/Fight/Map/Info/Scene00003r/Size.tab	Share/Fight/Map/Info/Scene00003r/Area.tab	Share/Fight/Map/Info/Scene00003r/Position.tab				0
Scene00004b	Assets/Product/Scene/ScenePrefab/Scene00004b.prefab	Share/Fight/Map/Info/Scene00004b/Size.tab	Share/Fight/Map/Info/Scene00004b/Area.tab	Share/Fight/Map/Info/Scene00004b/Position.tab				0
Scene00004d	Assets/Product/Scene/ScenePrefab/Scene00004d.prefab	Share/Fight/Map/Info/Scene00004d/Size.tab	Share/Fight/Map/Info/Scene00004d/Area.tab	Share/Fight/Map/Info/Scene00004d/Position.tab				0
Scene00005a	Assets/Product/Scene/ScenePrefab/Scene00005a.prefab	Share/Fight/Map/Info/Scene00005a/Size.tab	Share/Fight/Map/Info/Scene00005a/Area.tab	Share/Fight/Map/Info/Scene00005a/Position.tab				0
Scene00005b	Assets/Product/Scene/ScenePrefab/Scene00005b.prefab	Share/Fight/Map/Info/Scene00005b/Size.tab	Share/Fight/Map/Info/Scene00005b/Area.tab	Share/Fight/Map/Info/Scene00005b/Position.tab				0
Scene00006a	Assets/Product/Scene/ScenePrefab/Scene00006a.prefab	Share/Fight/Map/Info/Scene00006a/Size.tab	Share/Fight/Map/Info/Scene00006a/Area.tab	Share/Fight/Map/Info/Scene00006a/Position.tab				0
Scene00007a	Assets/Product/Scene/ScenePrefab/Scene00007a.prefab	Share/Fight/Map/Info/Scene00007a/Size.tab	Share/Fight/Map/Info/Scene00007a/Area.tab	Share/Fight/Map/Info/Scene00007a/Position.tab				0
Scene00101a	Assets/Product/Scene/ScenePrefab/Scene00101a.prefab	Share/Fight/Map/Info/Scene00101a/Size.tab	Share/Fight/Map/Info/Scene00101a/Area.tab	Share/Fight/Map/Info/Scene00101a/Position.tab				0
Scene00101b	Assets/Product/Scene/ScenePrefab/Scene00101b.prefab	Share/Fight/Map/Info/Scene00101b/Size.tab	Share/Fight/Map/Info/Scene00101b/Area.tab	Share/Fight/Map/Info/Scene00101b/Position.tab				0
Scene00101d	Assets/Product/Scene/ScenePrefab/Scene00101d.prefab	Share/Fight/Map/Info/Scene00101d/Size.tab	Share/Fight/Map/Info/Scene00101d/Area.tab	Share/Fight/Map/Info/Scene00101d/Position.tab				0
Scene00102a	Assets/Product/Scene/ScenePrefab/Scene00102a.prefab	Share/Fight/Map/Info/Scene00102a/Size.tab	Share/Fight/Map/Info/Scene00102a/Area.tab	Share/Fight/Map/Info/Scene00102a/Position.tab				0
Scene00102b	Assets/Product/Scene/ScenePrefab/Scene00102b.prefab	Share/Fight/Map/Info/Scene00102b/Size.tab	Share/Fight/Map/Info/Scene00102b/Area.tab	Share/Fight/Map/Info/Scene00102b/Position.tab				0
Scene00102d	Assets/Product/Scene/ScenePrefab/Scene00102d.prefab	Share/Fight/Map/Info/Scene00102d/Size.tab	Share/Fight/Map/Info/Scene00102d/Area.tab	Share/Fight/Map/Info/Scene00102d/Position.tab				0
Scene00103a	Assets/Product/Scene/ScenePrefab/Scene00103a.prefab	Share/Fight/Map/Info/Scene00103a/Size.tab	Share/Fight/Map/Info/Scene00103a/Area.tab	Share/Fight/Map/Info/Scene00103a/Position.tab				0
Scene00104a	Assets/Product/Scene/ScenePrefab/Scene00104a.prefab	Share/Fight/Map/Info/Scene00104a/Size.tab	Share/Fight/Map/Info/Scene00104a/Area.tab	Share/Fight/Map/Info/Scene00104a/Position.tab				0
Scene00104b	Assets/Product/Scene/ScenePrefab/Scene00104b.prefab	Share/Fight/Map/Info/Scene00104b/Size.tab	Share/Fight/Map/Info/Scene00104b/Area.tab	Share/Fight/Map/Info/Scene00104b/Position.tab				0
Scene00104c	Assets/Product/Scene/ScenePrefab/Scene00104c.prefab	Share/Fight/Map/Info/Scene00104c/Size.tab	Share/Fight/Map/Info/Scene00104c/Area.tab	Share/Fight/Map/Info/Scene00104c/Position.tab				0
Scene00104d	Assets/Product/Scene/ScenePrefab/Scene00104d.prefab	Share/Fight/Map/Info/Scene00104d/Size.tab	Share/Fight/Map/Info/Scene00104d/Area.tab	Share/Fight/Map/Info/Scene00104d/Position.tab				0
Scene00201c	Assets/Product/Scene/ScenePrefab/Scene00201c.prefab	Share/Fight/Map/Info/Scene00201c/Size.tab	Share/Fight/Map/Info/Scene00201c/Area.tab	Share/Fight/Map/Info/Scene00201c/Position.tab				0
Scene00202a	Assets/Product/Scene/ScenePrefab/Scene00202a.prefab	Share/Fight/Map/Info/Scene00202a/Size.tab	Share/Fight/Map/Info/Scene00202a/Area.tab	Share/Fight/Map/Info/Scene00202a/Position.tab				0
Scene00203a	Assets/Product/Scene/ScenePrefab/Scene00203a.prefab	Share/Fight/Map/Info/Scene00203a/Size.tab	Share/Fight/Map/Info/Scene00203a/Area.tab	Share/Fight/Map/Info/Scene00203a/Position.tab				0
Scene00203b	Assets/Product/Scene/ScenePrefab/Scene00203b.prefab	Share/Fight/Map/Info/Scene00203b/Size.tab	Share/Fight/Map/Info/Scene00203b/Area.tab	Share/Fight/Map/Info/Scene00203b/Position.tab				0
Scene00203c	Assets/Product/Scene/ScenePrefab/Scene00203c.prefab	Share/Fight/Map/Info/Scene00203c/Size.tab	Share/Fight/Map/Info/Scene00203c/Area.tab	Share/Fight/Map/Info/Scene00203c/Position.tab				0
