Id	NewScheme	DollyInCoefficient	DollyOutCoefficient	HeightUpCoefficient	HeightDownCoefficient	HeightOffset	MinHeight	MaxHeight	RotationSpeed	ExpBase	BufferRadian	DefaultOffset	DefaultDistance	DefaultHeight	DefaultMovementCoefficient	DefaultRotationCoefficient	DefaultMinDistance	DefaultMaxDistance	FocusMinDistance	FocusMaxDistance	FocusHeight	FocusMovementCoefficient	FocusHorizontalCoefficient	FocusVerticalCoefficient	FocusMaxAngle	MaxDistance	DeadZoneRadius	HardZoneRadius	DeadZoneHeight	RecenterCoefficient	RecenterThreshold	HorizontalDragSensitivity	VerticalDragSensitivity	MaxHorizontalDragSpeed	MaxVerticalDragSpeed	HorizontalDragAcceleration	VerticalDragAcceleration	RotationOverrideTime	ScaleSensitivity	MaxScaleSpeed	ScaleAcceleration	DefaultFOV	DefaultToFocusDuration	FocusToDefaultDuration	MinVerticalAngle	MaxVerticalAngle
1	1	3	5	10	3	0	0.6	4	6	1.8	3.14	3	8	1.3	10	0.1	7.5	8.5	8	12	1.5	6	1.6	1.2	90	10	0.1	8	0.35	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	60	0.6	1.5	-3	20
2	1	3	5	10	3	0	0.6	4	6	1.8	3.14	3	6	4	10	0.1	5.5	6.5	6	12		6	1.6	1.2	90	10	0.1	8	0.35	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	60	0.6	1.5	-3	20
3	1	3	5	10	3	0	0.6	4	6	1.8	3.14	3	3.7	0.6	10	0.1	3.5	4.5	4	8	1	6	2	1.2	180	5.5	0.1	8	0.35	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	60	0.6	1.5	5	20
4	1	3	5	10	3	0	0.6	4	6	1.8	3.14	3	3.7	0.6	10	0.1	3.5	4.5	4	8	1	6	2	1.2	180	5.5	0.1	8	0.35	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	60	0.6	1.5	0	20
9	1	3	5	10	3	0	0.6	4	6	1.8	3.14	3	3.7	0.6	10	0.1	3.5	4.5	4	8	1	6	2	1.2	180	5.5	0.1	8	0.35	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	60	0.6	1.5	-3	20
10	1	3	5	10	3	0	0.6	4	6	1.8	3.14	3	4.5	0.8	10	0.1	4.3	5	4.5	10	1.2	6	1.2	1.2	5	8	0.1	8	0.35	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	45	0.6	1.5	-3	20
11	1	3	5	10	3	0	0.6	4	6	1.8	3.14	3	4.5	0.8	10	0.1	4.3	5	4.5	10	-0.2	6	1.2	1.2	5	9	0.1	8	0.35	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	45	0.6	1.5	-3	20
12	1	3	5	10	3	0	0.6	4	6	1.8	3.14	3	6	2	10	0.1	6	6	5	10	2	6	1.2	1.2	5	8	0.1	8	0.35	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	60	0.6	1.5	18	18
13	1	3	5	10	3	0	0.6	10	6	1.8	3.14	3	12	1.8	10	0.1	8	8	10	20	1.8	6	1.2	1.2	5	100	0.1	8	0.35	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	45	0.6	1.5	17	17
14	1	3	5	10	3	0	0.6	10	6	1.8	3.14	3	12	4	10	0.1	8	8	10	20	1.8	6	1.2	1.2	5	100	0.1	8	0.35	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	45	0.6	1.5	17	17
15	1	1000	1000	1000	1000	0	0.6	4	6	1.8	3.14	3	4.5	0.8	10	0.1	3.5	3.5	2.5	2.5	0.4	20	1.2	1.2	5	2.5	0	8	0.1	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	45	0.6	1.5	-3	20
16	1	3	5	10	3	0	0.6	4	6	1.8	3.14	3	3.7	0.6	10	0.1	3.5	4.5	1	8	0.4	6	2	1.2	180	5	0.1	8	0.35	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	50	0.6	1.5	-3	20
17	1	3	5	10	3	1.3	0.5	3	6	1.8	3.14	3	7	1.3	10	0.1	6	8	1	8	0.4	6	2	1.2	180	5	0.1	8	0.35	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	60	0.6	1.5	-3	3
18	1	3	5	10	3	0	0.6	4	6	1.8	3.14	3	3.7	0.6	10	0.1	3.5	4.5	4	8	1	6	2	1.2	180	5.5	0.1	8	0.35	0.8	0.99	0.4	0.1	15	5	80	80	0.5	10	5	30	60	1.5	1.5	-3	20
