Id	TemplateId	Level	Exp	AllExp
1	401	1	15	0
2	401	2	15	15
3	401	3	15	30
4	401	4	15	45
5	401	5	15	60
6	402	1	20	0
7	402	2	20	20
8	402	3	20	40
9	402	4	20	60
10	402	5	20	80
11	402	6	20	100
12	402	7	20	120
13	402	8	20	140
14	402	9	20	160
15	402	10	20	180
16	501	1	15	0
17	501	2	15	15
18	501	3	15	30
19	501	4	15	45
20	501	5	15	60
21	502	1	30	0
22	502	2	30	30
23	502	3	30	60
24	502	4	30	90
25	502	5	30	120
26	502	6	30	150
27	502	7	30	180
28	502	8	30	210
29	502	9	30	240
30	502	10	30	270
31	503	1	40	0
32	503	2	40	40
33	503	3	40	80
34	503	4	40	120
35	503	5	40	160
36	503	6	40	200
37	503	7	40	240
38	503	8	40	280
39	503	9	40	320
40	503	10	40	360
41	503	11	40	400
42	503	12	40	440
43	503	13	40	480
44	503	14	40	520
45	503	15	40	560
