Id	Type	Param[1]	Param[2]	Param[3]	ConsumeId[1]	ConsumeNum[1]	ConsumeId[2]	ConsumeNum[2]
1001	2	773000			60300	120		
1002	2	773006			60300	120		
1003	2	773012			60300	120		
1004	2	773117			60300	120		
1005	2	773129			60300	120		
1006	2	773135			60300	120		
1007	2	773181			60300	120		
1008	2	7007			60300	120		
1009	2	7001			60300	120		
1010	2	7004			60300	300		
1011	2	7005			60300	80		
1012	2	7006			60300	150		
1013	2	773222			60300	400		
1014	2	900001			60300	120		
1015	2	900004			60300	120		
1016	2	900007			60300	120		
1017	2	900010			60300	120		
1018	2	900013			60300	120		
1019	2	900016			60300	120		
1020	2	900023			60300	40		
1021	2	900026			60300	40		
1101	3	1			60300	45		
1102	3	1			60300	45		
1103	3	1			60300	45		
1104	3	1			60300	45		
1105	3	1			60300	45		
1106	3	1			60300	45		
1107	3	1			60300	45		
1108	3	1			60300	45		
1109	3	1			60300	45		
1110	3	1			60300	45		
1111	3	1			60300	45		
1112	3	1			60300	45		
1113	3	1			60300	45		
1114	3	1			60300	45		
2001	2	773001			60300	200		
2002	2	773007			60300	200		
2003	2	773013			60300	200		
2004	2	773118			60300	200		
2005	2	773130			60300	200		
2006	2	773136			60300	200		
2007	2	773182			60300	200		
2008	2	7008			60300	200		
2009	2	7002			60300	200		
2010	2	773027			60300	240		
2011	2	773034			60300	280		
2012	2	773041			60300	150		
2013	2	773048			60300	240		
2014	2	7010			60300	200		
2015	2	900002			60300	200		
2016	2	900005			60300	200		
2017	2	900008			60300	200		
2018	2	900011			60300	200		
2019	2	900014			60300	200		
2020	2	900017			60300	200		
2021	2	900020			60300	200		
2022	2	900024			60300	80		
2023	2	900027			60300	80		
2101	3	1			60300	45		
2102	3	1			60300	45		
2103	3	1			60300	45		
2104	3	1			60300	45		
2105	3	1			60300	45		
2106	3	1			60300	45		
2107	3	1			60300	45		
2108	3	1			60300	45		
2109	3	1			60300	45		
2110	3	1			60300	45		
2111	3	1			60300	45		
2112	3	1			60300	45		
2113	3	1			60300	45		
2114	3	1			60300	45		
3001	2	773002			60300	280		
3002	2	773008			60300	280		
3003	2	773014			60300	280		
3004	2	773119			60300	280		
3005	2	773131			60300	280		
3006	2	773137			60300	280		
3007	2	773183			60300	280		
3008	2	7009			60300	280		
3009	2	7011			60300	280		
3010	2	7012			60300	280		
3011	2	7003			60300	280		
3012	2	773114			60300	240		
3013	2	773132			60300	240		
3014	2	773138			60300	200		
3015	2	773174			60300	300		
3016	2	773187			60300	240		
3017	2	773202			60300	300		
3018	2	773216			60300	300		
3019	2	773219			60300	240		
3020	2	773223			60300	240		
3021	2	900003			60300	280		
3022	2	900006			60300	280		
3023	2	900009			60300	280		
3024	2	900012			60300	280		
3025	2	900015			60300	280		
3026	2	900018			60300	280		
3027	2	900021			60300	280		
3028	2	900022			60300	120		
3029	2	900025			60300	120		
3030	2	900028			60300	120		
3101	3	1			60300	45		
3102	3	1			60300	45		
3103	3	1			60300	45		
3104	3	1			60300	45		
3105	3	1			60300	45		
3106	3	1			60300	45		
3107	3	1			60300	45		
3108	3	1			60300	45		
3109	3	1			60300	45		
3110	3	1			60300	45		
3111	3	1			60300	45		
3112	3	1			60300	45		
3113	3	1			60300	45		
3114	3	1			60300	45		
10001	2	600001			60302	2		
10002	2	600004			60302	2		
10003	2	600007			60302	2		
10004	2	600010			60302	2		
10005	2	600013			60302	2		
10006	2	600016			60300	151		
10007	2	600019			60300	151		
10008	2	600022			60300	151		
10009	2	600025			60300	151		
10010	2	600028			60300	151		
10011	2	600031			60300	151		
10012	2	600034			60300	151		
10013	2	600037			60300	151		
10014	2	600040			60301	253		
10015	2	600043			60301	253		
10016	2	600046			60301	253		
10017	2	600049			60301	253		
10018	2	600052			60301	253		
10019	2	600055			60301	253		
10020	2	600058			60300	106		
10021	2	600061			60300	106		
10022	2	600064			60300	106		
10023	2	600067			60300	106		
10024	2	600070			60300	106		
10025	2	600073			60300	106		
10026	2	600076			60300	85		
10027	2	600079			60300	85		
10028	2	600082			60300	85		
10029	2	600085			60300	85		
10030	2	600088			60300	85		
10031	2	600091			60300	85		
10032	2	600094			60300	85		
10033	2	600097			60300	85		
10034	2	600100			60300	85		
11001	3	1			60300	45		
11002	3	1			60300	45		
11003	3	1			60300	45		
11004	3	1			60300	45		
11005	3	1			60300	45		
11006	3	1			60300	45		
11007	3	1			60300	45		
11008	3	1			60300	45		
11009	3	1			60300	45		
11010	3	1			60300	45		
11011	3	1			60300	45		
11012	3	1			60300	45		
11013	3	1			60300	45		
11014	3	1			60300	45		
11015	3	1			60300	45		
11016	3	1			60300	45		
11017	3	1			60300	45		
11018	3	1			60300	45		
11019	3	1			60300	45		
11020	3	1			60300	45		
11021	3	1			60300	45		
11022	3	1			60300	45		
11023	3	1			60300	45		
11024	3	1			60300	45		
11025	3	1			60300	45		
