Id	Type	Param[1]	Param[2]
101011	1	30170435	30170437
101021	1	30170435	30170437
101022	5		
101031	5		
101032	1	30170435	30170437
101041	1	30170435	30170437
101042	1	30170435	30170437
101051	1	30170435	30170437
101052	5		
101053	1	30170435	30170438
101061	5		
101062	1	30170435	30170437
101063	1	30170435	30170438
101064	5		
101071	4	110001	
101072	4	110001	
101073	4	110001	
101081	2	3101	
101082	2	3101	
101083	2	3101	
101091	3	10001	
101092	3	10001	
101093	3	10001	
101101	1	30170435	30170437
101102	1	30170439	30170441
101103	1	30170435	30170438
101111	5		
101112	5		
101113	1	30170435	30170438
101121	4	110001	
101122	5		
101131	1	30170435	30170437
101132	5		
101133	4	110001	
101134	1	30170435	30170438
101141	1	30170439	30170441
101142	1	30170435	30170437
101143	4	110001	
101151	3	10002	
101152	3	10002	
101153	3	10002	
101161	1	30170475	
102011	1	30170444	
102012	1	30170443	30170445
102021	5		
102022	1	30170443	30170445
102031	1	30170443	30170445
102032	5		
102033	1	30170443	30170446
102041	4	220001	
102042	1	30170443	30170445
102043	5		
102051	1	30170443	30170445
102052	1	30170443	30170445
102053	4	220001	
102061	5		
102062	1	30170443	30170445
102063	1	30170443	30170446
102071	1	30170443	30170445
102072	1	30170443	30170445
102073	3	10001	
102081	1	30170443	30170445
102082	5		
102083	1	30170443	30170446
102084	1	30170448	30170450
102091	2	3101	
102092	2	3101	
102093	2	3101	
102094	2	3101	
102101	3	10001	
102102	1	30170443	30170445
102111	1	30170443	30170445
102112	5		
102113	3	10001	
102114	1	30170443	30170446
102121	1	30170443	30170445
102122	1	30170447	30170449
102123	1	30170443	30170446
102124	5		
102131	4	120001	
102132	5		
102133	1	30170448	30170450
102134	1	30170443	30170446
102141	5		
102142	1	30170443	30170445
102143	4	120001	
102144	5		
102151	3	10002	
102152	3	10002	
102153	3	10002	
102161	1	30170476	
103011	1	30170452	
103012	1	30170451	30170453
103013	1	30170451	30170454
103021	1	30170451	30170453
103022	1	30170451	30170453
103023	5		
103024	1	30170451	30170454
103031	1	30170451	30170453
103032	1	30170455	30170457
103033	5		
103041	1	30170451	30170453
103042	4	130001	
103043	1	30170451	30170454
103044	5		
103045	1	30170451	30170454
103051	5		
103052	5		
103053	1	30170451	30170454
103054	4	130001	
103061	1	30170451	30170453
103062	3	10001	
103063	1	30170451	30170454
103071	5		
103072	1	30170451	30170453
103073	3	10001	
103081	3	10001	
103082	1	30170451	30170453
103083	1	30170451	30170454
103091	2	3101	
103092	2	3101	
103093	2	3101	
103101	1	30170451	30170453
103102	5		
103103	1	30170451	30170454
103111	5		
103112	1	30170451	30170453
103113	1	30170451	30170454
103121	1	30170455	30170457
103122	1	30170451	30170453
103123	1	30170456	30170458
103124	4	130001	
103131	1	30170451	30170453
103132	1	30170455	30170457
103133	5		
103141	4	130001	
103142	1	30170451	30170453
103143	5		
103151	3	10002	
103152	3	10002	
103153	3	10002	
103161	1	30170477	
104011	1	30170460	
104012	1	30170459	30170461
104013	1	30170459	30170462
104014	1	30170459	30170462
104021	4	140001	
104022	1	30170459	30170461
104023	1	30170459	30170462
104024	4	140001	
104031	1	30170459	30170461
104032	5		
104033	5		
104041	5		
104042	1	30170459	30170461
104043	1	30170459	30170462
104051	1	30170459	30170461
104052	1	30170459	30170461
104053	1	30170459	30170462
104061	3	10001	
104062	1	30170459	30170461
104063	1	30170459	30170462
104064	3	10001	
104071	1	30170459	30170461
104072	5		
104073	3	10001	
104074	1	30170459	30170462
104081	1	30170459	30170461
104082	5		
104083	1	30170459	30170462
104091	2	3101	
104092	2	3101	
104093	2	3101	
104101	1	30170463	30170465
104102	1	30170459	30170461
104103	5		
104111	1	30170459	30170461
104112	1	30170463	30170465
104113	5		
104114	1	30170459	30170462
104121	4	140001	
104122	5		
104123	1	30170459	30170462
104124	1	30170459	30170462
104131	1	30170459	30170461
104132	1	30170459	30170461
104133	1	30170459	30170462
104134	4	140001	
104141	5		
104142	4	140001	
104143	5		
104144	1	30170464	30170466
104151	3	10002	
104152	3	10002	
104153	3	10002	
104161	1	30170478	
105011	1	30170467	30170469
105021	4	150001	
105031	5		
105041	1	30170467	30170469
105042	1	30170472	30170474
105051	1	30170467	30170469
105061	1	30170467	30170469
105062	5		
105071	1	30170467	30170469
105081	1	30170467	30170469
105082	5		
105083	1	30170472	30170474
105091	2	3101	
105101	5		
105102	1	30170468	30170470
105103	3	10001	
105111	1	30170471	30170473
105121	5		
105131	1	30170467	30170469
105141	5		
105142	4	150001	
105151	4	150001	
105152	3	10002	
105161	1	30170479	
106011	1	30170485	30170487
106021	1	30170485	30170487
106022	5		
106031	2	3101	
106032	5		
106033	5		
106034	5		
106041	5		
106042	1	30170489	30170491
106043	1	30170486	30170488
106051	1	30170485	30170487
106052	2	3101	
106053	1	30170486	30170488
106054	5		
106061	5		
106062	5		
106063	5		
106064	5		
106071	3	10001	
106072	1	30170485	30170487
106073	2	3101	
106081	1	30170489	30170491
106082	5		
106091	2	3101	
106092	1	30170485	30170487
106093	2	3101	
106101	1	30170485	30170487
106102	2	3101	
106103	1	30170486	30170488
106111	1	30170485	30170487
106112	4	210001	
106121	4	210001	
106122	1	30170489	30170491
106123	5		
106131	1	30170485	30170487
106132	4	210001	
106133	5		
106141	5		
106142	1	30170485	30170487
106143	1	30170490	30170492
106151	3	10002	
106152	3	10002	
106161	1	30170480	
107011	1	30170493	30170495
107012	1	30170493	30170495
107021	1	30170497	30170499
