Id	EventId[1]	EventId[2]	EventId[3]	EventId[4]	EventId[5]
1	4012	4003			
2	4002				
3	4009				
4	4012	4002			
5	4016				
6	4008				
7	4007	4014			
8	4012	4003			
9	4002				
10	4002	4011			
11	4016				
12	4002				
13	4012	4002			
14	4003				
15	4011				
16	4014				
17	4003				
18	4013	4004			
19	4009	4015			
20	4003				
21	4014				
22	4012	4003			
23	4003				
24	4004				
25	4015				
26	4014				
27	4012				
28	4013				
29	4008				
30	4002				
31	4007				
32	4011				
33	4005				
34	4011				
35	4012	4002			
36	4009				
37	4011				
38	4007	4005			
39	4016				
40	4012				
41	4016				
42	4002				
43	4003				
44	4001				
45	4016				
46	4012				
47	4016				
48	4013	4004			
49	4008	4014			
50	4003				
51	4016				
52	4012	4002			
53	4013				
54	4011	4004			
55	4010				
56	4004				
57	4002				
58	4012				
59	4011	4003			
60	4016				
61	4013	4004			
62	4002				
63	4002				
64	4004				
65	4012				
66	4002				
67	4016				
68	4003				
69	4004				
70	4012				
71	4013	4004			
72	4004				
73	4016				
74	4004				
75	4003				
76	4016				
77	4002				
78	4013	4004			
79	4016				
80	4010	4005			
81	4003				
82	4016				
83	4003				
84	4002				
85	4016				
86	4002				
87	4004				
88	4009	4012			
89	4015				
90	4011	4002			
91	4013	4004			
92	4012				
93	4013				
94	4016				
95	4002				
96	4002				
97	4011	4002			
98	4002				
99	4002				
100	4001				
101	4016				
102	4012				
103	4013				
104	4016				
105	4016				
106	4011	4003			
107	4002				
108	4013	4004			
109	4015				
110	4014				
111	4009				
112	4003				
113	4012				
114	4014				
115	4002				
116	4015				
