Id	Name	Description	Icon	Param[1]	Param[2]	Param[3]
101011		Battle is the only option here.		1		
101021		Battle is the only option here.		1		
101022		Random Event				
101031		Random Event				
101032		Battle is the only option here.		1		
101041		Battle is the only option here.		1		
101042		Battle is the only option here.		1		
101051		Battle is the only option here.		1		
101052		Random Event				
101053		Battle is the only option here.		1		
101061		Random Event				
101062		Battle is the only option here.		1		
101063		Battle is the only option here.		1		
101064		Random Event				
101071		You found a supply point set up by Babylonia.				
101072		You found a supply point set up by Babylonia.				
101073		You found a supply point set up by Babylonia.				
101081		You followed the smoke signal and found a supply crate airdropped by Babylonia.				
101082		You followed the smoke signal and found a supply crate airdropped by Babylonia.				
101083		You followed the smoke signal and found a supply crate airdropped by Babylonia.				
101091		You found a safe house left by another task force team. You can take a break here.				
101092		You found a safe house left by another task force team. You can take a break here.				
101093		You found a safe house left by another task force team. You can take a break here.				
101101		Battle is the only option here.		1		
101102		You can sense an ominous aura from the enemies. This battle will not be easy.		2		
101103		Battle is the only option here.		1		
101111		Random Event				
101112		Random Event				
101113		Battle is the only option here.		1		
101121		You found a supply point set up by Babylonia.				
101122		Random Event				
101131		Battle is the only option here.		1		
101132		Random Event				
101133		You found a supply point set up by Babylonia.				
101134		Battle is the only option here.		1		
101141		You can sense an ominous aura from the enemies. This battle will not be easy.		2		
101142		Battle is the only option here.		1		
101143		You found a supply point set up by Babylonia.				
101151		You found a safe house left by another task force team. You can take a break here.				
101152		You found a safe house left by another task force team. You can take a break here.				
101153		You found a safe house left by another task force team. You can take a break here.				
101161		These formidable enemies seem to be the leaders of other Corrupted. You are ready to give it your all.		3		
102011		Battle is the only option here.		1		
102012		Battle is the only option here.		1		
102021		Random Event				
102022		Battle is the only option here.		1		
102031		Battle is the only option here.		1		
102032		Random Event				
102033		Battle is the only option here.		1		
102041		You found a supply point set up by Babylonia.				
102042		Battle is the only option here.		1		
102043		Random Event				
102051		Battle is the only option here.		1		
102052		Battle is the only option here.		1		
102053		You found a supply point set up by Babylonia.				
102061		Random Event				
102062		Battle is the only option here.		1		
102063		Battle is the only option here.		1		
102071		Battle is the only option here.		1		
102072		Battle is the only option here.		1		
102073		You found a safe house left by another task force team. You can take a break here.				
102081		Battle is the only option here.		1		
102082		Random Event				
102083		Battle is the only option here.		1		
102084		You can sense an ominous aura from the enemies. This battle will not be easy.		2		
102091		You followed the smoke signal and found a supply crate airdropped by Babylonia.				
102092		You followed the smoke signal and found a supply crate airdropped by Babylonia.				
102093		You followed the smoke signal and found a supply crate airdropped by Babylonia.				
102094		You followed the smoke signal and found a supply crate airdropped by Babylonia.				
102101		You found a safe house left by another task force team. You can take a break here.				
102102		Battle is the only option here.		1		
102111		Battle is the only option here.		1		
102112		Random Event				
102113		You found a safe house left by another task force team. You can take a break here.				
102114		Battle is the only option here.		1		
102121		Battle is the only option here.		1		
102122		You can sense an ominous aura from the enemies. This battle will not be easy.		2		
102123		Battle is the only option here.		1		
102124		Random Event				
102131		You found a supply point set up by Babylonia.				
102132		Random Event				
102133		You can sense an ominous aura from the enemies. This battle will not be easy.		2		
102134		Battle is the only option here.		1		
102141		Random Event				
102142		Battle is the only option here.		1		
102143		You found a supply point set up by Babylonia.				
102144		Random Event				
102151		You found a safe house left by another task force team. You can take a break here.				
102152		You found a safe house left by another task force team. You can take a break here.				
102153		You found a safe house left by another task force team. You can take a break here.				
102161		These formidable enemies seem to be the leaders of other Corrupted. You are ready to give it your all.		3		
103011		Battle is the only option here.		1		
103012		Battle is the only option here.		1		
103013		Battle is the only option here.		1		
103021		Battle is the only option here.		1		
103022		Battle is the only option here.		1		
103023		Random Event				
103024		Battle is the only option here.		1		
103031		Battle is the only option here.		1		
103032		You can sense an ominous aura from the enemies. This battle will not be easy.		2		
103033		Random Event				
103041		Battle is the only option here.		1		
103042		You found a supply point set up by Babylonia.				
103043		Battle is the only option here.		1		
103044		Random Event				
103045		Battle is the only option here.		1		
103051		Random Event				
103052		Random Event				
103053		Battle is the only option here.		1		
103054		You found a supply point set up by Babylonia.				
103061		Battle is the only option here.		1		
103062		You found a safe house left by another task force team. You can take a break here.				
103063		Battle is the only option here.		1		
103071		Random Event				
103072		Battle is the only option here.		1		
103073		You found a safe house left by another task force team. You can take a break here.				
103081		You found a safe house left by another task force team. You can take a break here.				
103082		Battle is the only option here.		1		
103083		Battle is the only option here.		1		
103091		You followed the smoke signal and found a supply crate airdropped by Babylonia.				
103092		You followed the smoke signal and found a supply crate airdropped by Babylonia.				
103093		You followed the smoke signal and found a supply crate airdropped by Babylonia.				
103101		Battle is the only option here.		1		
103102		Random Event				
103103		Battle is the only option here.		1		
103111		Random Event				
103112		Battle is the only option here.		1		
103113		Battle is the only option here.		1		
103121		You can sense an ominous aura from the enemies. This battle will not be easy.		2		
103122		Battle is the only option here.		1		
103123		You can sense an ominous aura from the enemies. This battle will not be easy.		2		
103124		You found a supply point set up by Babylonia.				
103131		Battle is the only option here.		1		
103132		You can sense an ominous aura from the enemies. This battle will not be easy.		2		
103133		Random Event				
103141		You found a supply point set up by Babylonia.				
103142		Battle is the only option here.		1		
103143		Random Event				
103151		You found a safe house left by another task force team. You can take a break here.				
103152		You found a safe house left by another task force team. You can take a break here.				
103153		You found a safe house left by another task force team. You can take a break here.				
103161		These formidable enemies seem to be the leaders of other Corrupted. You are ready to give it your all.		3		
104011		Battle is the only option here.		1		
104012		Battle is the only option here.		1		
104013		Battle is the only option here.		1		
104014		Battle is the only option here.		1		
104021		You found a supply point set up by Babylonia.				
104022		Battle is the only option here.		1		
104023		Battle is the only option here.		1		
104024		You found a supply point set up by Babylonia.				
104031		Battle is the only option here.		1		
104032		Random Event				
104033		Random Event				
104041		Random Event				
104042		Battle is the only option here.		1		
104043		Battle is the only option here.		1		
104051		Battle is the only option here.		1		
104052		Battle is the only option here.		1		
104053		Battle is the only option here.		1		
104061		You found a safe house left by another task force team. You can take a break here.				
104062		Battle is the only option here.		1		
104063		Battle is the only option here.		1		
104064		You found a safe house left by another task force team. You can take a break here.				
104071		Battle is the only option here.		1		
104072		Random Event				
104073		You found a safe house left by another task force team. You can take a break here.				
104074		Battle is the only option here.		1		
104081		Battle is the only option here.		1		
104082		Random Event				
104083		Battle is the only option here.		1		
104091		You followed the smoke signal and found a supply crate airdropped by Babylonia.				
