Id	Type	Group	Param[1]	Param[2]	Param[3]	Param[4]	Param[5]	Param[6]	Param[7]	Param[8]	Param[9]	Param[10]	Param[11]	Param[12]
1101	2	1	1	2	3									
1102	2	1	4	5	6									
1103	2	1	7	8	9									
1104	2	1	10	11	12									
1105	2	1	13	14	15									
1106	2	1	16	17	18									
1107	2	1	19	20	21									
1108	2	1	22	23	24									
1109	2	1	25	26	27									
1110	2	1	28	29	30									
1111	2	1	31	32	33									
1112	2	1	34	35	36									
1113	2	1	37	38	39									
1114	2	1	40	41	42									
1115	2	1	43	44	45									
1116	2	1	46	47	48									
1117	2	1	49	50	51									
1118	2	1	52	53	54									
1119	2	1	55	56	57									
1120	2	1	58	59	60									
1121	2	1	61	62	63	64								
1122	2	1	65	66	67									
1123	2	1	68	69	70									
1124	2	1	71	72	73									
1125	2	1	74	75	76									
1126	2	1	77	78	79									
1127	2	1	80	81	82									
1128	2	1	83	84	85									
1129	2	1	86	87	88									
1130	2	1	89	90	91									
1131	2	1	92	93	94									
1132	2	1	95	96	97									
1133	2	1	98	99	100									
1134	2	1	101	102										
1135	2	1	103	104										
1136	2	1	105	106										
1137	2	1	107	108										
1138	2	1	109	110	111	112								
1139	2	1	113	114	115	116								
1201	2	2	1	2	3									
1202	2	2	4	5	6									
1203	2	2	7	8	9									
1204	2	2	10	11	12									
1205	2	2	13	14	15									
1206	2	2	16	17	18									
1207	2	2	19	20	21									
1208	2	2	22	23	24									
1209	2	2	25	26	27									
1210	2	2	28	29	30									
1211	2	2	31	32	33									
1212	2	2	34	35	36									
1213	2	2	37	38	39									
1214	2	2	40	41	42									
1215	2	2	43	44	45									
1216	2	2	46	47	48									
1217	2	2	49	50	51									
1218	2	2	52	53	54									
1219	2	2	55	56	57									
1220	2	2	58	59	60									
1221	2	2	61	62	63	64								
1222	2	2	65	66	67									
1223	2	2	68	69	70									
1224	2	2	71	72	73									
1225	2	2	74	75	76									
1226	2	2	77	78	79									
1227	2	2	80	81	82									
1228	2	2	83	84	85									
1229	2	2	86	87	88									
1230	2	2	89	90	91									
1231	2	2	92	93	94									
1232	2	2	95	96	97									
1233	2	2	98	99	100									
1234	2	2	101	102										
1235	2	2	103	104										
1236	2	2	105	106										
1237	2	2	107	108										
1238	2	2	109	110	111	112								
1239	2	2	113	114	115	116								
1301	2	3	1	2	3									
1302	2	3	4	5	6									
1303	2	3	7	8	9									
1304	2	3	10	11	12									
1305	2	3	13	14	15									
1306	2	3	16	17	18									
1307	2	3	19	20	21									
1308	2	3	22	23	24									
1309	2	3	25	26	27									
1310	2	3	28	29	30									
1311	2	3	31	32	33									
1312	2	3	34	35	36									
1313	2	3	37	38	39									
1314	2	3	40	41	42									
1315	2	3	43	44	45									
1316	2	3	46	47	48									
1317	2	3	49	50	51									
1318	2	3	52	53	54									
1319	2	3	55	56	57									
1320	2	3	58	59	60									
1321	2	3	61	62	63	64								
1322	2	3	65	66	67									
1323	2	3	68	69	70									
1324	2	3	71	72	73									
1325	2	3	74	75	76									
1326	2	3	77	78	79									
1327	2	3	80	81	82									
1328	2	3	83	84	85									
1329	2	3	86	87	88									
1330	2	3	89	90	91									
1331	2	3	92	93	94									
1332	2	3	95	96	97									
1333	2	3	98	99	100									
1334	2	3	101	102										
1335	2	3	103	104										
1336	2	3	105	106										
1337	2	3	107	108										
1338	2	3	109	110	111	112								
1339	2	3	113	114	115	116								
1401	2	4	1	2	3									
1402	2	4	4	5	6									
1403	2	4	7	8	9									
1404	2	4	10	11	12									
1405	2	4	13	14	15									
1406	2	4	16	17	18									
1407	2	4	19	20	21									
1408	2	4	22	23	24									
1409	2	4	25	26	27									
1410	2	4	28	29	30									
1411	2	4	31	32	33									
1412	2	4	34	35	36									
1413	2	4	37	38	39									
1414	2	4	40	41	42									
1415	2	4	43	44	45									
1416	2	4	46	47	48									
1417	2	4	49	50	51									
1418	2	4	52	53	54									
1419	2	4	55	56	57									
1420	2	4	58	59	60									
1421	2	4	61	62	63	64								
1422	2	4	65	66	67									
1423	2	4	68	69	70									
1424	2	4	71	72	73									
1425	2	4	74	75	76									
1426	2	4	77	78	79									
1427	2	4	80	81	82									
1428	2	4	83	84	85									
1429	2	4	86	87	88									
1430	2	4	89	90	91									
1431	2	4	92	93	94									
1432	2	4	95	96	97									
1433	2	4	98	99	100									
1434	2	4	101	102										
1435	2	4	103	104										
1436	2	4	105	106										
1437	2	4	107	108										
1438	2	4	109	110	111	112								
1439	2	4	113	114	115	116								
1501	2	5	1	2	3									
1502	2	5	4	5	6									
1503	2	5	7	8	9									
1504	2	5	10	11	12									
1505	2	5	13	14	15									
1506	2	5	16	17	18									
1507	2	5	19	20	21									
1508	2	5	22	23	24									
1509	2	5	25	26	27									
1510	2	5	28	29	30									
1511	2	5	31	32	33									
1512	2	5	34	35	36									
1513	2	5	37	38	39									
1514	2	5	40	41	42									
1515	2	5	43	44	45									
1516	2	5	46	47	48									
1517	2	5	49	50	51									
1518	2	5	52	53	54									
1519	2	5	55	56	57									
1520	2	5	58	59	60									
1521	2	5	61	62	63	64								
1522	2	5	65	66	67									
1523	2	5	68	69	70									
1524	2	5	71	72	73									
1525	2	5	74	75	76									
1526	2	5	77	78	79									
1527	2	5	80	81	82									
1528	2	5	83	84	85									
1529	2	5	86	87	88									
1530	2	5	89	90	91									
1531	2	5	92	93	94									
1532	2	5	95	96	97									
1533	2	5	98	99	100									
1534	2	5	101	102										
1535	2	5	103	104										
1536	2	5	105	106										
1537	2	5	107	108										
1538	2	5	109	110	111	112								
1539	2	5	113	114	115	116								
1601	2	6	1	2	3									
1602	2	6	4	5	6									
1603	2	6	7	8	9									
1604	2	6	10	11	12									
1605	2	6	13	14	15									
1606	2	6	16	17	18									
1607	2	6	19	20	21									
1608	2	6	22	23	24									
