Id	BuffId[1]	BuffId[2]	BuffId[3]	CharacterId[1]	CharacterId[2]	CharacterId[3]	CharacterId[4]	CharacterId[5]	CharacterId[6]	CharacterId[7]	CharacterId[8]
1	4005	5004	6004	1031001	1021001	1091002	1071002	1041002	1021004	1161002	
2	4005	5004	6004	1021002	1031002	1041003	1121002	1051001	1051003		
3	4005	5004	6004	1061003	1081003	1011003	1071002	1031003	1091002	1081002	1131002
4	4005	5004	6004	1011002	1021001	1071002	1071003	1051003	1111002	1061002	
5	4005	5004	6004	1021003	1051001	1031001	1041003	1141003	1071002	1031002	
6	4005	5004	6004	1031001	1021001	1091002	1071002	1041002	1021004	1161002	
7	4005	5004	6004	1021002	1031002	1041003	1121002	1051001	1051003		
8	4005	5004	6004	1061003	1081003	1011003	1071002	1031003	1091002	1081002	1131002
9	4005	5004	6004	1011002	1021001	1071002	1071003	1051003	1111002	1061002	
10	4005	5004	6004	1021003	1051001	1031001	1041003	1141003	1071002	1031002	
