Id	Tier	Group	NodeId[1]	FatherNode[1]	NodeId[2]	FatherNode[2]	NodeId[3]	FatherNode[3]	NodeId[4]	FatherNode[4]	NodeId[5]	FatherNode[5]	NodeId[6]	FatherNode[6]	NodeId[7]	FatherNode[7]
1	1	1	101011													
2	2	1	101021	101011	101022	101011										
3	3	1	101031	101021	101032	101022										
4	4	1	101041	101031	101042	101031|101032										
5	5	1	101051	101041	101052	101042	101053	101042								
6	6	1	101061	101051	101062	101052	101063	101053	101064	101053						
7	7	1	101071	101061|101062|101063	101072	101063	101073	101063|101064								
8	8	1	101081	101071	101082	101071	101083	101072|101073								
9	9	1	101091	101081|101082	101092	101082|101083	101093	101083								
10	10	1	101101	101091	101102	101091	101103	101092|101093								
11	11	1	101111	101101	101112	101102|101103	101113	101103								
12	12	1	101121	101111|101112	101122	101113										
13	13	1	101131	101121	101132	101121	101133	101122	101134	101122						
14	14	1	101141	101131	101142	101132|101133	101143	101134								
15	15	1	101151	101141	101152	101142	101153	101143								
16	16	1	101161	101151|101152|101153												
17	17	2	102011		102012											
18	18	2	102021	102011	102022	102012										
19	19	2	102031	102021	102032	102022	102033	102022								
20	20	2	102041	102031|102032	102042	102033	102043	102033								
21	21	2	102051	102041	102052	102041	102053	102042|102043								
22	22	2	102061	102051	102062	102052	102063	102053								
23	23	2	102071	102061	102072	102062|102063	102073	102063								
24	24	2	102081	102071	102082	102072	102083	102072	102084	102072|102073						
25	25	2	102091	102081	102092	102082	102093	102083	102094	102084						
26	26	2	102101	102091|102092	102102	102092|102093|102094										
27	27	2	102111	102101	102112	102101|102102	102113	102102	102114	102102						
28	28	2	102121	102111	102122	102112	102123	102113	102124	102114						
29	29	2	102131	102121	102132	102122|102123	102133	102124	102134	102124						
30	30	2	102141	102131	102142	102132	102143	102132|102133	102144	102134						
31	31	2	102151	102141|102142	102152	102143	102153	102144								
32	32	2	102161	102151|102152|102153												
33	33	3	103011		103012		103013									
34	34	3	103021	103011	103022	103012	103023	103012	103024	103013						
35	35	3	103031	103021	103032	103022|103023	103033	103024								
36	36	3	103041	103031	103042	103031	103043	103032	103044	103033	103045	103033				
37	37	3	103051	103041	103052	103042	103053	103043|103044	103054	103045						
38	38	3	103061	103051	103062	103052|103053	103063	103053|103054								
39	39	3	103071	103061	103072	103062	103073	103063								
40	40	3	103081	103071	103082	103072	103083	103073								
41	41	3	103091	103081	103092	103082	103093	103083								
42	42	3	103101	103091	103102	103092	103103	103093								
43	43	3	103111	103101	103112	103102	103113	103103								
44	44	3	103121	103111	103122	103111|103112	103123	103113	103124	103113						
45	45	3	103131	103121	103132	103122	103133	103123|103124								
46	46	3	103141	103131	103142	103132|103133	103143	103133								
47	47	3	103151	103141	103152	103142	103153	103143								
48	48	3	103161	103151|103152|103153												
49	49	4	104011		104012		104013		104014							
50	50	4	104021	104011	104022	104012	104023	104013	104024	104014						
51	51	4	104031	104021	104032	104022	104033	104023|104024								
52	52	4	104041	104031	104042	104032	104043	104033								
53	53	4	104051	104041	104052	104042	104053	104043								
54	54	4	104061	104051	104062	104051	104063	104052|104053	104064	104053						
55	55	4	104071	104061	104072	104062|104063	104073	104063	104074	104064						
56	56	4	104081	104071|104072	104082	104073	104083	104073|104074								
57	57	4	104091	104081|104082	104092	104083	104093	104083								
58	58	4	104101	104091	104102	104091|104092	104103	104093								
59	59	4	104111	104101	104112	104102	104113	104102	104114	104103						
60	60	4	104121	104111	104122	104112	104123	104113	104124	104114						
61	61	4	104131	104121	104132	104122	104133	104123	104134	104124						
62	62	4	104141	104131	104142	104132	104143	104132	104144	104133|104134						
63	63	4	104151	104141	104152	104142|104143	104153	104144								
64	64	4	104161	104151|104152|104153												
65	65	5	105011													
66	66	5	105021	105011												
67	67	5	105031	105021												
68	68	5	105041	105031	105042	105031										
69	69	5	105051	105041|105042												
70	70	5	105061	105051	105062	105051										
71	71	5	105071	105061|105062												
72	72	5	105081	105071	105082	105071	105083	105071								
73	73	5	105091	105081|105082|105083												
74	74	5	105101	105091	105102	105091	105103	105091								
75	75	5	105111	105101|105102|105103												
76	76	5	105121	105111												
77	77	5	105131	105121												
78	78	5	105141	105131	105142	105131										
79	79	5	105151	105141	105152	105142										
80	80	5	105161	105151|105152												
81	81	6	106011													
82	82	6	106021	106011	106022	106011										
83	83	6	106031	106021	106032	106021	106033	106022	106034	106022						
84	84	6	106041	106031	106042	106032	106043	106033|106034								
85	85	6	106051	106041	106052	106042	106053	106043	106054	106043						
86	86	6	106061	106051	106062	106051	106063	106052|106053	106064	106054						
87	87	6	106071	106061	106072	106062|106063	106073	106063|106064								
88	88	6	106081	106071|106072	106082	106073										
89	89	6	106091	106081	106092	106081	106093	106082								
90	90	6	106101	106091	106102	106092	106103	106093								
91	91	6	106111	106101|106102	106112	106103										
92	92	6	106121	106111	106122	106111	106123	106112								
93	93	6	106131	106121	106132	106122	106133	106123								
94	94	6	106141	106131	106142	106132|106133	106143	106133								
95	95	6	106151	106141|106142	106152	106143										
96	96	6	106161	106151|106152												
97	97	7	107011		107012											
98	98	7	107021	107011	107022	107011	107023	107012								
99	99	7	107031	107021	107032	107022	107033	107023								
100	100	7	107041	107031	107042	107032	107043	107033								
101	101	7	107051	107041|107042	107052	107042	107053	107043								
102	102	7	107061	107051	107062	107051	107063	107051	107064	107052|107053						
103	103	7	107071	107061|107062	107072	107063|107064										
104	104	7	107081	107071	107082	107071	107083	107072	107084	107072						
105	105	7	107091	107081	107092	107082	107093	107083|107084								
106	106	7	107101	107091	107102	107092|107093										
107	107	7	107111	107101	107112	107102	107113	107102	107114	107102						
108	108	7	107121	107111	107122	107112|107113	107123	107114								
109	109	7	107131	107121|107122	107132	107122|107123										
110	110	7	107141	107131	107142	107131	107143	107132								
111	111	7	107151	107141	107152	107142	107153	107143								
112	112	7	107161	107151|107152|107153												
113	113	8	108011		108012		108013									
114	114	8	108021	108011	108022	108012	108023	108013								
115	115	8	108031	108021	108032	108021	108033	108022|108023	108034	108023						
116	116	8	108041	108031|108032	108042	108032|108033	108043	108034								
117	117	8	108051	108041	108052	108041	108053	108042	108054	108042	108055	108043				
118	118	8	108061	108051|108052	108062	108053|108054	108063	108055								
119	119	8	108071	108061	108072	108061	108073	108062	108074	108062|108063						
120	120	8	108081	108071|108072	108082	108073	108083	108074								
121	121	8	108091	108081	108092	108081	108093	108082	108094	108083						
122	122	8	108101	108091|108092	108102	108092	108103	108093	108104	108094						
123	123	8	108111	108101	108112	108102	108113	108103|108104								
124	124	8	108121	108111	108122	108111	108123	108112|108113	108124	108113						
125	125	8	108131	108121|108122	108132	108123	108133	108124								
126	126	8	108141	108131	108142	108132	108143	108133	108144	108133						
127	127	8	108151	108141|108142	108152	108143|108144										
128	128	8	108161	108151|108152												
129	129	9	109011		109012		109013		109014							
130	130	9	109021	109011	109022	109012	109023	109013	109024	109014						
131	131	9	109031	109021|109022	109032	109023	109033	109024								
132	132	9	109041	109031	109042	109031	109043	109032|109033								
133	133	9	109051	109041|109042	109052	109043	109053	109043								
134	134	9	109061	109051	109062	109051	109063	109052|109053	109064	109053						
