Id	Type	Param[1]	Param[2]	Param[3]	Param[4]
2001	4	100			
2002	7	60300	200		
2003	3	4			
2004	8	1105			
3001	1	800001			
3002	3	3			
3003	4	100			
3004	5	1			
3005	6	1			
3006	10	30			
3007	11	60300	10		
3008	12	60300	10		
3009	4	100			
3010	10	50			
3011	3	1			
3012	12	60300	1		
3013	7	60300	50		
3014	11	60300	50		
3015	7	60300	5		
3016	4	1			
3017	1	800002			
3018	1	800003			
3019	1	800004			
3020	1	800005			
4001	7	60300	15		
4002	7	60300	50		
4003	7	60300	100		
4004	7	60300	200		
4005	7	60301	100		
4006	7	60302	2		
4007	9	60300	15		
4008	9	60300	50		
4009	9	60300	100		
4010	9	60300	200		
4011	10	5			
4012	10	15			
4013	10	30			
4014	4	50			
4015	4	100			
4016	4	1			
