Key	ModelPath	Name	Desc	Icon	Size
GoldClose	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_02X01.prefab	Endpoint	After eliminating crucial Kuroro, the endpoint will be activated. Reach the endpoint to end the stage.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon01.png	
Gap	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_01Langan01.prefab				
TriggerType3	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_02Dici.prefab	Spike	Spikes will come out when you walk past and no one can pass.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon07.png	
ViewArea	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleAttack.prefab				
TriggerType1	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleSafe.prefab	Stone Gate	Step on the Stone Gate Mechanism to lower all the Stone Gates and pass.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon05.png	
GoldOpen	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleOpen.prefab	Endpoint	After eliminating crucial Kuroro, the endpoint will be activated. Reach the endpoint to end the stage.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon23.png	
MoveLine	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleWarning.prefab				
TriggerType2	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_01Fangkuai.prefab	Stone Gate Mechanism	Step on the Stone Gate Mechanism to lower all the Stone Gates and pass.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon06.png	
RoleMoveArrow	Assets/Product/Effect/Prefab/FxTongyong/FxQRPursuitJiantou.prefab				
MonsterTriggerEffect	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleSuodibiaoji.prefab				
ElectricFence	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_07Dianwang.prefab	Electro-Wall	When powered on, the Electro-Wall will eliminate anything that touches it. Step on its switch to turn it off.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon11.png	
Trap	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_03Didong.prefab	Trap	When you step on a trap, you will fall into it and be eliminated.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon22.png	
SentryLine	Assets/Product/Effect/Prefab/FxSceneEffect/ScenePuzzle01EffectPrefab/FxScenePuzzleShiye.prefab				
Sentry	Assets/Product/Effect/Prefab/FxSceneEffect/ScenePuzzle01EffectPrefab/FxScenePuzzle01Tanhao.prefab			Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon08.png	
SentryRoand	Assets/Product/Effect/Prefab/FxSceneEffect/ScenePuzzle01EffectPrefab/FxScenePuzzle01Shuzi.prefab				
TriggerElectricFenceOpen	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_03ON.prefab	Electro-Wall Switch	The switch of the Electro-Wall. Step on it to power on the Electro-Wall.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon11.png	
TriggerElectricFenceClose	Assets/Product/Scene/Pursuit/Common/ScenePuzzle01/Prefabs/ScenePuzzle01_03OFF.prefab	Electro-Wall Switch	The switch of the Electro-Wall. Step on it to power on the Electro-Wall.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon11.png	
ElectricFenceEffect	Assets/Product/Effect/Prefab/FxSceneEffect/ScenePuzzle01EffectPrefab/FxScenePuzzle01Dianwang.prefab				
KillByElectricFenceEffect	Assets/Product/Effect/Prefab/FxSceneEffect/ScenePuzzle01EffectPrefab/FxScenePuzzleDianji.prefab				
BeAtkEffect	Assets/Product/Effect/Prefab/FxUi/FxUiPuzzle/FxUiPuzzleDead.prefab				
ShadowEffect	Assets/Product/Effect/Prefab/FxSceneEffect/ScenePuzzle01EffectPrefab/FxScenePuzzleYingzi.prefab	Shadow	The Shadow will move along with the character you control but can't eliminate enemies.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon08.png	
Grass	Assets/Product/Scene/Pursuit/Common/ScenePuzzle02/Prefabs/ScenePuzzle02_04Box.prefab	Grass Field	It blocks all characters passing by. It burns when it comes in contact with fire, and grows when it comes in contact with Lightning Attribute.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon15.png	
Pool	Assets/Product/Scene/Pursuit/Common/ScenePuzzle02/Prefabs/ScenePuzzle02_05Box.prefab	Pool	Characters passing by a pool will fall in and be eliminated. Characters carrying ice will freeze the surface of the water, creating a walkable path.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon13.png	0.8|0.8|0.8
TransferPointLoopColor1	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansongLoop01.prefab	Teleporting Mist	Teleport through resonance with characters carrying Dark Attribute.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon17.png	
TransferPointLoopColor2	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansongLoop02.prefab	Teleporting Mist	Teleport through resonance with characters carrying Dark Attribute.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon17.png	
TransferPointLoopColor3	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansongLoop03.prefab	Teleporting Mist	Teleport through resonance with characters carrying Dark Attribute.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon17.png	
TransferPointColor1	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansong01.prefab	Green SFX of Teleporting (Opening and Closing)			
TransferPointColor2	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansong02.prefab	Yellow SFX of Teleporting (Opening and Closing)			
TransferPointColor3	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzChuansong03.prefab	Purple SFX of Teleporting (Opening and Closing)			
Steel	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzGangbanLoop.prefab	Lightning Circle	It will trap any Lightning characters passing through it and be destroyed when Dark characters pass through it.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon16.png	
SteelBroken	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzGangbanPosui.prefab	Steel Plate Breaks			
Freeze	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzJiebing.prefab	Ice	You can easily melt floating ice on the water with fire.	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon14.png	
Melt	Assets/Product/Effect/Prefab/FxTuixiangzi/FxRonghua.prefab	Melting			
Drown	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzLuoshui.prefab	Drowning SFX			
Burn	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzRanshao.prefab	Burn			
WaterRipper	Assets/Product/Effect/Prefab/FxTuixiangzi/FxTxzShuibowen.prefab	Water Ripples			
DarkSkillEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxAnMiaobian.prefab	Kuroro · Dark			
CrystalSkillEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxBingMiaobian.prefab	Kuroro · Ice			
FlameSkillEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxHuoMiaobian.prefab	Kuroro · Fire			
RaidenSkillEffect	Assets/Product/Effect/Prefab/FxTuixiangzi/FxLeiMiaobian.prefab	Kuroro · Lightning			
