Key	Icon	Name	Layer
BlockIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon10.png	Obstacle	
GapIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon09.png	Wall	
NormalMonsterIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon01.png	Kuroro	
BossIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon05.png	Dangerous Enemy	
StartPointIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon02.png	Starting Point	
EndPointIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon03.png	Destination	
TriggerIcon1	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon06.png	Trap 1	2
TriggerIcon2	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon07.png	Trap 2	2
TriggerIcon3	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon08.png	Trap 3	2
MoveLineIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon16.png	Clear Route	
ElectricFencTrigger	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon14.png	Electro-Wall Switch	2
ShadowIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon12.png	Shadow	
ElectricFenceIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon13.png	Electro-Wall	
HumanIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon15.png	Celica	
TrapIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon17.png	Trap Hole	6
CrystalMonsterIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon20.png	Kuroro · Ice	
FlameMonsterIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon19.png	Kuroro · Fire	
RaidenMonsterIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon21.png	Kuroro · Lightning	
DarkMonsterIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon22.png	Kuroro · Dark	
CrystalBossIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon05.png	Dangerous Enemy with Ice Attribute	
FlameBossIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon05.png	Dangerous Enemy with Fire Attribute	
RaidenBossIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon05.png	Dangerous Enemy with Lightning Attribute	
DarkBossIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon05.png	Dangerous Enemy with Dark Attribute	
EntityIcon1	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon24.png	Surface of Water	4
EntityIcon2	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon25.png	Ice	3
EntityIcon3	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon23.png	Grass Field	1
EntityIcon4	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon26.png	Steel Plate	5
TransferPointIcon1	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon27.png	Teleport Node|1	
TransferPointIcon2	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon27.png	Teleport Node|2	
TransferPointIcon3	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon27.png	Teleport Node|3	
