MapId	HintTitle	StartRowAndCol	StartGridPercent	NextRowAndCol[1]	NextGridPercent[1]	NextRowAndCol[2]	NextGridPercent[2]	NextRowAndCol[3]	NextGridPercent[3]	NextRowAndCol[4]	NextGridPercent[4]	NextRowAndCol[5]	NextGridPercent[5]	NextRowAndCol[6]	NextGridPercent[6]	NextRowAndCol[7]	NextGridPercent[7]	NextRowAndCol[8]	NextGridPercent[8]	NextRowAndCol[9]	NextGridPercent[9]	NextRowAndCol[10]	NextGridPercent[10]	NextRowAndCol[11]	NextGridPercent[11]	NextRowAndCol[12]	NextGridPercent[12]	NextRowAndCol[13]	NextGridPercent[13]	NextRowAndCol[14]	NextGridPercent[14]	NextRowAndCol[15]	NextGridPercent[15]	NextRowAndCol[16]	NextGridPercent[16]	NextRowAndCol[17]	NextGridPercent[17]	NextRowAndCol[18]	NextGridPercent[18]	NextRowAndCol[19]	NextGridPercent[19]	NextRowAndCol[20]	NextGridPercent[20]	NextRowAndCol[21]	NextGridPercent[21]	NextRowAndCol[22]	NextGridPercent[22]	NextRowAndCol[23]	NextGridPercent[23]	NextRowAndCol[24]	NextGridPercent[24]
1101	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	7|5	1|0.5	7|3	0.5|0.5	2|3	0.5|0.5	2|6	0.5|0.5																																										
1102	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	5|1	0.5|1	3|1	0.5|0.5	3|2	0.5|0.5	1|2	0.5|0.5	1|6	0.5|0.5	5|6	0.5|0.5	5|5	0.5|0.5	2|5	0.5|0.5																																		
1103	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	7|6	1|0.5	7|5	0.5|0.5	3|5	0.5|0.5	3|2	0.5|0.5	6|2	0.5|0.5	6|6	0.5|0.5	3|6	0.5|0.5																																				
1104	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	4|2	0.66|1	3|2	0.66|0.5	3|2	0.33|0.5	6|2	0.33|0.5	6|1	0.5|0.5	7|1	0.5|0.5	7|5	0.5|0.5	2|5	0.5|0.5	2|3	0.5|0.5																																
1105	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	7|5	0|0.5	7|5	0.5|0.5	5|5	0.5|0.5	5|8	0.33|0.5	6|8	0.33|0.5	6|8	0.66|0.5	3|8	0.66|0.5	3|1	0.5|0.5	5|1	0.5|0.5	5|3	0.5|0.5	4|3	0.5|0.5																												
1106	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	1|2	0|0.5	1|2	0.5|0.5	2|2	0.5|0.5	2|6	0.5|0.5	1|6	0.5|0.5	1|4	0.5|0.5	4|4	0.5|0.5	4|2	0.33|0.5	7|2	0.33|0.5	7|2	0.66|0.5	6|2	0.66|0.5	6|5	0.5|0.5	5|5	0.5|0.5																								
1107	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	2|2	1|0.66	2|2	0.5|0.66	2|2	0.5|0.33	2|5	0.5|0.5	6|5	0.5|0.33	6|6	0.5|0.33	6|6	0.5|0.66	6|4	0.5|0.66	4|4	0.5|0.5	4|1	0.5|0.5	5|1	0.5|0.5																												
1108	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	4|5	0.5|0	7|5	0.5|0.66	7|1	0.33|0.66	1|1	0.33|0.33	1|2	0.5|0.33	1|2	0.5|0.66	1|1	0.66|0.66	7|1	0.66|0.33	7|4	0.5|0.33	4|4	0.5|0.5	4|7	0.5|0.5	1|7	0.5|0.5	1|6	0.5|0.5	5|6	0.5|0.5	5|3	0.5|0.5																				
1109	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	3|3	0|0.5	3|3	0.33|0.5	5|3	0.33|0.5	5|3	0.66|0.5	1|3	0.66|0.5	1|7	0.5|0.5	3|7	0.5|0.5	3|8	0.5|0.5	2|8	0.5|0.5	2|5	0.5|0.5	6|5	0.5|0.5	6|8	0.5|0.5																										
1110	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	5|8	0.5|1	5|8	0.5|0.5	5|5	0.5|0.5	8|5	0.5|0.5	8|7	0.5|0.5	3|7	0.5|0.5	3|6	0.5|0.5	7|6	0.5|0.5	7|1	0.5|0.5	8|1	0.5|0.5	8|2	0.5|0.5	2|2	0.5|0.5	2|4	0.5|0.5	4|4	0.5|0.5																						
1201	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|4	0.5|1	5|4	0.5|0.5	5|7	0.5|0.5	6|7	0.5|0.5	6|5	0.5|0.5	2|5	0.5|0.5	2|4	0.5|0.5	4|4	0.5|0.5																																		
1202	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|3	0.5|1	5|3	0.5|0.5	5|2	0.5|0.5	2|2	0.5|0.5	2|6	0.5|0.5	6|6	0.5|0.5	6|5	0.5|0.5																																				
1203	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	3|2	0|0.5	3|3	0.5|0.5	6|3	0.5|0.5	6|1	0.5|0.5	7|1	0.5|0.5	7|7	0.5|0.5	5|7	0.5|0.5																																				
