Id	Type
101201	1
101206	2
101211	3
101216	4
101217	5
101218	6
101221	7
101222	8
101223	9
101227	10
101224	11
101225	12
101226	13
102101	1
102106	2
102111	3
102116	4
102117	5
102118	6
102121	7
102122	8
102123	9
102127	10
102124	11
102125	12
102126	13
103101	1
103106	2
103111	3
103116	4
103117	5
103118	6
103121	7
103122	8
103123	9
103127	10
103124	11
103125	12
103126	13
104201	1
104206	2
104211	3
104216	4
104217	5
104218	6
104221	7
104222	8
104223	9
104227	10
104224	11
104225	12
104226	13
105101	1
105106	2
105111	3
105116	4
105117	5
105118	6
105121	7
105122	8
105123	9
105127	10
105124	11
105125	12
105126	13
106201	1
106206	2
106211	3
106216	4
106217	5
106218	6
106221	7
106222	8
106223	9
106227	10
106224	11
106225	12
106226	13
107201	1
107206	2
107211	3
107216	4
107217	5
107218	6
107221	7
107222	8
107223	9
107227	10
107224	11
107225	12
107226	13
108201	1
108206	2
108211	3
108216	4
108217	5
108218	6
108221	7
108222	8
108223	9
108227	10
108224	11
108225	12
108226	13
102201	1
102206	2
102211	3
102216	4
102217	5
102218	6
102221	7
102222	8
102223	9
102227	10
102224	11
102225	12
102226	13
103201	1
103206	2
103211	3
103216	4
103217	5
103218	6
103221	7
103222	8
103223	9
103227	10
103224	11
103225	12
103226	13
103301	1
103306	2
103311	3
103316	4
103317	5
103318	6
103321	7
103322	8
103323	9
103327	10
103324	11
103325	12
103326	13
106301	1
106306	2
106311	3
106316	4
106317	5
106318	6
106321	7
106322	8
106323	9
106327	10
106324	11
106325	12
106326	13
101301	1
101306	2
101311	3
101316	4
101317	5
101318	6
101321	7
101322	8
101323	9
101327	10
101324	11
101325	12
101326	13
107301	1
107306	2
107311	3
107316	4
107317	5
107318	6
107321	7
107322	8
107323	9
107327	10
107324	11
107325	12
107326	13
105301	1
105306	2
105311	3
105316	4
105317	5
105318	6
105321	7
105322	8
105323	9
105327	10
105324	11
105325	12
105326	13
102301	1
102306	2
102311	3
102316	4
102317	5
102318	6
102321	7
102322	8
102323	9
102327	10
102324	11
102325	12
102326	13
109201	1
109206	2
109211	3
109216	4
109217	5
109218	6
109221	7
109222	8
109223	9
109227	10
109224	11
109225	12
109226	13
108301	1
108306	2
108311	3
108316	4
108317	5
108318	6
108321	7
108322	8
108323	9
108327	10
108324	11
108325	12
108326	13
111201	1
111206	2
111211	3
111216	4
111217	5
111218	6
111221	7
111222	8
111223	9
111227	10
111224	11
111225	12
111226	13
104301	1
104306	2
104311	3
104316	4
104317	5
104318	6
104321	7
104322	8
104323	9
104327	10
104324	11
104325	12
104326	13
112201	1
112206	2
112211	3
112216	4
112217	5
112218	6
112221	7
112222	8
112223	9
112227	10
112224	11
112225	12
112226	13
102401	1
102406	2
102411	3
102416	4
102417	5
102418	6
102421	7
102422	8
102423	9
102427	10
102424	11
102425	12
102426	13
102428	12
113201	1
113206	2
113211	3
113216	4
113217	5
113218	6
113221	7
113222	8
113223	9
113227	10
113224	11
113225	12
113226	13
115201	1
115206	2
115211	3
115216	4
115217	5
115218	6
115221	7
115222	8
115223	9
115227	10
115224	11
115225	12
115226	13
114301	1
114306	2
114311	3
114316	4
114317	5
114318	6
114321	7
114322	8
114323	9
114327	10
114324	11
114325	12
114326	13
152301	1
152306	2
152311	3
152316	4
152317	5
152318	6
152321	7
152322	8
152323	9
152327	10
152324	11
152325	12
152326	13
116201	1
116206	2
116211	3
116216	4
116217	5
116218	6
116221	7
116222	8
116223	9
116227	10
116224	11
116225	12
116226	13
117301	1
117306	2
117311	3
117316	4
117317	5
117318	6
117321	7
117322	8
117323	9
117327	10
117324	11
117325	12
117326	13
118301	1
118306	2
118311	3
118316	4
118317	5
118318	6
118321	7
118322	8
118323	9
118327	10
118324	11
118325	12
118326	13
119301	1
119306	2
119311	3
119316	4
119317	5
119318	5
119321	6
119322	7
119323	8
119327	9
119324	10
119325	11
119326	12
119329	13
120301	1
120306	2
120311	3
120316	4
120317	5
120318	6
120321	7
120322	8
120323	9
120327	10
120324	11
120325	12
120326	13
121201	1
121206	2
121211	3
121216	4
121217	5
121218	6
121221	7
121222	8
121223	9
121227	10
