CharacterId	MainSkillIcon[1]	MainSkillIcon[2]	MainSkillIcon[3]	MainSkillIcon[4]	MainSkillIcon[5]	MainSkillName[1]	MainSkillName[2]	MainSkillName[3]	MainSkillName[4]	MainSkillName[5]	MainSkillType[1]	MainSkillType[2]	MainSkillType[3]	MainSkillType[4]	MainSkillType[5]
1011002	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1021001	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1031001	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1041002	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1051001	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1061002	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1071002	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1081002	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1021002	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
1031002	Assets/Product/Texture/Image/IconSkill/hongse.png	Assets/Product/Texture/Image/IconSkill/huangse.png	Assets/Product/Texture/Image/IconSkill/lanse.png	Assets/Product/Texture/Image/IconSkill/jichu.png	Assets/Product/Texture/Image/IconSkill/beidong.png	Red Orb	Yellow Orb	Blue Orb	Active Skill	Passive Skill	DMG	DMG	DMG	Signature Move	Passive
