Id	PoolId	Weight	SkillId	Icon	Description	Name
1	1	100	101201	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	Red Orb Level +1	Precise Shots
2	1	100	101206	Assets/Product/Texture/Image/IconSkill/R2lihuang1.png	Yellow Orb Level +1	Infernal Shot
3	1	100	101211	Assets/Product/Texture/Image/IconSkill/R2lilan1.png	Blue Orb Level +1	Magnetic Shot
4	1	100	101216	Assets/Product/Texture/Image/IconSkill/lipugong1.png	Basic Attack Level +1	Shooting Mode
5	2	100	101217	Assets/Product/Texture/Image/IconSkill/R2lidazhao1.png	Signature Move Level + 1	Signature - 360° Shooting
6	2	100	101218	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	360° Shooting - Rapid Fire
7	2	100	101221	Assets/Product/Texture/Image/IconSkill/R2lihexin1.png	Core Passive +1	Controlling Bullet
8	2	100	101223	Assets/Product/Texture/Image/IconSkill/R2lihexin1.png	Class Skill Level +1	Attacker
12	1	100	102201	Assets/Product/Texture/Image/IconSkill/R2luxiyahong1.png	Red Orb Level +1	Flurry
13	1	100	102206	Assets/Product/Texture/Image/IconSkill/R2luxiyahuang1.png	Yellow Orb Level +1	Lightning Field
14	1	100	102211	Assets/Product/Texture/Image/IconSkill/R2luxiyalan1.png	Blue Orb Level +1	Moon Arc Slash
15	1	100	102216	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png	Basic Attack Level +1	Quick Blade
16	2	100	102217	Assets/Product/Texture/Image/IconSkill/R2luxiyadazhao1.png	Signature Move Level + 1	Signature - Lotus Blade
17	2	100	102218	Assets/Product/Texture/Image/IconSkill/QTE1.png	QTE Level +1	Scattering Petals
18	2	100	102221	Assets/Product/Texture/Image/IconSkill/R2luxiyahexin1.png	Core Passive +1	Lightning Dance
19	2	100	102223	Assets/Product/Texture/Image/IconSkill/R2luxiyahexin1.png	Class Skill Level +1	Attacker
20	1	100	103201	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	Red Orb Level +1	Ion Cannons
21	1	100	103206	Assets/Product/Texture/Image/IconSkill/R2lifuhuang1.png	Yellow Orb Level +1	Sanctum
22	1	100	103211	Assets/Product/Texture/Image/IconSkill/R2lifulan1.png	Blue Orb Level +1	Virtual Barrier
