Id	Name	Desc	Icon
1	Commandant	Lazybones Commandant has no messages for you.	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer11.png
2	Lee: Palefire	I'm back. Here is the data you need.	Assets/Product/Texture/Image/IconToolsSp/RoleHeadLi2Sp.png
3	Lucia: Lotus	Mission accomplished.	Assets/Product/Texture/Image/IconToolsSp/RoleHeadluxiya2Sp.png
4	Liv: Eclipse	I'm back. Everything seems new and fresh...	Assets/Product/Texture/Image/IconToolsSp/RoleHeadLifu2Sp.png
5	Bianca: Zero	Completed per your instructions.	Assets/Product/Texture/Image/IconToolsSp/RoleHeadAolisuo2Sp.png
6	Nanami: Storm	Nanami just made a huge discovery!	Assets/Product/Texture/Image/IconToolsSp/RoleHeadYongyechao2Sp.png
7	Kamui: Bastion	Hey! Missed me?	Assets/Product/Texture/Image/IconToolsSp/RoleHeadShenwei2Sp.png
8	Karenina: Blast	I did better than Lucia, and you know it.	Assets/Product/Texture/Image/IconToolsSp/RoleHeadKalie2Sp.png
9	Watanabe: Nightblade	I hope you are satisfied with the results...	Assets/Product/Texture/Image/IconToolsSp/RoleHeadDubian2Sp.png
10	Lucia: Dawn	Please check the mission report.	Assets/Product/Texture/Image/IconToolsSp/RoleHeadluxiya2SSp.png
11	Liv: Lux	I hope I did not let you down...	Assets/Product/Texture/Image/IconToolsSp/RoleHeadLifu2SSp.png
12	Lee: Entropy	Did you think I could fail?	Assets/Product/Texture/Image/IconToolsSp/RoleHeadLi2SSSp.png
13	Liv: Luminance	For everyone's future.	Assets/Product/Texture/Image/IconToolsSp/RoleHeadLifu2SSSp.png
14	Kamui: Tenebrion	This was too easy, Commandant.	Assets/Product/Texture/Image/IconToolsSp/RoleHeadShenwei2SSSp.png
15	Karenina: Ember	I might not go the next time if I don't get praised...	Assets/Product/Texture/Image/IconToolsSp/RoleHeadKalie2SSSp.png
16	Nanami: Pulse	Nanami's always the first one back!	Assets/Product/Texture/Image/IconToolsSp/RoleHeadYongyechao2SSSp.png
17	Lucia: Crimson Abyss	Leave it to other Constructs next time.	Assets/Product/Texture/Image/IconToolsSp/RoleHeadLuxiyaaerfa2SSSp.png
18	Watanabe: Astral	Acceptable results.	Assets/Product/Texture/Image/IconToolsSp/RoleHeadDubian2SSSp.png
19	Ayla: Brilliance	It's given me great inspiration!	Assets/Product/Texture/Image/IconToolsSp/RoleHeadAila2Sp.png
20	Bianca: Veritas	Purging enemies is my duty.	Assets/Product/Texture/Image/IconToolsSp/RoleHeadBianka2SSSp.png
21	Sophia: Silverfang	...Roger.	Assets/Product/Texture/Image/IconToolsSp/RoleHeadSufeiya2Sp.png
22	Chrome: Arclight	The one that advances wins!	Assets/Product/Texture/Image/IconToolsSp/RoleHeadKuluomu2Sp.png
23	Celica	I AM THE SUPREME.	Assets/Product/Texture/Image/Role/RoleHeadSailika3.png
24	Roland	Mh-hm.	Assets/Product/Texture/Image/Role/RoleHeadLuolan3Q.png
25	Nozzle	Enlightening... art...	Assets/Product/Texture/Image/Role/RoleHeadGuer3Q.png
26	B5 Pointy	Hello, I'm Pointy, the younger sister of the Memory B5 Duo. Nice to meet you.	Assets/Product/Texture/Image/Role/RoleChangmao3Q.png
27	B5 Pokey	Hey, I'm Pokey, the elder brother of the Memory B5 Duo. Are you ready to welcome me?	Assets/Product/Texture/Image/Role/RoleChangQiang3Q.png
28	Repairer	Oh, a human commandant? I'm the repairer... Hehe...	Assets/Product/Texture/Image/Role/RoleHeadBanshou3Q.png
29	■■■■	■■■■, ■■■■■■	Assets/Product/Texture/Image/RolePlayerSp/RolePlayer20.png
