Id	Name	Composer	Cover	Bg	CueId	Priority
1	Gray Raven	G.K/Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace5.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace5.png	1	99
2	Revival	T-nymph	Assets/Product/Texture/Image/CdPlayer/CdFace6.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace6.png	26	98
3	Narwhal Pt.1	Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace1.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace1.png	10	97
4	C.O.R.E. Pt.1	Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace2.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace2.png	12	96
5	Dust Pt.1	GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace3.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace3.png	15	95
6	Night Sailing	Anti-General	Assets/Product/Texture/Image/CdPlayer/CdFace4.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace4.png	18	94
7	Huaxu	Anti-General	Assets/Product/Texture/Image/CdPlayer/CdFace7.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace7.png	27	93
8	Waterland	RabbitJ	Assets/Product/Texture/Image/CdPlayer/CdFace8.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace8.png	32	92
9	Narwhal-Abysm	Moto	Assets/Product/Texture/Image/CdPlayer/CdFace9.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace9.png	33	91
10	Reverse	Moto	Assets/Product/Texture/Image/CdPlayer/CdFace10.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace10.png	37	90
11	Dis┬rient	Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace11.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace11.png	45	89
12	Wraith Reborn	GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace13.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace13.png	52	88
13	Endless Trick	GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace14.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace14.png	55	87
14	Dancing tonight	Producer: Vanguard Sound  Composer: Rabbit J  Lyrics & Vocal: Xia Tongzi	Assets/Product/Texture/Image/CdPlayer/CdFace15.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace15.png	56	86
15	In Scription Of Labyrinth	Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace16.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace16.png	60	85
16	Weight Of The World	Marina Kawano	Assets/Product/Texture/Image/CdPlayer/CdFace12.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace12.png	39	83
17	LAMIA	GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace17.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace17.png	62	84
18	Dream with you	Composer: Rabbit J  Vocal: Kinoko Mogu	Assets/Product/Texture/Image/CdPlayer/CdFace18.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace18.png	30	82
