ModelName	Action[1]	Action[2]	Action[3]	Action[4]	Action[5]
QR3LiangMd010011TX	Show03	Talk01	Thanks04	Stand01	
QR4LuxiyaMd010011TX	Stand04	Love01	StandReward01	Talk01	
QR4LifuMd010011TX	Gift01	Love01	Stand01		
QR4YongyechaoMd010011TX	Attack23	Attack12	Touch02		
QR3WeilaMd010011TX	Stand01	Hug01	Talk01		
QR2TwentyoneMd010011TX	StandReward01	Kiss01	Touch01		
QR2PulaoMd010011TX	StandReward01	Adsorb	Thanks02	Love01	
QR3KuluomuMd010011TX	Show03	Stand04	Thanks04		
QR3ShenweiMd010011TX	Kiss01	Thanks04	Refuse01		
QR4KalieninaMd010011TX	Greet01	Kiss01	Touch01		
