Key	Type	Value
ItemIdRange	int	99999
CharacterIdRange	int	1999999
PartIdRange	int	5999999
PlayerChangeNameInterval	int	86400
ItemAutoIncrementInterval	int	30000
EquipMinCritProb	int	0
EquipMinCritMultiple	float	1.5
EquipMaxCritProb	int	0
EquipMaxCritMultiple	float	2
EquipExpInheritPercent	int	100
EquipRecycleItemId	int	31200
EquipRecycleItemPercent	int	10
MinResonanceBindStar	int	6
MinEquipAwakeStar	int	6
EquipTransformChipUseCount	int	3
EquipDecomposeReturnRate	int	7000
ResonanceLockMinStar	int	5
FubenDifficultNormal	int	1
FubenDifficultHard	int	2
FubenDifficultVariations	int	3
FubenDifficultNightmare	int	100
FubenStageStarNum	int	3
FubenNotGetTreasure	int	0
FubenGetTreasure	int	1
FubenTypeMainLine	int	1
FubenTypeChallenge	int	2
FubenTypeActivity	int	3
FubenTypeTower	int	4
FubenMaxRecordPlayerNum	int	10
TypeIdMainLine	int	10
TypeIdBossSingle	int	11
TypeIdMultiDimSingle	int	150
TypeIdExplore	int	12
TypeIdGuildBossLow	int	20
TypeIdGuildBossHigh	int	21
TypeIdGuildBossBoss	int	22
TypeIdUnionFight	int	40
TypeIdExpedition	int	50
TypeIdRpgTower	int	60
TypeIdArenaOnline	int	70
TypeIdNieR	int	80
TypeIdNieRRepeat	int	90
TypeIdSimulatedCombat	int	100
TeamMaxPos	int	3
AssistTypePasser	int	1
AssistTypeFriend	int	2
AssistTypeLegion	int	3
AssistTypeRobot	int	4
AssistPasserWeight	int	30
AssistFriendWeight	int	70
AssistLegionWeight	int	0
AssistFriendCdTime	int	3600
AssistLegionCdTime	int	3600
AssistPasserCdTime	int	120
UseAssistCount	int	999
AssistOwnMaxNum	int	5
AssistOtherMaxNum	int	5
AssistCdTime	int	3600
QualityIconCommon	string	Common.CommonProp
StoryPlayTimeOneToFive	float	0.3
StoryPlayTimeSixToTen	float	0.5
StoryPlayTimeEleToTwe	float	1
StoryPlayTimeTweoToThi	float	1.5
StoryPlayTimeThioToFot	float	2
StoryPlayTimeFotoToFif	float	2
StoryPlayAutoStopTime	float	0.5
PlayerMinLevel	int	1
PlayerMaxLevel	int	120
BuyAssetCoinBase	int	9915
BuyAssetCoinMul	int	85
BuyAssetCoinCritProb	int	1000
BuyAssetCoinCritMul	int	15000
MailTypeSystem	int	1
MailTypeGm	int	2
MailStatusUnread	int	1
MailStatusRead	int	2
MailStatusGetReward	int	3
MailStatusDelete	int	4
InstanceMaxStar	int	3
EquipWeaponMaxCount	int	300
EquipReformMinQuality	int	4
EquipChipMaxCount	int	1000
DailyResetTimestamp	int	25200
DayOfWeeklyReset	int	1
GlobalTimeZone	int	8
PlayerInitialName	string	Commandant
MailDefaultSendName	string	Gray Raven Support Force
MailCountLimit	int	100
FriendApplyIntervalHour	int	12
FriendRefuseApplyIntervalSecond	int	3600
FriendDeleteApplyIntervalSecond	int	21600
FriendRecommendMaxContinuousClickCount	int	3
FriendMainMaxClickIntervalTime	int	2
MainFriendMaxCount	int	2
FriendRecommendMaxContinuousClickIntervalTime	int	2
FriendRecommendIntervalTime	int	10
FriendSearchSinglePlayerIntervalTime	int	3
FriendFindPlayerInSpecifyDays	int	7
FriendFindPlayerFloatLevel	int	5
FriendGetGiftResetTimeId	int	21001
FriendMaxRecommendCount	int	10
FriendMaxAcceptApplyCount	int	100
FriendMaxRecommendRecordCount	int	200
FriendMaxBlacklistCount	int	50
ChatIntervalTime	int	10
UseRecommendedAssistTimesLimit	int	1
UseRankAssistTimesLimit	int	1
AudioBusSetting	string	unset
UrgentEventCDTime	int	60
UrgentEventWeekChallengTimes	int	4
UrgentEventMaxMapCount	int	1
MaxCharacterVitality	int	100
MaxTeamPrefab	int	10
TeamPrefabNameLength	int	12
ChallengeRewardRequireNum	int	2
HostelDelegateAssitPlayer	int	5
HostelDelegateAssitPerPlayerCount	int	1
DefaultSoundVolume	float	0.8
DefaultMusicVolume	float	0.8
DefaultCvVolume	float	0.8
DefaultCvType	int	1
DefaultControl	int	1
BossSingleChallengeNum	int	4
BossSingleMaxStamina	int	5
CharacterInitStamina	int	5
DormitoryEquipScore	float	1.5
FubenTypeBossSingle	int	7
BOResetType	int	1
BOResetTime	string	3600
WorldChatContinuousIntervalTime	int	5
WorldChatContinuousSendCount	int	3
MaxNoOPTime	int	60
BlackListCD	int	30
BlackListCount	int	5
QuickMatchMaxTime	int	0
QuickMatchProb	int	0
RobotMatchMinTime	int	0
RobotMatchProb	int	0
RoomHrefDisableTime	int	300
PrivateInviteInterval	int	10
ClanInviteInterval	int	10
WorldInviteInterval	int	10
ChatSaveCount	int	30
ChatGiftCountMin	int	1
ChatGiftCountMax	int	20
GetGiftMaxCountEveryDay	int	10
OnlineBossResultSelectTime	int	10
HeartbeatInterval	int	3000
LoginTimeOutInterval	int	30
OnlinePraiseCountDown	int	3
FlopRewardCloseTime	float	2.5
OnlineBossNormalChapterId	int	1001
OnlineBossActivityChapterId	int	1002
FubenFlopCount	int	3
BountyTaskCount	int	3
BountyTaskRefreshCount	int	7
TaskForceItemId	int	3
TaskForceElapseMinutes	int	2
FurnitureMoneyId	int	1
DormVitalityRecoverInterval	int	3600
DormMoodRecoverInterval	int	3600
DormVitalityMaxValue	int	10000
DormMoodMaxValue	int	10000
DormVitalityInitValue	int	10000
DormMoodInitValue	int	8000
DormRandomMoodTime	int	14400
DormVisitRecordNum	int	10
DormRecommendCd	int	10
DormRecommendInterval	int	2
DormRecommendCountLimit	int	3
DormRecommendPlayerCountLimit	int	10
DormWorkTimePerVitality	int	1
DormWorkRewardPerVitality	int	1
DormFurnitureCreateNum	int	5
DormLayoutMaxCount	int	36
DormMaxCreateCount	int	100
DormMaxPutFurnitureCount	int	150
DormRemoveFurnitureOrder	string	25011|25012|25010|25009|25008|25013|25007|25006|25004|25005
DormMaxRecycleCount	int	200
DormMaxTotalFurnitureCount	int	8000
TrustGameCount	int	3
TrustGameReadySecond	int	3
TrustGameWaitForNextSecond	int	3
TrustGameWaitForEnding	int	3
AutoFightMaxRecordsCount	int	10
ArenaTeamRankShow	int	100
ArenaDayUnlockCount	int	4
ArenaTeamRankSortTime	int	1800
ArenaOnlineCharMaxEndurance	int	1
BaseEquipMaxCount	int	30
DormWorkMaxCount	int	8
DormReNameLen	int	12
ReportInterval	int	300
ReportDailyMaxTimes	int	10
ArenaWeekBeginTime	int	592200
DormRecommendedCacheMaxCount	int	200
DormEventRefreshTime	int	5400
DormVisitTimeoutInterval	int	14400
DormMaxSnapshotTimes	int	10
PurchaseExpireTipsDaysLimit	int	2
RoomKickCountDownTime	int	30
RoomKickCountDownShowTime	int	0
WorldChatMaxCount	int	150
BossSingleAutoFightCount	int	9
BossSingleAutoFightRebate	int	80
GuildApplyMaxCount	int	50
ShopBuyGoodsCountLimit	int	999
HeadPortraitQuality	int	1
HeartbeatTimeout	int	2000
ReconnectInterval	int	3000
DelayReconnectTime	int	2000
MaxDisconnectTime	int	600
RedEnvelopeWeightReduceValue	int	2000
RedEnvelopeMinWeightValue	int	2000
EquipSuitPrefabNameLength	int	12
EquipSuitPrefabMaxNum	int	20
EquipSuitCharacterPrefabMaxNum	int	3
ItemRecycleText	string	{0} × {1}
GuildCreateCostItemType	int	3
GuildCreateCostItemCount	int	300
GuildApplyPlayerMaxCount	int	200
GuildApplyGuildMaxCount	int	60
GuildRecruitGuildMaxCount	int	20
GuildLikedItemId	int	37
GuildAddPopularity	int	3
GuildImpeachDays	int	7
GuildImpeachDuration	int	3
GuildImpeachExtend	int	1
GuildScriptCount	int	5
GuildScriptLength	int	40
GuildTouristDuration	int	48
GuildPlayerRecommendLevel	int	40
GuildPlayerRecommendCount	int	30
GuildPlayerRecommendCountPage	int	10
GuildPlayerRecommendRefresh	int	1
GuildRecruitTimeout	int	24
GuildRecruitPlayerMaxCount	int	30
GuildContributeRewardMin	int	10
GuildContributeRewardCoA	float	0.8
GuildContributeRewardCoB	int	100
GuildWishContributeAddCoin	int	20
GuildNewsCountPerPage	int	10
GuildNewsMaxCount	int	30
GuildPlayerNewsMaxCount	int	50
GuildEnterCd	int	8
GuildChatMaxCount	int	50
GuildCoinCd	int	0
GuildApplyCd	int	1
GuildRecommendCount	int	100
GuildRecommendCountPage	int	30
GuildRecommendRefresh	int	1
GuildFindLikeCount	int	25
GuildBossNewRewardDate	int	1657522800
GuildRecruitGuildDailyCount	int	10
GuildImpeachCostItem	string	3|1
GuildImpeachCostCount	string	300|500000
GuildBuildIntervalWhenMaxLevel	int	32000
GuildTalentPointCountWhenMaxLevel	int	20
GuildRankListCount	int	100
GuildScriptText	string	Greetings to New Commandant
GuildNameMinLen	int	1
GuildNameMaxLen	int	16
GuildDeclarationMaxLen	int	100
GuildApplyTimeoutSec	int	86400
GuildKickCountDailyMax	int	10
GuildImpeachMailId	int	40012
BossOnlineKillFloorValue	int	12
BossOnlineKillCeilingValue	int	19
SparkServer	string	Star in the Dark Server
BeaconServer	string	Beacon Server
TestServer	string	Testing Server
ArenaOnlineOpenTimestamp	int	1591822800
InfestorRewardMsgMaxLength	int	15
InfestorChapterLeaveMsgInterval	int	15
InfestorChapterLeaveMsgMaxLength	int	15
InfestorChapterLeaveMsgMaxCount	int	10
InfestorRandomEventGoodsCount	int	3
InfestorSyncPlayerInfoInterval	int	300
InfestorBfrtSubHpTimes	int	3
InfestorActionPointDailyRecover	int	14
InfestorCoreUseMaxCount	int	6
GuildBossDeathAddScore	int	80000
GuildBossStageUploadCount	int	3
GuildInitialName	string	Command Bureau
GuildInitDeclaration	string	Command Bureau Manifesto
GuildBossStageAddBuffPoint	int	10
GuildBossStageMaxBuffPoint	int	100
GuildBossScoreContributeRatio	float	0.001
FightInfestorScoreRulerMinCount	int	200
GuildBossRankListCount	int	100
GuildGloryPointsPerLevel	int	20
GuildGloryMaxLevel	int	9999
GuildBossScoreCollectionRatio	float	0.0001
ResetGuildNameMailId	int	40011
FightHeartbeatTimeout	int	10000
FightHeartbeatInterval	int	1000
RogueLikeTaskHpPercent	int	50
RogueLikeTaskAbility	int	5000
RogueLikeTaskFightTime	int	60
ArenaMaxContributeScore	int	100
ArenaProtectContributeScore	int	100
TrpgMaxEndurance	int	30
TrpgInitEndurance	int	20
TrpgEnduranceDailyRecover	int	5
CollectWordsRequestWordCd	int	21600
CollectWordsRequestWordGuildCd	int	300
CollectWordsGiftBoxMaxCount	int	50
CollectWordsRecvRequestMaxCount	int	100
CollectWordsRequestWordFriendCd	int	5
PartnerMaxCount	int	200
PartnerNameMaxLength	int	12
PartnerExpExchangeItemId	int	30111
PartnerExpItemPercent	int	1
PartnerExpExchangeCoin	int	10
PartnerBreakConsumeRebate	float	0.7
PartnerSkillConsumeRebate	float	0.9
PartnerAbilityConvert	float	0
PartnerDecomposeExpItemRebate	string	30111|30112|30113
PartnerDecomposeLevelBreakRebate	float	0.7
PartnerDecomposeEvolutionRebate	float	0.7
PartnerDecomposeSkillRebate	float	0.7
MoeWarRollScreenVote	int	100
MoeWarDailyVoteLimit	int	100000
TypeIdReform	int	110
CustomLoadingMaxSize	int	10
AreaWarMaxActionPoint	int	240
AreaWarCoinFactor	float	1
PlayThroughCountDown	int	5
SnowGameProgressDuration	int	1
TypeIdEscape	int	120
CheckSiriusWeaponPayId	int	5
CheckSiriusWeaponArchiveId	int	2026003
YKPurchasePackageId	int	10000
GuildFightStyleCd	int	300
GuildBossThirdVersionTimeId	int	807
TypeIdTwoSideTower	int	130
AssistantNum	int	5
GuildSearchCd	int	3
PlayerSearchCd	int	3
ApplyFriendDailyLimit	int	50
GuildSignGuaranteeMin	int	10
GuildSignGuaranteeMax	int	14
GuildSignGuaranteeId	int	1
GuildOfflineDays	int	90
SpecialTrainCubeTeamRankMax	int	5910003
BrilliantWalkInitEnergy	int	5
CharacterSuperLiberateLv	int	5
HigherLiberateLvMagicId	string	199954|199956|199955
AnniversaryScoreTitleCharacterLiberateLv	int	4
GuildBossTempBanTimeId	int	14903
PurchasePayLockGoodsTime	float	15
