Id	Name	PartId[1]	PartId[2]	PartId[3]	Attr[1]	Attr[2]	Attr[3]	SubItemId	SubItemCount	ItemId	IsClearItem	PosType[1]	PosType[2]	PosType[3]	ResPath	Width	Height	PlaceScale
1	Starry Hairclip	1	2	3	25	25	50	1000	50	1001	1	1	1	1	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift3.png	140	153	0.95
2	Snowball Bomb	1	2	3	25	25	50	1000	50	1002	1	1	1	1	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift14.png	156	114	0.95
3	Ice-cream Voucher	1	2	3	50	25	25	1000	50	1003	1	1	1	1	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift1.png	105	138	0.95
4	Golden Retriever	1	2	3	25	50	25	1000	50	1004	1	1	1	1	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift2.png	106	153	0.95
5	Red Packet	1	2	3	50	25	25	1000	50	1005	1	1	1	1	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift4.png	125	133	0.95
6	Christmas Froggie	4	5	6	25	25	50	1000	50	1006	1	1	1	1	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift6.png	197	183	0.95
7	Plush Sheep	4	5	6	25	25	50	1000	50	1007	1	1	1	1	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift8.png	181	213	0.95
8	Sudoku Hell	4	5	6	50	25	25	1000	50	1008	1	1	1	1	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift7.png	150	159	0.95
9	Legends of the Wild	4	5	6	25	50	25	1000	50	1009	1	1	1	1	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift15.png	161	169	0.95
10	Portable Sewing Kit	4	5	6	50	25	25	1000	50	1010	1	1	1	1	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift5.png	94	95	0.95
11	Hometown Snowman	7	8	9	25	25	50	1000	50	1011	1	5	5	5	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift12.png	165	251	0.95
12	Dragon Revelation	7	8	9	25	50	25	1000	50	1012	1	3	3	3	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift13.png	144	211	0.95
13	Art Collection	7	8	9	50	25	25	1000	50	1013	1	1	1	1	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift10.png	154	216	0.95
14	Old Guitar	7	8	9	25	50	25	1000	50	1014	1	4	4	4	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift11.png	367	372	0.95
15	Biting Shark	7	8	9	25	50	25	1000	50	1015	1	2	2	2	Assets/Product/Texture/Image/UiChristmasTrees/UiChristmasGift9.png	169	159	0.95
