GroupId	StageIds[1]	StageIds[2]	StageIds[3]	StageIds[4]	StageIds[5]	StageIds[6]	StageIds[7]
1021001	30100801						
1031001	30100802						
1051001	30100803						
1011002	30100804	30100922					
1071002	30100805						
1041002	30100806						
1081002	30100807						
1061002	30100808						
1021002	30100809	30100921					
1031002	30100810						
1061003	30100811						
1031003	30100812	30100923					
1011003	30100813						
1071003	30100814						
1051003	30100815						
1021003	30100816						
1091002	30100817						
1081003	30100818	30100932					
1041003	30100819						
1111002	30100820						
1121002	30100821						
1021004	30100822						
1511003	30100823						
1131002	30100824	30100968					
1141003	30100825	30100939					
1161002	30100826						
1521003	30100827						
1171003	30100883	30100832	30100884	30100885			
1531003	30100850						
1211002	30100851						
1121003	30100892	30100856	30100893	30100894			
1221002	30100857						
1131003	30100895	30100862	30100896	30100897			
1541003	30100867	30100898	30100899				
1031004	30100900	30100872	30100901	30100902			
1531004	30100877	30100903	30100904				
1551003	30100881	30100905	30100906				
1201003	30100886	30100833	30100889				
1181003	30100887	30100834	30100890				
1191003	30100888	30100835	30100891				
1051004	30100911	30100912	30100913	30100914			
1561003	30100918	30100919	30100920				
1071004	30100928	30100929	30100930	30100931			
1571003	30100936	30100937	30100938				
1041004	30100940	30100941	30100942	30100943			
1231002	30100948	30100949	30100950				
1011004	30100954	30100955	30100956	30100957			
1091003	30100962	30100963	30100964				
