StageId	SkipStageId[1]	SkipStageId[2]	SkipStageId[3]	SkipStageId[4]	SkipLoadingType[1]	SkipLoadingType[2]	SkipLoadingType[3]	SkipLoadingType[4]
10210114	10210115							
10210116	10210117							
10210118	10210119							
10210120	10210121							
10220105	10220106				40004			
10220106	10220206				40005			
10220109	10220209				40006			
10220205	10220113	10220114	10220115	10220117	40007	40010	40014	40016
10220113	10220213				40008			
10220213	10220313				40009			
10220114	10220214	10220314			40011	40012		
10220214	10220314	10220414			40012	40013		
10220314	10220214	10220414			40011	40013		
10220115	10220215				40015			
