Id	Name	Code	BackGround	Icon	DetailIcon	BuffId	Limit	BossHead	Desc[1]	Desc[2]	SubLevelBg
30190010	Siege Target	HXQ-091	Assets/Product/Texture/Image/UiGuild/UiGuildBossXZBoss02.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	101	<color=#1E90FF>Randomly deploy initial S-Rank Omniframes</color>		Triggers the skill after saving successfully for the first time.	Deals damage based on the difference if the Battle Points break the record.	Assets/Product/Texture/Image/UiGuild/UiGuildiBossBgTitleBoss.png
30190011	Siege Target	HXQ-091	Assets/Product/Texture/Image/UiGuild/UiGuildBossXZBoss02.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	102	<color=#1E90FF>Randomly deploy initial S-Rank Omniframes</color>		Triggers the skill after saving successfully for the first time.	Deals damage based on the difference if the Battle Points break the record.	Assets/Product/Texture/Image/UiGuild/UiGuildiBossBgTitleBoss.png
30190012	Siege Target	HXQ-091	Assets/Product/Texture/Image/UiGuild/UiGuildBossXZBoss02.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	103	<color=#1E90FF>Randomly deploy initial S-Rank Omniframes</color>		Triggers the skill after saving successfully for the first time.	Deals damage based on the difference if the Battle Points break the record.	Assets/Product/Texture/Image/UiGuild/UiGuildiBossBgTitleBoss.png
30190013	Siege Target	HXQ-091	Assets/Product/Texture/Image/UiGuild/UiGuildBossXZBoss02.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	104	<color=#1E90FF>Randomly deploy initial S-Rank Omniframes</color>		Triggers the skill after saving successfully for the first time.	Deals damage based on the difference if the Battle Points break the record.	Assets/Product/Texture/Image/UiGuild/UiGuildiBossBgTitleBoss.png
30190014	Siege Target	HXQ-091	Assets/Product/Texture/Image/UiGuild/UiGuildBossXZBoss02.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	105	<color=#1E90FF>Randomly deploy initial S-Rank Omniframes</color>		Triggers the skill after saving successfully for the first time.	Deals damage based on the difference if the Battle Points break the record.	Assets/Product/Texture/Image/UiGuild/UiGuildiBossBgTitleBoss.png
30190015	Siege Target	HXQ-091	Assets/Product/Texture/Image/UiGuild/UiGuildBossXZBoss02.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	106	<color=#1E90FF>Randomly deploy initial S-Rank Omniframes</color>		Triggers the skill after saving successfully for the first time.	Deals damage based on the difference if the Battle Points break the record.	Assets/Product/Texture/Image/UiGuild/UiGuildiBossBgTitleBoss.png
30190020	Siege Target	HXQ-036	Assets/Product/Texture/Image/UiGuild/UiGuildBossXZBoss02.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	101	<color=#1E90FF>Randomly deploy initial S-Rank Omniframes</color>		Triggers the skill after saving successfully for the first time.	Deals damage based on the difference if the Battle Points break the record.	Assets/Product/Texture/Image/UiGuild/UiGuildiBossBgTitleBoss.png
30190021	Siege Target	HXQ-036	Assets/Product/Texture/Image/UiGuild/UiGuildBossXZBoss02.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	102	<color=#1E90FF>Randomly deploy initial S-Rank Omniframes</color>		Triggers the skill after saving successfully for the first time.	Deals damage based on the difference if the Battle Points break the record.	Assets/Product/Texture/Image/UiGuild/UiGuildiBossBgTitleBoss.png
30190022	Siege Target	HXQ-036	Assets/Product/Texture/Image/UiGuild/UiGuildBossXZBoss02.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	103	<color=#1E90FF>Randomly deploy initial S-Rank Omniframes</color>		Triggers the skill after saving successfully for the first time.	Deals damage based on the difference if the Battle Points break the record.	Assets/Product/Texture/Image/UiGuild/UiGuildiBossBgTitleBoss.png
30190023	Siege Target	HXQ-036	Assets/Product/Texture/Image/UiGuild/UiGuildBossXZBoss02.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	Assets/Product/Texture/Atlas/UiGuild/UiGuildBossGQicon03.png	104	<color=#1E90FF>Randomly deploy initial S-Rank Omniframes</color>		Triggers the skill after saving successfully for the first time.	Deals damage based on the difference if the Battle Points break the record.	Assets/Product/Texture/Image/UiGuild/UiGuildiBossBgTitleBoss.png
