Id	Type	Title	Desc	ImageUrl	Weight	
1	0	Eden-Grade Babylonia	Filled with the unprecedented aspirations of humanity, Babylonia was supposed to be the first-ever superluminal starship for interstellar colonization.\nIts massive construction alone has ushered in a new era of human history, the Golden Age, where human beings stayed united and evolved.\nAfter the virus outbreak, the construction of Babylonia was forcibly terminated. Babylonia became the shelter for many survivors who had escaped to space.\nNow, Babylonia is anchored in the arc orbital dock and, as the starting point for taking back Earth, it maintains close ties with ground forces.	Assets/Product/Texture/Image/BgUi/BgFightLoading.jpg	30	
2	902	Mood	You can improve the Mood of members by increasing the Comfort of the Dormitory and interacting with them.\nMembers will send you gifts when they are happy.	Assets/Product/Texture/Image/BgUi/BgFightLoading5.jpg	30	
3	902	Comfort	Put Dormitory Members under their preferred Comfort\nto increase the speed at which their Stamina/Mood recovers	Assets/Product/Texture/Image/BgUi/BgFightLoading5.jpg	30	
4	902	Mood Event	Mood Events will occur randomly and reduce the Mood of Dormitory Members greatly\nSolve the events in the correct way to recover a great amount of Mood	Assets/Product/Texture/Image/BgUi/BgFightLoading5.jpg	30	
5	902	Pat	Tap Pat to go to the screen\nYou can recover a small amount of Mood by Patting Dormitory Members	Assets/Product/Texture/Image/BgUi/BgFightLoading5.jpg	30	
6	10101	Eden-Grade Babylonia	Filled with the unprecedented aspirations of humanity, Babylonia was supposed to be the first-ever superluminal starship for interstellar colonization.\nIts massive construction alone has ushered in a new era of human history, the Golden Age, where human beings stayed united and evolved.\nAfter the virus outbreak, the construction of Babylonia was forcibly terminated. Babylonia became the shelter for many survivors who had escaped to space.\nNow, Babylonia is anchored in the arc orbital dock and, as the starting point for taking back Earth, it maintains close ties with ground forces.	Assets/Product/Texture/Image/BgUi/BgFightLoading.jpg	30	
7	10101	Corrupted	The types of the Corrupted include, but are not limited to electronic devices, facilities, mechanoids, and Constructs.\nBased on their physical characteristics, the Corrupted will have different propensities, namely modification, proliferation, and destruction.\nHowever, their ultimate purpose remains the same—annihilate everything that has human consciousness.\nThe higher the Punishing Virus concentration in their bodies, the more savage and destructive they are.	Assets/Product/Texture/Image/BgUi/BgFightLoading2.jpg	30	
8	10101	Punishing Virus	The Punishing Virus first appeared in the Vacuum Chamber of the first Zero-Point Reactor at extremely high density.\nIts Mass Deployment process resulted in explosions and leakage. Eventually, it spread all over the globe through atmospheric circulation.\nThe Punishing Virus is able to damage the cellular structure of organisms and infest mechanoids by manipulating their logic circuits.\nIt shows a strong tendency to attack any individual that exhibits human consciousness and behaviors.	Assets/Product/Texture/Image/BgUi/BgFightLoading4.jpg	30	
9	10101	Gray Raven	Gray Raven is a legendary squad that belongs to the Task Force.\nTheir captain Lucia is a seasoned veteran.\nAll the members she has recruited into Gray Raven are the cream of the crop in their own professional fields.\nOn the other hand, there never ceases to be rumors and guesses in regard to how the Gray Raven squad was founded in the first place.	Assets/Product/Texture/Image/BgUi/BgFightLoading6.jpg	30	
10	10101	Arctic Route Union	The advent of nuclear technology enabled construction of high-speed icebreakers. Finally, humans were able to conquer the Arctic ocean.\nAs a result, Arctic sea trade routes became the busiest on the planet.\nThe "Arctic Route Union" formed by major ports on the Arctic sea grew to become one of the four major economic blocs of the Golden Age.\nOwing to the peculiarities of environment, local Punishing Virus concentrations remain in the low to moderate range.	Assets/Product/Texture/Image/BgUi/BgFightLoading8.jpg	30	
