StageId	DifficuIocn	Name	BgIconSmall	BgIconBig	MarkId
30080101	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	1
30080102	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	2
30080103	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	3
30080104	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	3
30080105	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	3
30080106	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	3
30080107	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	3
30080108	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	1
30080109	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	2
30080110	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	1
30080111	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	2
30080112	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	1
30080113	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	2
30080114	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	1
30080115	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab001.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab001.png	2
30080201	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	1
30080202	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	2
30080203	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	3
30080204	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	3
30080205	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	3
