Id	Name	BuffBg	Desc	Icon
4007	Frost Lag Calculation	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon03.png	Upon entering the Matrix, 3-Pings will give your character 60% Extra DMG for 8s. Additional triggers will refresh the duration.	Assets/Product/Texture/Image/IconAffix/IconAffixBingshuangUp.png
4008	Scorching Flame	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon04.png	Each time you heal a target, your character gains 40% Fire DMG. Additional triggers will refresh the duration.	Assets/Product/Texture/Image/IconAffix/IconAffixHuoyanUp.png
4009	Azure Star	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon02.png	After a blue orb ping, your character's Basic Attack gains 80% DMG for 6s. Additional triggers will refresh the duration.	Assets/Product/Texture/Image/IconAffix/IconAffixLeiDianUp.png
4010	Uniframe	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon01.png	"Dodging increases your character's DMG by 30% and reflecting increases Ice DMG by 30%. Additional triggers refresh the duration."	Assets/Product/Texture/Image/IconAffix/IconAffixDuyuUp.png
4011	Surging Shadow	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon01.png	3-Pings will give your character 15% Dark DMG for 8s (max 4 stacks). Additional triggers will refresh the duration.	Assets/Product/Texture/Image/IconAffix/IconAffixAnnengUp.png
4012	Folding Blade	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon05.png	Each ping increases your character gains 10% CRIT Rate and 20% CRIT DMG for 3s (max 10 stacks). Additional triggers will refresh the duration.	Assets/Product/Texture/Image/IconAffix/IconAffixWuliUp.png
4016	Cold Frost	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon06.png	Upon entering the field, the character gains 60% Basic Attack Ice DMG Bonus and 20% 3-Ping Ice DMG Bonus for 8s.	Assets/Product/Texture/Image/IconAffix/IconAffixBingshuangUp.png
4017	Blazing Furnace	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon08.png	Every time upon dealing damage via Basic Attack, gaining 5% Signature Move Extra DMG Bonus for 3s. Can be stacked up to 15 times. The duration will refresh whenever it is triggered.	Assets/Product/Texture/Image/IconAffix/IconAffixHuoyanUp.png
4018	Thunderous Lightning	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon07.png	Upon entering the field, the character gains 50% Lightning DMG Bonus for 3s and 30% Lightning DMG Bonus for 5s after casting the Signature Move.	Assets/Product/Texture/Image/IconAffix/IconAffixLeiDianUp.png
4019	Extreme Strike	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon09.png	Physical DMG by the Signature Move is guaranteed to be critical. Meanwhile, CRIT DMG Bonus increases by 200%.	Assets/Product/Texture/Image/IconAffix/IconAffixWuliUp.png
4020	Shadowy Reflection	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon10.png	3-Pings will cause basic attacks to deal bonus Dark damage equal to 40% of the character's ATK for 6s.	Assets/Product/Texture/Image/IconAffix/IconAffixAnnengUp.png
4021	Fusion Overloard	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon12.png	"3-Pings will give your character 45% Fire DMG for 5s (max 3 stacks). Additional triggers will refresh the duration."	Assets/Product/Texture/Image/IconAffix/IconAffixHuoyanUp.png
4022	Quick Trick	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon11.png	3-Pings will give your character 40% Physical DMG for 4s and grant 1 Red Orb.	Assets/Product/Texture/Image/IconAffix/IconAffixWuliUp.png
4023	Dark Regeneration	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon13.png	After healing, Dark DMG of Signature Moves is increased by 30% for both the healer and the healed unit.	Assets/Product/Texture/Image/IconAffix/IconAffixAnnengUp.png
4024	Blazing Radiance	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon14.png	Basic Attack DMG increases by 15% for 8s upon a 3-Ping, stacking up to 4 times.	Assets/Product/Texture/Image/IconAffix/IconAffixAnnengUp.png
4025	Scarred Notion	Assets/Product/Texture/Image/UiArena/UiArenaBuffIcon15.png	CRIT Rate and CRIT DMG increase by 30% and 100% for 10s after triggering Matrix.	Assets/Product/Texture/Image/IconAffix/IconAffixWuliUp.png
