Id	Name	Description	Icon	Level
70001	Signal Support	Gains a random Signal Orb in every 6s.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon015.png	1
70002	Attack Boost	Increases the ATK of Attacker Omniframes by 20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	1
70003	Fortified Armor	Increases the ATK of Tank Omniframes by 20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	1
70004	Chain Optimization	QTE cooldown decreases by 1s.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon025.png	1
70005	Leadership Chain	After summoning a QTE, unleashes a shockwave within 6m that deals 300% Physical DMG.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	1
70006	Physical Boost	Physical DMG increases by 20%.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon005.png	1
70007	Reactive Armor	Constructs' Extra DMG Reduction increases by 15%.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	1
70008	Tactical Switch	Every time characters are switched, they get 2 additional Signal Orbs.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	1
70009	Life Recovery	Increases the Healing of Support Omniframes by 25%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon009.png	1
70010	Mobility Up	Limit of Dodge Gauge increases by 400.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon020.png	1
70011	Damage Reflection	Strikes back at the attacker for 300% of ATK every time after taking more than 300 DMG.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	1
70012	Support Boost	Increases the ATK of Support Omniframes by 40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	1
70013	Elemental Boost	Elemental DMG increases by 20%.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	1
70014	Attack Boost	Increases the ATK of Attacker Omniframes by 20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	1
70015	Mechanical Learning	Every successful dodge will reduce the attacker's DEF by 10%. Can be stacked up to 3 times.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon021.png	1
70016	Strike Support	Increases the DMG of Support Omniframes by 50%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon010.png	1
70017	Damage Reflection	Strikes back at the attacker for 300% of ATK every time after taking more than 300 DMG.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	1
70018	Attack Boost	Increases the ATK of Attacker Omniframes by 20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	1
70019	Elemental Boost	Elemental DMG increases by 20%.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	1
70020	Physical Boost	Physical DMG increases by 20%.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon005.png	1
