Id	Name	Icon	BossIcon	TrialIcon	BossBuffName	BossBuffText	MainPrefabName	ItemPrefabName	SectionIcon[1]	SectionIcon[2]	SectionIcon[3]	SectionIcon[4]
1			Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgBaodong.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgShilian.png	Hesitate	Constructs' Movement Speed will be decreased by 10% for 10s every time they take DMG. Can be stacked up to 5 times.	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanqia.prefab	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanQiaItem.prefab	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBg01.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgRole05.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgName05.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgSz01.png
2			Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgBaodong.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgShilian.png	Hesitate	Constructs' Movement Speed will be decreased by 10% for 10s every time they take DMG. Can be stacked up to 5 times.	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanqia.prefab	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanQiaItem.prefab	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBg01.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgRole06.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgName06.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgSz02.png
3			Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgKamu.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgShilian.png	Deterrence	Enemies take 50% less DMG from attacks from 10m away.	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanqia.prefab	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanQiaItem.prefab	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBg01.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgRole09.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgName09.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgSz03.png
4			Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgKamu.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgShilian.png	Deterrence	Enemies take 50% less DMG from attacks from 10m away.	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanqia.prefab	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanQiaItem.prefab	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBg01.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgRole10.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgName10.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgSz04.png
5			Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgLuosaita.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgShilian.png	Heavy Shield	When an enemy has Super Armor, it takes 80% less DMG.	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanqia.prefab	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanQiaItem.prefab	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBg01.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgRole03.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgName03.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgSz05.png
6			Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgLuosaita.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgShilian.png	Heavy Shield	When an enemy has Super Armor, it takes 80% less DMG.	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanqia.prefab	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanQiaItem.prefab	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBg01.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgRole04.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgName04.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgSz06.png
7			Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgHuaxu.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgShilian.png	Forbidden Zone	Enemies take 20% more DMG from attacks within 5m.	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanqia.prefab	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanQiaItem.prefab	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBg01.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgRole07.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgName07.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgSz07.png
8			Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgHuaxu.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgShilian.png	Forbidden Zone	Enemies take 20% more DMG from attacks within 5m.	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanqia.prefab	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanQiaItem.prefab	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBg01.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgRole08.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgName08.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgSz08.png
9			Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgJiabailie.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgShilian.png	Healing Prohibition	Reduces the Healing of Support Omniframes by 50%	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanqia.prefab	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanQiaItem.prefab	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBg01.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgRole01.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgName01.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgSz09.png
10			Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgJiabailie.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillImgShilian.png	Healing Prohibition	Reduces the Healing of Support Omniframes by 50%	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanqia.prefab	Assets/Product/Ui/ComponentPrefab/FubenUnionKill/UnionKillGuanQiaItem.prefab	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBg01.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgRole02.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgName02.png	Assets/Product/Texture/Image/UiUnionKillStage/UiUnionKillBgSz10.png
