Id	Title	TeachIcon	HeadLine[1]	Description[1]	HeadLine[2]	Description[2]	HeadLine[3]	Description[3]	HeadLine[4]	Description[4]	HeadLine[5]	Description[5]	HeadLine[6]	Description[6]
1021001	Lotus - Dual Blades	Assets/Product/Texture/Image/IconGuide/GuideR1Luxiya.png	Lotus - Dual Blades: <color=#0d70bc>Any 3-Ping + Red Orb Ping</color>	Lucia: Lotus enters Burst Form when a Red Orb is pinged within 4s after any 3-Ping, replacing Basic Attacks with <color=#FF6347>Dual Blades</color>. Lotus - Dual Blades: Attacks the enemy multiple times, dealing Physical DMG.										
1071002	Artillery Tactics	Assets/Product/Texture/Image/IconGuide/GuideR2Kalienina.png	Artillery Tactics: <color=#0d70bc>Three 3-Pings + Tap Basic Attack</color>	After <color=#FF6347>3</color> 3-Pings or a Signature Move, Karenina: Blast will enter the <color=#FF6347>Burst Form</color> and her next Basic Attack will become a ranged artillery attack.										
1041003	Critical Moment	Assets/Product/Texture/Image/IconGuide/GuideR3Bianka.png	Critical Moment: <color=#0d70bc>Yellow Orb 3-Ping + Blue Orb Ping</color>	Enters the <color=#FF6347>Sniping Form</color> upon performing a Blue Orb ping after a Red Orb 3-Ping.	Lightning Arrow: <color=#0d70bc>Sniping Form + Tap Basic Attack</color>	Basic Attacks launched in the <color=#FF6347>Sniping Form</color> will fire a long-range Lightning Arrow that deals Lightning DMG to the target. Exits the Sniping Form <color=#FF6347>6s</color> later or after <color=#FF6347>6</color> arrows are fired. Basic Attacks launched in the <color=#FF6347>Sniping Form</color> will not restore Signal Orbs.	Critical Moment: <color=#0d70bc>Sniping Form + Tap Dodge</color>	Dodging in the <color=#FF6347>Sniping Form</color> will reduce the charge time of the next Basic Attack.						
1011002	Controlling Bullet	Assets/Product/Texture/Image/IconGuide/GuideR2Li.png	Controlling Bullet: <color=#0d70bc>Yellow Orb Ping + Red Orb Ping</color>	After pinging a Yellow Orb, the next Red Orb bullet will inflict <color=#FF6347>Blast</color>. Bullet explodes after hitting the target, dealing Fire DMG to enemies in the area.										
1031001	Laser Cluster	Assets/Product/Texture/Image/IconGuide/GuideR1Lifu.png	Laser Cluster: <color=#0d70bc>Any 3-Ping + Red Orb Ping</color>	After any 3-Ping, the next Red Orb skill will unleash Laser Cluster that deals Physical DMG.										
1041002	Quiver Of Mercy	Assets/Product/Texture/Image/IconGuide/GuideR2Bianka.png	Quiver Of Mercy: <color=#0d70bc>Any 3-Ping + Tap Signature</color>	Stores 1 energy arrow in the quiver after every 3-Ping. All arrows will be released when casting the next Signature Move, dealing Extra Physical DMG to the target.										
1051001	EX - Slash Storm	Assets/Product/Texture/Image/IconGuide/GuideR2Yongyechao.png	EX - Slash Storm: <color=#0d70bc>Any 3-Ping + Yellow Orb Ping</color>	When pinging a Yellow Orb after any 3-Ping, Nanami: Storm will cast EX - Slash Storm to launch consecutive attacks at nearby enemies, dealing Physical DMG.										
1061002	Offence-Defense Rhythm	Assets/Product/Texture/Image/IconGuide/GuideR2Shenwei.png	Offence-Defense Rhythm: <color=#0d70bc>Any 3-Ping</color>	Gains Charge points after any 3-Ping. When there are Charge points, Kamui: Bastion's ATK increases. Charge points decrease over time.										
1081002	Fleeting Phantom	Assets/Product/Texture/Image/IconGuide/GuideR2Dubian.png	Fleeting Phantom: <color=#0d70bc>Two 3-Ping + Tap Basic Attack</color>	The final strike of each 3-Ping marks the target. Releases a shade when the mark reaches <color=#FF6347>2</color> stacks. The shade attacks once with every Basic Attack.										
1031002	Reversed Egretfield	Assets/Product/Texture/Image/IconGuide/GuideR2Lifu.png	Reversed Egretfield: <color=#0d70bc>Ping Reb Orb (chance to trigger)/Ping Yellow Orb + Tap Basic Attack (chance to trigger)</color>	Enemies marked by Basic Attacks have a chance to summon <color=#FF6347>Lightning Lure</color> and deal Lightning DMG. Red Orb pings have a chance to trigger <color=#FF6347>Lightning Lure</color>. After <color=#FF6347>Lightning Lure</color> is triggered <color=#FF6347>4</color> times, the next <color=#FF6347>Lightning Lure</color> will summon <color=#FF6347>Ex - Lightning Lure</color>, dealing Lightning DMG and healing allies within range.										
