Id	Life	Attack	AttackIntensity	Defense	DefensePierceP	CritP	CritResistanceP	CritDmgRateP	CritDmgRateReductionP	ShieldEfficiencyP	ShieldAmpP	ShieldReductionP	ShieldGainBonusP	ShieldGainReductionP	PhysicalAmpP	Element1AmpP	Element2AmpP	Element3AmpP	Element4AmpP	PhysicalReductionP	Element1ReductionP	Element2ReductionP	Element3ReductionP	Element4ReductionP	PhysicalPierceP	Element1PierceP	Element2PierceP	Element3PierceP	Element4PierceP	SignalSkillDmgAmpP	SpecialSkillDmgAmpP	NormalAtkDmgAmpP	ExSkillDmgAmpP	HuntSkillDmgAmpP	SignalSkillDmgReductionP	SpecialSkillDmgReductionP	NormalAtkDmgReductionP	ExSkillDmgReductionP	HuntSkillDmgReductionP	ThreatRate	CharacterValue	ExSkillPoint	IdleSpinningSpeed	RunSpinningSpeed	DodgeEnergy	JumpEnergy	DodgeEnergyRegen	JumpEnergyRegen	CustomEnergyGroup1	CustomEnergyGroup2	CustomEnergyGroup3	CustomEnergyGroup4
410101		12.25		14.75																																																
410102		14.78		17.79																																																
410201	27.5	2.5																																																		
410202	33.23	2.9																																																		
510101		14.5		17.5																																																
510102		14.82		17.89																																																
510103		15.33		18.5																																																
510201	32.8	2.9																																																		
510202	33.53	2.96																																																		
510203	34.67	3.07																																																		
