Id	NpcType	Life	DeathEffectPath	IsBoss	MoveSpeed	LookAtPlayer	RotateSpeed	ShootInterval	BulletAngel	BulletId[0]	BulletId[1]	BulletId[2]	BulletId[3]	BulletId[4]	BulletId[5]	BulletId[6]	BulletId[7]
1001	1	2	FxNierHkNpcDeath02			1		1		1002							
1002	2	4	FxNierHkNpcDeath02			1		1		1002							
1003	3	5	FxNierHkNpcDeath01				0.8	1		1002							
1004	4	5	FxNierHkNpcDeath01				0.8	1	60	1002	1002	1002					
1005	5	10	FxNierHkNpcDeath03	1			1	0.2	45	1001	1002	1001	1002	1001	1002	1001	1002
1006	3	5	FxNierHkNpcDeath01			1	1	1	120	1005							
1007	1	2	FxNierHkNpcDeath02		0.005	1		1		1002							
1008	3	4	FxNierHkNpcDeath01														
1009	5	6	FxNierHkNpcDeath03	1			1	0.4	120	1001	1002	1002					
1010	2	4	FxNierHkNpcDeath02			1		0.4		1002							
1011	1	2	FxNierHkNpcDeath02			1		0.6		1001							
1012	1	2	FxNierHkNpcDeath02		0.005	1		0.8		1002							
1013	4	4	FxNierHkNpcDeath01				0.8	2		1006							
1014	3	5	FxNierHkNpcDeath01					0.6		1007							
