Id	SkillId	Level	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	SubSkillId[1]	SubSkillId[2]	SubSkillId[3]	SubSkillId[4]	SubSkillId[5]	SubSkillId[6]	SubSkillId[7]	SubSkillId[8]	SubSkillId[9]	SubSkillId[10]	SubSkillId[11]	SubSkillId[12]	SubSkillId[13]	SubSkillId[14]	SubMagicId[1]	SubMagicId[2]	SubMagicId[3]	SubMagicId[4]	SubMagicId[5]	SubMagicId[6]	SubMagicId[7]	SubMagicId[8]	SubMagicId[9]	SubMagicId[10]	SubMagicId[11]	SubMagicId[12]	SubMagicId[13]	SubMagicId[14]	Ability	ResonanceAbility	PlusAbility
1	102228	1	109224																																0	0	0
2	102228	2	109224																																0	0	0
3	102228	3	109224																																0	0	0
4	102228	4	109224																																0	0	0
5	102228	5	109224																																0	0	0
6	102228	6	109224																																0	0	0
7	102228	7	109224																																0	0	0
8	102228	8	109224																																0	0	0
9	102228	9	109224	109226																															0	0	0
10	102228	10	109224	109226																															0	0	0
11	102228	11	109224	109226																															0	0	0
12	102228	12	109224	109226																															0	0	0
13	102228	13	109224	109226																															0	0	0
14	102228	14	109224	109226																															0	0	0
15	102228	15	109224	109226																															0	0	0
16	102228	16	109224	109226																															0	0	0
17	102228	17	109224	109226																															0	0	0
18	102228	18	109224	109226	109214																														0	0	0
19	102228	19	109224	109226	109214																														0	0	0
20	102228	20	109224	109226	109214																														0	0	0
21	102228	21	109224	109226	109214																														0	0	0
22	102228	22	109224	109226	109214																														0	0	0
23	102228	23	109224	109226	109214																														0	0	0
24	102228	24	109224	109226	109214																														0	0	0
25	102228	25	109224	109226	109214																														0	0	0
26	102228	26	109224	109226	109214																														0	0	0
27	102228	27	109224	109226	109214																														0	0	0
28	102228	28	109224	109226	109214																														0	0	0
29	102228	29	109224	109226	109214																														0	0	0
30	102228	30	109224	109226	109214																														0	0	0
31	102228	31	109224	109226	109214																														0	0	0
32	102228	32	109224	109226	109214																														0	0	0
33	102228	33	109224	109226	109214																														0	0	0
34	102228	34	109224	109226	109214																														0	0	0
35	102228	35	109224	109226	109214																														0	0	0
36	102229	1	109227																																0	0	0
37	102229	2	109227																																0	0	0
38	102229	3	109227																																0	0	0
39	102229	4	109227																																0	0	0
40	102229	5	109227																																0	0	0
41	102229	6	109227																																0	0	0
42	102229	7	109227																																0	0	0
43	102229	8	109227																																0	0	0
44	102229	9	109227	109229																															0	0	0
45	102229	10	109227	109229																															0	0	0
46	102229	11	109227	109229																															0	0	0
47	102229	12	109227	109229																															0	0	0
48	102229	13	109227	109229																															0	0	0
49	102229	14	109227	109229																															0	0	0
50	102229	15	109227	109229																															0	0	0
51	102229	16	109227	109229																															0	0	0
52	102229	17	109227	109229																															0	0	0
53	102229	18	109227	109229	109203	109237																													0	0	0
54	102229	19	109227	109229	109203	109237																													0	0	0
55	102229	20	109227	109229	109203	109237																													0	0	0
56	102229	21	109227	109229	109203	109237																													0	0	0
57	102229	22	109227	109229	109203	109237																													0	0	0
58	102229	23	109227	109229	109203	109237																													0	0	0
59	102229	24	109227	109229	109203	109237																													0	0	0
60	102229	25	109227	109229	109203	109237																													0	0	0
61	102229	26	109227	109229	109203	109237																													0	0	0
62	102229	27	109227	109229	109203	109237																													0	0	0
63	102229	28	109227	109229	109203	109237																													0	0	0
64	102229	29	109227	109229	109203	109237																													0	0	0
65	102229	30	109227	109229	109203	109237																													0	0	0
66	102229	31	109227	109229	109203	109237																													0	0	0
67	102229	32	109227	109229	109203	109237																													0	0	0
68	102229	33	109227	109229	109203	109237																													0	0	0
69	102229	34	109227	109229	109203	109237																													0	0	0
70	102229	35	109227	109229	109203	109237																													0	0	0
106	102230	1	109230																																0	0	0
107	102230	2	109230																																0	0	0
108	102230	3	109230																																0	0	0
109	102230	4	109230																																0	0	0
110	102230	5	109230																																0	0	0
111	102230	6	109230																																0	0	0
112	102230	7	109230																																0	0	0
113	102230	8	109230																																0	0	0
114	102230	9	109230	109233																															0	0	0
115	102230	10	109230	109233																															0	0	0
116	102230	11	109230	109233																															0	0	0
117	102230	12	109230	109233																															0	0	0
118	102230	13	109230	109233																															0	0	0
119	102230	14	109230	109233																															0	0	0
120	102230	15	109230	109233																															0	0	0
121	102230	16	109230	109233																															0	0	0
122	102230	17	109230	109233																															0	0	0
123	102230	18	109230	109233	109217																														0	0	0
124	102230	19	109230	109233	109217																														0	0	0
125	102230	20	109230	109233	109217																														0	0	0
126	102230	21	109230	109233	109217																														0	0	0
127	102230	22	109230	109233	109217																														0	0	0
128	102230	23	109230	109233	109217																														0	0	0
129	102230	24	109230	109233	109217																														0	0	0
130	102230	25	109230	109233	109217																														0	0	0
131	102230	26	109230	109233	109217																														0	0	0
132	102230	27	109230	109233	109217																														0	0	0
133	102230	28	109230	109233	109217																														0	0	0
134	102230	29	109230	109233	109217																														0	0	0
135	102230	30	109230	109233	109217																														0	0	0
136	102230	31	109230	109233	109217																														0	0	0
137	102230	32	109230	109233	109217																														0	0	0
138	102230	33	109230	109233	109217																														0	0	0
139	102230	34	109230	109233	109217																														0	0	0
140	102230	35	109230	109233	109217																														0	0	0
141	155328	1	200845				130435	130436													138404	138413													0	0	0
142	155328	2	200845				130435	130436													138404	138413													0	0	0
143	155328	3	200845				130435	130436													138404	138413													0	0	0
144	155328	4	200845				130435	130436													138404	138413													0	0	0
145	155328	5	200845				130435	130436													138404	138413													0	0	0
146	155328	6	200845				130435	130436													138404	138413													0	0	0
147	155328	7	200845				130435	130436													138404	138413													0	0	0
148	155328	8	200845				130435	130436													138404	138413													0	0	0
149	155328	9	200845	200879			130435	130436													138404	138413													0	0	0
