Id	Type
101228	14
101229	14
101230	14
102228	14
102229	14
102230	14
103228	14
103229	14
103230	14
108328	14
108329	14
108330	14
114328	14
114329	14
114330	14
113328	14
113329	14
113330	14
151328	15
151329	15
151330	15
151331	15
151332	15
155328	15
155329	15
155330	15
155331	15
155332	15
154328	15
154329	15
154330	15
154331	15
154332	15
156328	15
156329	15
156330	15
156331	15
156332	15
157328	15
157329	15
157330	15
157331	15
157332	15
152328	15
152329	15
152330	15
152331	15
152332	15
153328	15
153329	15
153330	15
153331	15
153332	15
