CharacterId	SkillGroupId[1]	Pos[1]	SkillGroupId[2]	Pos[2]	SkillGroupId[3]	Pos[3]	SkillGroupId[4]	Pos[4]	SkillGroupId[5]	Pos[5]	SkillGroupId[6]	Pos[6]	SkillGroupId[7]	Pos[7]	SkillGroupId[8]	Pos[8]	SkillGroupId[9]	Pos[9]	SkillGroupId[10]	Pos[10]	SkillGroupId[11]	Pos[11]	SkillGroupId[12]	Pos[12]	SkillGroupId[13]	Pos[13]	SkillGroupId[14]	Pos[14]	SkillGroupId[15]	Pos[15]	SkillGroupId[16]	Pos[16]
1011002	1012280	1	1012290	2	1012300	3																										
1021001																																
1031001																																
1041002																																
1051001																																
1061002																																
1071002																																
1081002																																
1021002	1022280	1	1022290	2	1022300	3																										
1031002																																
1011003																																
1031003	1032280	1	1032290	2	1032300	3																										
1061003																																
1071003																																
1051003																																
1021003																																
1081003	1083280	1	1083290	2	1083300	3																										
1091002																																
1041003																																
1111002																																
1121002																																
1021004																																
1131002	1133280	1	1133290	2	1133300	3																										
1511003	1513280	1	1513290	2	1513300	3	1513320	4	1513310	5																						
1141003	1143280	1	1143290	2	1143300	3																										
1521003	1523280	1	1523290	2	1523300	3	1523320	4	1523310	5																						
1161002																																
1171003																																
1181003																																
1191003																																
1201003																																
1211002																																
1531003	1533280	1	1533290	2	1533300	3	1533320	4	1533310	5																						
1121003																																
1221002																																
1131003																																
1541003	1543280	1	1543290	2	1543300	3	1543320	4	1543310	5																						
1031004																																
1531004																																
1551003	1553280	1	1553290	2	1553300	3	1553320	4	1553310	5																						
1051004																																
1561003	1563280	1	1563290	2	1563300	3	1563320	4	1563310	5																						
1071004																																
1571003	1573280	1	1573290	2	1573300	3	1573320	4	1573310	5																						
1041004																																
1231002																																
1011004																																
1091003																																
1021005																																
1241002																																
