CharacterId	MainSkillIcon[1]	MainSkillIcon[2]	MainSkillIcon[3]	MainSkillIcon[4]	MainSkillIcon[5]	MainSkillName[1]	MainSkillName[2]	MainSkillName[3]	MainSkillName[4]	MainSkillName[5]	MainSkillType[1]	MainSkillType[2]	MainSkillType[3]	MainSkillType[4]	MainSkillType[5]
1011002						Enhances the effects of [Palefire - Infernal Shot & Magnetic Shot]	Enhances the effects of [Palefire - Controlling Bullet]	Enhances the effects of [Signature - 360° Shooting]							
1021002						Enhances the effects of [Lotus - Flurry]	Enhances the effects of [Lotus - Lightning Dance]	Signature - Lotus Blade status grants Extra DMG Bonus and Signature Energy Restoration.							
1031003						Enhances the effects of [Luminance - Heroic Dance]	Enhances the effects of [Luminance - Goddess Connection System]	Enhances the effects of [Signature - Arcadia Gate]							
1081003						Enhances the effect of [Astral - Meteor Strike]	Enhances the effect of [Astral - Cosmic Wave]	Enhances the effect of [Signature - Supernova Burst]							
1141003						Enhances the effects of [Rigor - Common Mechanic]	Enhances the effects of [Rigor - Core]	Enhances the effects of [Rigor - Signature]							
1131002						Enhances the effects of [Blue Orb - Infernal Scorchmark]	Enhances the effect of [Signature - Dark Field]	Enhances the effects of [Core - Mass Illusion]							
1511003															
1551003															
1541003															
1561003															
1571003															
1521003															
1531003															
