Id	Name	Desc	ConsumeId	ConsumeCount	RewardId	MailId	MailCount	DailyRewardId	DailyRewardCount	PrePurchaseId	ConditionId[1]	ConditionId[2]	TimeToEffectStr	TimeToInvalidStr	ShelvesType	ShelvesDays	BuyLimitTimes	BuyLimitType	BuyLimitParam	Icon	FashionLabel	IsSellOutShow	Tag	UiType	Priority	LogType	NormalDiscountStr	DiscountShowStr	DiscountItemId[1]	DiscountItemCount[1]	DiscountValue[1]	DiscountBeginTimeStr[1]	DiscountEndTimeStr[1]	DiscountItemId[2]	DiscountItemCount[2]	DiscountValue[2]	DiscountBeginTimeStr[2]	DiscountEndTimeStr[2]	SignInId	ConvertSwitch	CanMultiply	PayKeySuffix
1	Lv25補給パック（黒パス）	Lv25補給パック（黒パス）	3	30	90001						8000		2008/12/1 5:00	2009/12/1 5:00			1	0		UiB25				6	11000	4																
2	Lv25補給パック（JPY）	Lv25補給パック（JPY）	5	6	90002						8000		2008/12/1 5:00	2009/12/1 5:00			1	0		UiG25				6	11100	3																
3	Lv35補給パック（黒パス）	Lv35補給パック（黒パス）	3	80	90003					1	8001		2008/12/1 5:00	2009/12/1 5:00			1	0		UiB35				6	11200	4																
4	Lv35補給パック（JPY）	Lv35補給パック（JPY）	5	18	90004					2	8001		2008/12/1 5:00	2009/12/1 5:00			1	0		UiG35				6	11300	3																
5	Lv45補給パック（黒パス）	Lv55補給パック（黒パス）	3	150	90005					3	8002		2008/12/1 5:00	2009/12/1 5:00			1	0		UiB55				6	11400	4																
6	Lv45補給パック（JPY）	Lv55補給パック（JPY）	5	25	90006					4	8002		2008/12/1 5:00	2009/12/1 5:00			1	0		UiG55				6	11500	3																
7	Lv55補給パック（黒パス）	Lv55補給パック（黒パス）	3	250	90007					5	8003		2008/12/1 5:00	2009/12/1 5:00			1	0		UiB70				6	11600	4																
8	Lv55補給パック（JPY）	Lv55補給パック（JPY）	5	45	90008					6	8003		2008/12/1 5:00	2009/12/1 5:00			1	0		UiG70				6	11700	3																
9	構造体10連開発券（10日間）	1日1枚支給×10日間	5	1	90009	90005	10						2008/12/1 5:00	2009/12/1 5:00			1	0		Uio1rmb			2	5	10000	3																
10	銀庭の花冠‐塗装	銀庭の花冠‐塗装	5	35	90010								2008/12/1 5:00	2009/12/1 5:00			1	0		UioLifu			1	7	30000	3																
11	構造体10連開発券	構造体10連開発券	5	68	90011								2008/12/1 5:00	2009/12/1 5:00			1	0		UioCDrew			1	5	10200	3																
12	初心者武器開発パック	初心者武器開発パック	5	68	90012								2008/12/1 5:00	2009/12/1 5:00			1	0		UioWDrew			1	5	10300	3																
13	初心者5日パス	1日1セット支給×5日間	5	98		90000	5						2008/12/1 5:00	2009/12/1 5:00			1	0		UioNUp				5	10500	3																
14	サイバーパンク風家具セット	サイバーパンク風家具セット	5	60	90013								2008/12/1 5:00	2009/12/1 5:00			1	0		UioNF				7	30200	3																
15	週限定補給パック	週限定補給パック			90014								2008/12/1 5:00	2009/12/1 5:00			1	1	10001	UioWeek		1	10	6	5000																	
16	月間武器開発券	月間武器開発券	5	128	90015								2008/12/1 5:00	2009/12/1 5:00			1	1	10004	UioWDMouth		1	1	5	10700	3																
17	月間特別構造体開発パック	月間特別構造体開発パック	5	98	90016								2008/12/1 5:00	2009/12/1 5:00			1	1	10004	UioCDMouth2		1	1	5	10600	3																
18	Aクラス構造体SSR塗装黒パス	1日1枚支給×10日間	5	68	90017	90001	10						2008/12/1 5:00	2009/12/1 5:00			1	0		UiPurchaseIconLb1		1		7	30300	3																
19	月間塗装設計図パック	毎月限定 塗装設計図	5	98	90023								2008/12/1 5:00	2009/12/1 5:00			1	1	10004	UioPifuM		1		7	30500	3																
20	Sクラス構造体SSR塗装	Sクラス構造体SSR塗装	5	168	90018								2008/12/1 5:00	2009/12/1 5:00			1	0		UiPurchaseIconLb1		1		7	30400	3																
21	デイリースキルPt	デイリースキルPt	3	10	90019								2008/12/1 5:00	2009/12/1 5:00			1	1	10000	UioJDay		1		6	50100	4																
22	武器素材	1日1セット支給×7日間	5	38		90003	7						2008/12/1 5:00	2009/12/1 5:00	1	"[1,2,3,4,5]"	1	1	10001	UioWMaterial		1		6	50200	3																
23	意識素材	1日1セット支給×7日間	5	38		90004	7						2008/12/1 5:00	2009/12/1 5:00	1	"[1,2,3,4,5]"	1	1	10001	UioCMaterial		1		6	50300	3																
24	ナット	ナット	5	30	90020								2008/12/1 5:00	2009/12/1 5:00			1	0		UioMoney		1		6	50400	3																
25	塗装設計図	塗装設計図	5	30	90021								2008/12/1 5:00	2009/12/1 5:00						UioSkinD		0		7	30500	3																
26	ネジ	ネジ	5	98	90022								2008/12/1 5:00	2009/12/1 5:00						UioFCoin		0		7	50500	3																
10000	月間カード	デイリーログインで黒パス<color=#ff8338>100</color>を獲得	5	30	91000			91001	30				2008/12/1 5:00	2009/12/1 5:00				3	30	Card		1	1	2		2																
27	毎週お得パック	毎週お得パック	5	68	90024								2008/12/1 5:00	2009/12/1 5:00			1	1	10001	UioXingjia		1		5	10800	3																
28	構造体10連素材パック	構造体10連素材パック	5	88	90025								2008/12/1 5:00	2009/12/1 5:00			1	0		UioShilian				5	10400	3																
29	初心者開発パック	初心者開発パック	5	35	90026								2008/12/1 5:00	2009/12/1 5:00			2	0		UioYanfa				5	10100	3																
30	塗装選択補給パック	塗装を選択	5	128	90027								2008/12/1 5:00	2009/12/1 5:00			1	0		UioZhixuan				7	30100	3																
31	綺羅星‐ナナミ·波動	ナナミ·波動塗装‐綺羅星	5	154	6510305								2019/12/5 10:00	2019/12/11 9:59			1	0		UioPifu31			14	7	30110	3																
32	灰羽‐ナナミ·波動	ナナミ·波動塗装‐灰羽	5	154	6510304								2019/12/5 10:00	2019/12/11 9:59			1	0		UioPifu32			14	7	30120	3																
33	灰羽‐カレニーナ‐爆裂	カレニーナ‐爆裂塗装‐灰羽	5	126	6710104								2018/12/5 10:00	2018/12/11 9:59			1	0		UioPifu33			14	7	30130	3																
34	灰羽‐リー·異火	リー·異火塗装‐灰羽	5	98	6110104								2018/12/5 10:00	2018/12/11 9:59			1	0		UioPifu34			14	7	30140	3																
35	終焉の灰燼‐リー·乱数	リー·乱数塗装‐終焉の灰燼	5	154	6110305								2018/12/11 10:00	2018/12/17 9:59			1	0		UioPifu35			14	7	30110	3																
36	灰羽‐リー·乱数	リー·乱数塗装‐灰羽	5	98	6110304								2018/12/11 10:00	2018/12/17 9:59			1	0		UioPifu36			14	7	30120	3																
37	ゴシック兵‐ルシア·黎明	ルシア·黎明塗装‐ゴシック兵	5	154	6210204								2018/12/11 10:00	2018/12/17 9:59			1	0		UioPifu37			14	7	30130	3																
38	灰羽‐ルシア·黎明	ルシア·黎明塗装‐灰羽	5	154	6210205								2018/12/11 10:00	2018/12/17 9:59			1	0		UioPifu38			14	7	30140	3																
39	灰羽‐リーフ·来光	リーフ·来光塗装‐灰羽	5	154	6310305								2018/12/17 10:00	2018/12/24 9:59			1	0		UioPifu39			14	7	30110	3																
40	鬼装神機‐カレニーナ·灼熱	カレニーナ·灼熱塗装‐鬼装神機	5	154	6710305								2018/12/17 10:00	2018/12/24 9:59			1	0		UioPifu40			14	7	30120	3																
41	灰羽‐カレニーナ·灼熱	カレニーナ·灼熱塗装‐灰羽	5	126	6710304								2018/12/17 10:00	2018/12/24 9:59			1	0		UioPifu41			14	7	30130	3																
42	灰羽‐リーフ·流光	リーフ·流光塗装‐灰羽	5	154	6310204								2018/12/17 10:00	2018/12/24 9:59			1	0		UioPifu42			14	7	30140	3																
43	灰羽‐ルシア·深淵ノ紅	ルシア·深淵ノ紅塗装‐灰羽	5	154	6210304								2020/1/1 10:00	2020/1/31 9:59			1	0		UioPifu43			14	7	30150	3																
44	終わりの旅路‐ルシア·深淵ノ紅	ルシア·深淵ノ紅塗装‐終わりの旅路	5	154	6210305								2020/1/1 10:00	2020/1/31 9:59			1	0		UioPifu44			14	7	30160	3																
